APSIM output file, version = 5.4
Title = PatagoniaCurrent
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1991            175            121             54         24.100         11.169
           1992            183            122             61         21.672          9.679
           1993            179            121             58         23.598          9.483
           1994            182            121             61         23.664          7.734
           1995            180            121             59         22.522         10.119
           1996            177            122             55         23.045         11.649
           1997            180            121             59         22.536          9.666
           1998            177            121             56         23.359         10.645
           1999            181            121             60         22.533          9.508
           2000            182            122             60         22.260          9.600
           2001            179            121             58         23.564          9.221
           2002            178            121             57         23.849          9.589
           2003            180            121             59         23.686          8.661
           2004            184            122             62         24.039          6.948
           2005            178            121             57         23.986          9.360
           2006            183            121             62         23.587          7.385
