ApsimVersion = 5.4
Title = AnnieCurrent
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1991            285            227             58         27.398          8.898
           1992            291            228             63         24.783          8.865
           1993            286            227             59         24.686         10.741
           1994            287            227             60         26.353          8.502
           1995            283            227             56         26.500         11.038
           1996            287            228             59         25.600          9.856
           1997            285            227             58         25.903         10.314
           1998            283            227             56         24.711         12.539
           1999            287            227             60         24.295         10.733
           2000            284            228             56         28.214          9.243
           2001            287            227             60         25.412          9.302
           2002            285            227             58         27.069          9.397
           2003            285            227             58         26.748          9.069
           2004            286            228             58         27.250          8.722
           2005            283            227             56         27.605          9.395
           2006            284            227             57         26.472         10.474
