ApsimVersion = 6.0
Title = PatagoniaCurrent
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1991            218            152             66         22.670          7.353
           1992            223            153             70         21.166          7.293
           1993            215            152             63         22.398          9.087
           1994            224            152             72         21.967          5.549
           1995            224            152             72         21.118          6.564
           1996            220            153             67         21.512          8.387
           1997            222            152             70         21.624          6.727
           1998            218            152             66         21.155          8.920
           1999            222            152             70         20.707          7.664
           2000            223            153             70         21.604          6.949
           2001            216            152             64         22.562          8.003
           2002            222            152             70         22.917          5.490
           2003            221            152             69         21.881          6.938
           2004            223            153             70         22.887          5.576
           2005            216            152             64         22.447          8.348
           2006            222            152             70         21.927          6.289
