ApsimVersion = 5.4
Title = AnnieBaseline
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1961            279            213             66         23.250          8.841
           1962            280            213             67         23.560          8.396
           1963            277            213             64         23.734          9.141
           1964            279            214             65         23.477          8.685
           1965            277            213             64         23.622          9.191
           1966            278            213             65         22.451          9.780
           1967            279            213             66         23.703          8.542
           1968            283            214             69         23.159          7.636
           1969            283            213             70         22.870          7.663
           1970            280            213             67         24.106          7.266
           1971            279            213             66         23.752          8.292
           1972            278            214             64         24.548          8.312
           1973            275            213             62         23.682         10.435
           1974            282            213             69         22.239          8.199
           1975            279            213             66         22.961          8.944
           1976            282            214             68         23.516          7.560
           1977            277            213             64         25.155          7.588
           1978            283            213             70         21.833          8.566
           1979            280            213             67         23.751          8.025
           1980            274            214             60         26.377          8.397
           1981            277            213             64         24.684          8.255
           1982            279            213             66         24.159          7.800
           1983            276            213             63         23.616         10.100
           1984            283            214             69         22.700          7.800
           1985            281            213             68         23.190          7.810
           1986            277            213             64         23.733          9.275
           1987            276            213             63         24.117          9.183
           1988            276            214             62         23.321         10.337
           1989            281            213             68         23.991          7.331
           1990            280            213             67         22.999          8.263
