ApsimVersion = 6.1
Title = Wheat Lucerne Rotation
           Date       whtYield lucerneBiomass            alw  stocking_rate
            (?)        (kg/ha)        (kg/ha)           (kg)    (beasts/ha)
     01/01/1940            0.0            0.0          0.000          0.000
     01/02/1940            0.0            0.0          0.000          0.000
     01/03/1940            0.0           16.4          0.000          0.000
     01/04/1940            0.0          902.8          0.000          0.000
     01/05/1940            0.0         1725.9          0.000          0.000
     01/06/1940            0.0          520.4        210.082          0.400
     01/07/1940            0.0          324.2        213.370          0.400
     01/08/1940            0.0          308.8        216.767          0.400
     01/09/1940            0.0          299.8        220.438          0.400
     01/10/1940            0.0          227.1        231.945          0.400
     01/11/1940            0.0           68.2        243.835          0.400
     01/12/1940            0.0           99.5        255.726          0.400
     01/01/1941            0.0          437.3        279.507          0.400
     01/02/1941            0.0          445.2        303.287          0.400
     01/03/1941            0.0          474.6        324.383          0.400
     01/04/1941            0.0          404.6        336.274          0.400
     01/05/1941            0.0          387.4        347.781          0.400
     01/06/1941            0.0          219.2        359.398          0.400
     01/07/1941            0.0          190.7        362.686          0.400
     01/08/1941            0.0          252.0        366.083          0.400
     01/09/1941            0.0          318.2        369.754          0.400
     01/10/1941            0.0          476.0        381.261          0.400
     01/11/1941            0.0          426.7        393.152          0.400
     01/12/1941            0.0          278.6        405.043          0.400
     01/01/1942            0.0          100.1        428.824          0.400
     01/02/1942            0.0            0.0          0.000          0.000
     01/03/1942            0.0            0.0          0.000          0.000
     01/04/1942            0.0            0.0          0.000          0.000
     01/05/1942            0.0            0.0          0.000          0.000
     01/06/1942            0.0            0.0          0.000          0.000
     01/07/1942            0.0            0.0          0.000          0.000
     01/08/1942            0.0            0.0          0.000          0.000
     01/09/1942          859.3            0.0          0.000          0.000
     24/09/1942         1215.5            0.0          0.000          0.000
     01/10/1942            0.0            0.0          0.000          0.000
     01/11/1942            0.0            0.0          0.000          0.000
     01/12/1942            0.0           39.9          0.000          0.000
     01/01/1943            0.0         1097.4          0.000          0.000
     01/02/1943            0.0         2282.5          0.000          0.000
     01/03/1943            0.0          818.2        217.260          0.400
     01/04/1943            0.0          512.7        229.151          0.400
     01/05/1943            0.0          122.0        240.657          0.400
     01/06/1943            0.0           47.1        252.274          0.400
     01/07/1943            0.0           55.2        255.561          0.400
     01/08/1943            0.0           48.3        258.959          0.400
     01/09/1943            0.0           43.6        262.630          0.400
     01/10/1943            0.0           85.1        274.137          0.400
     01/11/1943            0.0           59.5        286.028          0.400
     01/12/1943            0.0           88.2        297.919          0.400
     01/01/1944            0.0          166.2        321.700          0.400
     01/02/1944            0.0          161.8        345.480          0.400
     01/03/1944            0.0          285.5        367.343          0.400
     01/04/1944            0.0          163.5        379.234          0.400
     01/05/1944            0.0           75.1        390.741          0.400
     01/06/1944            0.0           60.6        402.358          0.400
     01/07/1944            0.0           50.5        405.646          0.400
     01/08/1944            0.0           62.0        409.043          0.400
     01/09/1944            0.0           58.7        412.714          0.400
     01/10/1944            0.0           45.7        424.222          0.400
     01/11/1944            0.0            0.0          0.000          0.000
     01/12/1944            0.0            0.0          0.000          0.000
     01/01/1945            0.0            0.0          0.000          0.000
     01/02/1945            0.0            0.0          0.000          0.000
     01/03/1945            0.0            0.0          0.000          0.000
     01/04/1945            0.0            0.0          0.000          0.000
     01/05/1945            0.0            0.0          0.000          0.000
     01/06/1945            0.0            0.0          0.000          0.000
     01/07/1945            0.0            0.0          0.000          0.000
     01/08/1945            0.0            0.0          0.000          0.000
     01/09/1945          516.0            0.0          0.000          0.000
     30/09/1945         1908.9            0.0          0.000          0.000
     01/10/1945            0.0            0.0          0.000          0.000
     01/11/1945            0.0           10.9          0.000          0.000
