APSIM output file, version = 5.4
Title = 
           year            day     green_pool      dead_pool         litter            alw            lwg      acc_eaten     acc_growth
         (year)          (day)        (kg/ha)        (kg/ha)        (kg/ha)           (kg)             ()        (kg/ha)        (kg/ha)
           1988              1       1209.324       1199.509       2002.400        400.767          0.767          8.078         19.311
           1988              2       1228.582       1199.105       2004.799        401.534          0.767         15.152         47.638
           1988              3       1248.042       1198.733       2007.197        402.301          0.767         22.480         76.451
           1988              4       1264.071       1198.402       2009.595        403.068          0.767         29.876        101.945
           1988              5       1284.392       1198.111       2011.991        403.836          0.767         37.286        131.780
           1988              6       1307.253       1197.866       2014.388        404.603          0.767         44.731        164.238
           1988              7       1332.190       1197.674       2016.783        405.370          0.767         52.213        198.860
           1988              8       1350.692       1197.537       2019.179        406.137          0.767         59.729        227.136
           1988              9       1366.263       1197.440       2021.574        406.904          0.767         67.255        252.532
           1988             10       1381.635       1197.380       2023.969        407.671          0.767         74.783        277.767
           1988             11       1403.395       1197.357       2026.364        408.438          0.767         82.314        309.430
           1988             12       1429.432       1197.384       2028.758        409.205          0.767         89.865        345.440
           1988             13       1453.667       1197.469       2031.153        409.973          0.767         97.440        379.729
           1988             14       1473.721       1197.606       2033.548        410.740          0.767        105.035        409.910
           1988             15       1493.513       1197.787       2035.943        411.507          0.767        112.641        439.885
           1988             16       1515.969       1198.013       2038.339        412.274          0.767        120.258        472.580
           1988             17       1529.132       1198.286       2040.735        413.041          0.767        127.890        496.044
           1988             18       1542.869       1198.588       2043.131        413.808          0.767        135.525        520.114
           1988             19       1559.390       1198.920       2045.528        414.575          0.767        143.163        547.002
           1988             20       1573.045       1199.288       2047.926        415.342          0.767        150.809        571.068
           1988             21       1590.716       1199.685       2050.325        416.110          0.767        158.459        599.186
           1988             22       1605.014       1200.120       2052.724        416.877          0.767        166.120        623.979
           1988             23       1629.772       1200.588       2055.125        417.644          0.767        173.786        659.270
           1988             24       1647.271       1201.107       2057.526        418.411          0.767        181.469        687.374
           1988             25       1670.661       1201.665       2059.928        419.178          0.767        189.163        721.416
           1988             26       1699.270       1202.273       2062.331        419.945          0.767        196.871        760.744
           1988             27       1722.388       1202.940       2064.736        420.712          0.767        204.598        794.663
           1988             28       1743.763       1203.656       2067.142        421.479          0.767        212.340        826.900
           1988             29       1774.709       1204.419       2069.549        422.246          0.767        220.093        868.770
           1988             30       1793.168       1205.244       2071.958        423.014          0.767        227.866        898.235
           1988             31       1809.387       1206.106       2074.368        423.781          0.767        235.649        925.510
           1988             32       1830.240       1207.003       2076.781        424.548          0.767        243.439        957.463
           1988             33       1857.379       1207.943       2079.195        425.315          0.767        251.242        995.759
           1988             34       1883.782       1208.940       2081.610        426.082          0.767        259.060       1033.392
           1988             35       1909.653       1209.990       2084.028        426.849          0.767        266.892       1070.564
           1988             36       1930.735       1211.093       2086.448        427.616          0.767        274.739       1103.015
           1988             37       1947.210       1212.238       2088.870        428.383          0.767        282.596       1130.914
           1988             38       2001.887       1213.421       2091.295        429.151          0.767        290.463       1197.065
           1988             39       2027.118       1214.713       2093.722        429.918          0.767        298.358       1233.911
           1988             40       2050.514       1216.056       2096.151        430.685          0.767        306.266       1268.987
           1988             41       2070.882       1217.445       2098.583        431.452          0.767        314.186       1301.095
           1988             42       2090.705       1218.874       2101.018        432.219          0.767        322.116       1332.712
           1988             43       2110.412       1220.342       2103.456        432.986          0.767        330.056       1364.266
           1988             44       2130.843       1221.848       2105.897        433.753          0.767        338.006       1396.593
           1988             45       2153.811       1223.394       2108.340        434.520          0.767        345.966       1431.511
           1988             46       2184.056       1224.986       2110.787        435.288          0.767        353.938       1473.767
           1988             47       2212.357       1226.639       2113.237        436.055          0.767        361.924       1514.156
           1988             48       2242.999       1228.347       2115.690        436.822          0.767        369.924       1556.960
           1988             49       2263.202       1230.115       2118.147        437.589          0.767        377.938       1589.402
           1988             50       2286.335       1231.922       2120.607        438.356          0.767        385.962       1624.826
           1988             51       2302.855       1233.772       2123.071        439.123          0.767        393.998       1653.695
           1988             52       2328.786       1235.655       2125.539        439.890          0.767        402.042       1692.020
           1988             53       2352.137       1237.587       2128.010        440.657          0.767        410.098       1727.830
           1988             54       2373.928       1239.563       2130.485        441.425          0.767        418.165       1762.141
           1988             55       2392.909       1241.581       2132.964        442.192          0.767        426.243       1793.696
           1988             56       2414.861       1243.634       2135.448        442.959          0.767        434.331       1828.273
           1988             57       2442.735       1245.729       2137.935        443.726          0.767        442.429       1868.827
           1988             58       2461.052       1247.877       2140.426        444.493          0.767        450.540       1899.894
           1988             59       2490.981       1250.059       2142.922        445.260          0.767        458.661       1942.622
           1988             60       2535.762       1252.301       2145.422        446.027          0.767        466.794       2000.278
           1988             61       2558.736       1254.678       2147.927        446.411          0.384        473.233       2034.573
           1988             62       2602.739       1257.100       2150.436        446.794          0.384        479.677       2089.950
           1988             63       2632.309       1259.606       2152.950        447.178          0.384        486.132       2130.996
           1988             64       2657.270       1262.168       2155.469        447.562          0.384        492.593       2167.500
           1988             65       2681.319       1264.776       2157.994        447.945          0.384        499.061       2203.148
           1988             66       2703.546       1267.427       2160.523        448.329          0.384        505.534       2237.030
           1988             67       2731.513       1270.120       2163.058        448.712          0.384        512.013       2276.702
           1988             68       2757.588       1272.863       2165.598        449.096          0.384        518.498       2314.547
           1988             69       2781.180       1275.655       2168.144        449.479          0.384        524.989       2349.967
           1988             70       2801.520       1278.489       2170.696        449.863          0.384        531.486       2382.188
           1988             71       2816.759       1281.358       2173.252        450.247          0.384        537.987       2409.355
           1988             72       2867.123       1284.255       2175.815        450.630          0.384        544.492       2471.683
           1988             73       2889.379       1287.247       2178.384        451.014          0.384        551.008       2506.016
           1988             74       2910.802       1290.278       2180.958        451.397          0.384        557.528       2539.565
           1988             75       2931.214       1293.347       2183.539        451.781          0.384        564.054       2572.152
           1988             76       2959.867       1296.452       2186.125        452.164          0.384        570.584       2613.027
           1988             77       2986.339       1299.609       2188.718        452.548          0.384        577.120       2651.785
           1988             78       3011.432       1302.814       2191.318        452.932          0.384        583.662       2689.223
           1988             79       3037.550       1306.063       2193.923        453.315          0.384        590.209       2727.744
           1988             80       3061.625       1309.358       2196.535        453.699          0.384        596.762       2764.279
