ApsimVersion = 6.1
Title = 
    LeafGreenWt    StemGreenWt           year            day   paddockstate         litter            alw  stocking_rate      acc_eaten
        (g/m^2)        (g/m^2)         (year)          (day)            (?)        (kg/ha)           (kg)    (beasts/ha)        (kg/ha)
           0.00           0.00           1988            166          empty         1949.1          0.000          0.000            0.0
           0.00           0.00           1988            166          empty         1949.1          0.000          0.000            0.0
           0.00           0.00           1988            167          empty         1898.5          0.000          0.000            0.0
           0.00           0.00           1988            167          empty         1898.5          0.000          0.000            0.0
           0.00           0.00           1988            168          empty         1847.4          0.000          0.000            0.0
           0.00           0.00           1988            168          empty         1847.4          0.000          0.000            0.0
           0.00           0.00           1988            169          empty         1803.9          0.000          0.000            0.0
           0.00           0.00           1988            169          empty         1803.9          0.000          0.000            0.0
           0.00           0.00           1988            170          empty         1762.3          0.000          0.000            0.0
           0.00           0.00           1988            170          empty         1762.3          0.000          0.000            0.0
           0.00           0.00           1988            171          empty         1742.8          0.000          0.000            0.0
           0.00           0.00           1988            171          empty         1742.8          0.000          0.000            0.0
           0.00           0.00           1988            172          empty         1729.3          0.000          0.000            0.0
           0.00           0.00           1988            172          empty         1729.3          0.000          0.000            0.0
           0.00           0.00           1988            173          empty         1722.1          0.000          0.000            0.0
           0.00           0.00           1988            173          empty         1722.1          0.000          0.000            0.0
           0.00           0.00           1988            174          empty         1722.1          0.000          0.000            0.0
           0.00           0.00           1988            174          empty         1722.1          0.000          0.000            0.0
           0.00           0.00           1988            175          empty         1722.1          0.000          0.000            0.0
           0.00           0.00           1988            175          empty         1722.1          0.000          0.000            0.0
           0.36           0.19           1988            176          empty         1722.1          0.000          0.000            0.0
           0.36           0.19           1988            176          empty         1722.1          0.000          0.000            0.0
           0.47           0.26           1988            177          empty         1722.1          0.000          0.000            0.0
           0.47           0.26           1988            177          empty         1722.1          0.000          0.000            0.0
           0.58           0.34           1988            178          empty         1722.1          0.000          0.000            0.0
           0.58           0.34           1988            178          empty         1722.1          0.000          0.000            0.0
           0.74           0.44           1988            179          empty         1722.1          0.000          0.000            0.0
           0.74           0.44           1988            179          empty         1722.1          0.000          0.000            0.0
           0.91           0.56           1988            180          empty         1722.1          0.000          0.000            0.0
           0.91           0.56           1988            180          empty         1722.1          0.000          0.000            0.0
           1.10           0.69           1988            181          empty         1722.1          0.000          0.000            0.0
           1.10           0.69           1988            181          empty         1722.1          0.000          0.000            0.0
           1.33           0.84           1988            182          empty         1722.1          0.000          0.000            0.0
           1.33           0.84           1988            182          empty         1722.1          0.000          0.000            0.0
           1.57           1.00           1988            183          empty         1722.1          0.000          0.000            0.0
           1.57           1.00           1988            183          empty         1722.1          0.000          0.000            0.0
           1.78           1.14           1988            184          empty         1722.1          0.000          0.000            0.0
           1.78           1.14           1988            184          empty         1722.1          0.000          0.000            0.0
           1.91           1.22           1988            185          empty         1722.1          0.000          0.000            0.0
           1.91           1.22           1988            185          empty         1722.1          0.000          0.000            0.0
           2.05           1.32           1988            186          empty         1722.1          0.000          0.000            0.0
           2.05           1.32           1988            186          empty         1722.1          0.000          0.000            0.0
           2.24           1.44           1988            187          empty         1602.3          0.000          0.000            0.0
           2.24           1.44           1988            187          empty         1602.3          0.000          0.000            0.0
           2.57           1.66           1988            188          empty         1514.8          0.000          0.000            0.0
           2.57           1.66           1988            188          empty         1514.8          0.000          0.000            0.0
           2.92           1.90           1988            189          empty         1465.0          0.000          0.000            0.0
