ApsimVersion = 6.1
Title = Sample Rotation 1
           Date         cotton         wyield         cyield  wheat.biomass chickpea.biomass
            (?)     (bales/ha)        (kg/ha)        (kg/ha)        (kg/ha)          (kg/ha)
     22/05/1941          6.130            0.0            0.0            0.0              0.0
     11/10/1942          0.000          661.4            0.0         2911.2              0.0
     25/03/1944          4.509            0.0            0.0            0.0              0.0
     23/10/1945          0.000         2914.4            0.0         9286.6              0.0
     19/05/1947          6.940            0.0            0.0            0.0              0.0
     30/10/1947          0.000            0.0         1801.5            0.0           4636.6
     30/10/1948          0.000         1658.7            0.0         7038.4              0.0
     09/03/1950          2.837            0.0            0.0            0.0              0.0
     19/10/1950          0.000            0.0         1733.0            0.0           4423.3
