Summary_file = tcllink.sum
Title = Test Tcl library
            day           year           test
          (day)         (year)            (?)
              1           1988          0.000
              2           1988          1.000
              3           1988          2.000
              4           1988          3.000
              5           1988          4.000
              6           1988          5.000
              7           1988          6.000
              8           1988          7.000
              9           1988          8.000
             10           1988          9.000
             11           1988         10.000
             12           1988         11.000
             13           1988         12.000
             14           1988         13.000
             15           1988         14.000
             16           1988         15.000
             17           1988         16.000
             18           1988         17.000
             19           1988         18.000
             20           1988         19.000
             21           1988         20.000
             22           1988         21.000
             23           1988         22.000
             24           1988         23.000
             25           1988         24.000
             26           1988         25.000
             27           1988         26.000
             28           1988         27.000
             29           1988         28.000
             30           1988         29.000
             31           1988         30.000
