Summary_file = summary_m.sum
Title = 
       day      year first_op_to_sow     rd_sowdate     rg_sowdate    wt_sow_date       density1       density2    rd2_sowdate    rg2_sowdate   wt2_sow_date rd_flower rg_flower wt_flower rd2_flower rg2_flower wt2_flower     rd_biomass       rd_yield     rg_biomass       rg_yield     wt_biomass       wt_yield    rd2_biomass      rd2_yield    rg2_biomass      rg2_yield    wt2_biomass      wt2_yield
     (day)    (year)              ()             ()             ()             ()             ()             ()             ()             ()             ()     (doy)     (doy)     (doy)      (doy)      (doy)      (doy)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()        (kg/ha)
       350      1957         144.000        144.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       240         0         0          0          0          0       8788.457        439.172          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1958         134.000        134.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       231         0         0          0          0          0      11253.490        561.897          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1959         154.000        154.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       239         0         0          0          0          0       8373.325        417.368          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1960         142.000        142.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       241         0         0          0          0          0       9712.480        485.458          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1961         158.000        158.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       249         0         0          0          0          0       7778.690        388.777          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1962         141.000        141.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       234         0         0          0          0          0       8424.992        420.941          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1963         130.000        130.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       225         0         0          0          0          0      11522.253        575.403          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1964         160.000        160.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       246         0         0          0          0          0       8292.893        414.538          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1965         126.000        126.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       221         0         0          0          0          0      11685.893        582.069          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1966         157.000        157.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       249         0         0          0          0          0      10279.148        513.225          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1967         131.000        131.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       225         0         0          0          0          0       9037.125        451.404          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1968         137.000        137.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       237         0         0          0          0          0      10952.101        547.300          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1969         139.000        139.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       233         0         0          0          0          0       6403.119        320.051          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1970         153.000        153.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       245         0         0          0          0          0       9136.416        456.520          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1971         161.000        161.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       253         0         0          0          0          0       8069.386        403.225          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1972         154.000        154.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       246         0         0          0          0          0       8071.260        403.279          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1973         158.000        158.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       249         0         0          0          0          0      10739.590        535.909          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1974         126.000        126.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       221         0         0          0          0          0       9858.304        492.106          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1975         148.000        148.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       241         0         0          0          0          0      10464.083        521.991          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1976         143.000        143.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       231         0         0          0          0          0       9648.681        482.241          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1977         137.000        137.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       225         0         0          0          0          0       5978.293        298.764          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1978         143.000        143.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       237         0         0          0          0          0       6503.637        325.039          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1979         144.000        144.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       239         0         0          0          0          0       8681.381        431.866          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1980         173.000        173.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       257         0         0          0          0          0       6232.245        311.475          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1981         143.000        143.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       238         0         0          0          0          0       8510.065        424.868          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1982         160.000        160.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       248         0         0          0          0          0       9791.972        489.389          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1983         128.000        128.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       216         0         0          0          0          0      12268.694        612.079          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1984         125.000        125.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       222         0         0          0          0          0      10897.693        544.543          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1985         126.000        126.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       215         0         0          0          0          0      11510.940        573.353          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1986         135.000        135.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       235         0         0          0          0          0       9888.795        494.231          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1987         130.000        130.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       221         0         0          0          0          0      10310.681        512.414          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1988         125.000        125.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       213         0         0          0          0          0      12753.477        636.141          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1989         142.000        142.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       236         0         0          0          0          0       8497.610        423.985          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1990         140.000        140.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       238         0         0          0          0          0      10791.102        538.622          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1991         156.000        156.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       244         0         0          0          0          0       9241.441        459.849          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1992         165.000        165.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       252         0         0          0          0          0      11345.519        558.405          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1993         125.000        125.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       221         0         0          0          0          0      12053.760        601.866          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1994         144.000        144.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       232         0         0          0          0          0       7627.514        381.106          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1995         131.000        131.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       225         0         0          0          0          0      10172.882        503.352          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1996         139.000        139.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       230         0         0          0          0          0      11593.087        577.628          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1997         139.000        139.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       230         0         0          0          0          0       8919.294        445.645          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1998         133.000        133.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       229         0         0          0          0          0      11190.329        559.003          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      1999         131.000        131.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       221         0         0          0          0          0      12918.511        642.590          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      2000         125.000        125.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       217         0         0          0          0          0      10822.316        540.835          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
       350      2001         136.000        136.000          0.000          0.000       1000.000          0.000          0.000          0.000          0.000       226         0         0          0          0          0       9172.897        456.604          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
