Summary_file = fieldS113.sum
Title = south plots field
      year     month       day day_month              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)             sw(14)             sw(15)             sw(16)             sw(17)             sw(18)             sw(19)             sw(20)             sw(21)             sw(22)             sw(23)             sw(24)             sw(25)             sw(26)             sw(27)             sw(28)             psi(1)             psi(2)             psi(3)             psi(4)             psi(5)             psi(6)             psi(7)             psi(8)             psi(9)            psi(10)            psi(11)            psi(12)     sw_dep_025    sw_dep_2590   sw_dep_90180          sw_dep(1)          sw_dep(2)          sw_dep(3)          sw_dep(4)          sw_dep(5)          sw_dep(6)          sw_dep(7)          sw_dep(8)          sw_dep(9)         sw_dep(10)         sw_dep(11)         sw_dep(12)         sw_dep(13)         sw_dep(14)         sw_dep(15)         sw_dep(16)         sw_dep(17)         sw_dep(18)         sw_dep(19)         sw_dep(20)         sw_dep(21)         sw_dep(22)         sw_dep(23)         sw_dep(24)         sw_dep(25)         sw_dep(26)         sw_dep(27)         sw_dep(28)
    (year)   (month)     (day)     (day)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)             ()             ()             ()               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)
      1999         7       209        28              0.261              0.261              0.261              0.262              0.258              0.248              0.246              0.274              0.286              0.310              0.318              0.321              0.334              0.343              0.344              0.344              0.344              0.333              0.320              0.307              0.308              0.307              0.298              0.278              0.286              0.290              0.300              0.302           -165.959           -165.160           -164.157           -160.105           -149.584           -124.320           -132.782           -129.443           -114.550            -87.293            -70.332            -57.456         63.761        151.540        300.324              1.303              2.609              5.224             10.498             19.361             24.766             24.590             27.415             42.967             62.001             63.605             64.296             66.717             68.688             68.821             68.897             68.710             66.697             63.949             61.456             46.259             92.222            149.190            138.949            142.864            145.136            150.078             75.427
      1999         8       237        25              0.188              0.205              0.212              0.219              0.225              0.229              0.220              0.248              0.268              0.294              0.306              0.315              0.329              0.339              0.340              0.341              0.340              0.330              0.317              0.305              0.306              0.305              0.299              0.293              0.286              0.290              0.300              0.302           -933.694           -591.833           -490.838           -416.182           -347.082           -260.630           -374.536           -339.058           -236.686           -184.151           -143.477            -98.240         55.710        140.453        295.261              0.939              2.047              4.243              8.755             16.868             22.858             21.978             24.798             40.171             58.759             61.296             63.009             65.733             67.833             68.038             68.118             67.950             65.986             63.343             60.938             45.903             91.556            149.373            146.649            142.935            145.190            150.034             75.400
      1999         9       258        15              0.077              0.169              0.187              0.194              0.206              0.223              0.236              0.244              0.247              0.277              0.296              0.310              0.325              0.336              0.338              0.338              0.338              0.328              0.315              0.303              0.305              0.304              0.298              0.300              0.287              0.290              0.300              0.302        -102388.558          -1612.850           -956.393           -789.675           -604.102           -322.765           -191.454           -389.213           -555.834           -419.268           -281.400           -150.242         51.325        137.130        291.504              0.386              1.694              3.740              7.755             15.415             22.335             23.635             24.445             37.119             55.377             59.192             62.008             65.036             67.293             67.571             67.684             67.560             65.625             63.050             60.693             45.735             91.252            148.950            150.068            143.384            145.230            150.002             75.381
      1999        10       288        15              0.200              0.208              0.215              0.222              0.225              0.225              0.231              0.262              0.269              0.276              0.279              0.302              0.320              0.333              0.335              0.336              0.336              0.326              0.314              0.302              0.303              0.303              0.297              0.305              0.290              0.291              0.300              0.301           -667.504           -540.368           -460.954           -389.493           -348.969           -295.832           -236.568           -200.007           -228.477           -445.964           -879.024           -301.213         55.644        140.047        286.041              1.001              2.083              4.294              8.866             16.853             22.547             23.099             26.200             40.303             55.131             55.796             60.403             64.094             66.628             67.018             67.183             67.120             65.231             62.728             60.406             45.516             90.824            148.479            152.264            145.166            145.286            149.958             75.354
      1999        11       307         3              0.068              0.132              0.175              0.180              0.189              0.210              0.226              0.232              0.233              0.256              0.275              0.299              0.319              0.332              0.334              0.335              0.334              0.325              0.313              0.301              0.303              0.302              0.296              0.305              0.293              0.291              0.300              0.301        -198793.086          -6241.883          -1339.457          -1156.998          -1015.491           -558.150           -290.664           -654.568          -1083.985          -1256.166          -1165.417           -387.189         47.604        129.183        284.075              0.340              1.315              3.509              7.215             14.176             21.049             22.590             23.156             34.895             51.163             54.986             59.834             63.705             66.310             66.733             66.923             66.893             65.029             62.560             60.252             45.397             90.592            148.226            152.733            146.618            145.323            149.931             75.337
      1999        11       323        19              0.061              0.077              0.166              0.186              0.195              0.207              0.214              0.230              0.232              0.256              0.276              0.299              0.317              0.330              0.333              0.334              0.334              0.324              0.312              0.301              0.302              0.301              0.296              0.306              0.296              0.291              0.300              0.301        -350753.030        -104456.343          -1777.546           -970.110           -840.126           -644.828           -479.982           -706.703          -1096.014          -1241.978          -1080.917           -377.025         47.199        127.549        283.609              0.305              0.769              3.328              7.459             14.615             20.723             21.395             22.971             34.859             51.204             55.201             59.894             63.485             66.098             66.532             66.735             66.729             64.882             62.436             60.136             45.308             90.420            148.035            152.868            147.842            145.356            149.909             75.324
      1999        12       347        13              0.229              0.230              0.232              0.237              0.239              0.220              0.211              0.228              0.232              0.256              0.277              0.300              0.316              0.329              0.331              0.333              0.333              0.323              0.311              0.300              0.301              0.301              0.296              0.306              0.299              0.291              0.300              0.301           -325.965           -319.713           -307.750           -272.381           -238.823           -372.480           -550.576           -760.519          -1126.116          -1237.896           -985.826           -364.625         57.494        128.371        283.102              1.146              2.301              4.636              9.489             17.931             21.991             21.080             22.796             34.772             51.217             55.465             59.969             63.261             65.852             66.287             66.501             66.521             64.693             62.274             59.985             45.191             90.193            147.778            152.836            149.572            145.420            149.877             75.304
      2000         1        11        11              0.276              0.276              0.277              0.278              0.271              0.255              0.259              0.284              0.291              0.316              0.322              0.325              0.335              0.341              0.333              0.332              0.332              0.323              0.311              0.299              0.300              0.300              0.295              0.305              0.303              0.291              0.300              0.301           -123.307           -122.294           -121.258           -118.025           -112.062            -93.559            -83.066            -93.028            -96.495            -67.427            -54.125            -42.741         66.640        155.680        299.021              1.379              2.762              5.533             11.123             20.303             25.540             25.871             28.375             43.656             63.162             64.475             65.017             67.016             68.172             66.578             66.320             66.320             64.506             62.111             59.829             45.070             89.959            147.506            152.652            151.362            145.560            149.839             75.281
      2000         2        42        11              0.256              0.257              0.257              0.258              0.255              0.249              0.256              0.282              0.291              0.315              0.322              0.325              0.337              0.347              0.347              0.348              0.347              0.337              0.322              0.309              0.309              0.307              0.296              0.305              0.306              0.292              0.300              0.301           -181.291           -180.178           -178.852           -173.842           -161.210           -117.579            -90.762            -97.515            -97.747            -68.494            -54.844            -43.214         63.364        154.596        303.336              1.282              2.566              5.140             10.335             19.125             24.916             25.624             28.236             43.604             63.091             64.431             64.990             67.387             69.321             69.423             69.508             69.323             67.317             64.471             61.837             46.373             92.185            148.094            152.519            152.781            145.880            149.803             75.258
      2000         3        68         8              0.280              0.280              0.281              0.282              0.274              0.257              0.260              0.284              0.291              0.317              0.323              0.326              0.338              0.348              0.348              0.349              0.348              0.338              0.323              0.310              0.311              0.310              0.302              0.313              0.316              0.296              0.300              0.301           -114.003           -112.998           -111.983           -108.886           -103.574            -89.191            -79.902            -90.978            -96.665            -64.350            -51.575            -38.153         67.356        156.060        304.518              1.400              2.804              5.617             11.295             20.568             25.672             25.980             28.441             43.649             63.374             64.636             65.296             67.653             69.582             69.669             69.752             69.571             67.563             64.692             62.090             46.703             93.036            151.206            156.252            158.201            148.234            149.777             75.239
