Summary_file = lucerne.sum
Title = lucerne Sample Simulation
    day   year            lai        biomass  green_biomass
  (day) (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
    317   1988          0.208        318.637        296.383
    318   1988          0.263        364.385        343.244
    319   1988          0.311        423.506        403.422
    320   1988          0.356        495.293        476.213
    321   1988          0.402        551.390        533.265
    322   1988          0.451        636.444        619.224
    323   1988          0.485        723.591        700.016
    324   1988          0.491        786.566        734.178
    325   1988          0.550        872.271        822.748
    326   1988          0.573        944.124        871.826
    327   1988          0.605       1013.070        923.897
    328   1988          0.586       1057.870        915.436
    329   1988          0.573       1098.937        909.372
    330   1988          0.565       1140.569        909.479
    331   1988          0.555       1175.323        902.907
    332   1988          0.558       1211.567        908.085
    333   1988          0.545       1241.702        899.703
    334   1988          0.527       1262.175        879.114
    335   1988          0.502       1272.232        845.742
    336   1988          0.482       1279.662        816.982
    337   1988          0.473       1283.690        794.894
    338   1988          0.484       1295.149        793.822
    339   1988          0.000        218.727        137.786
    340   1988          0.001        214.790        137.895
    341   1988          0.002        211.184        138.135
    342   1988          0.004        207.877        138.480
    343   1988          0.007        205.019        139.092
    344   1988          0.012        202.654        140.023
    345   1988          0.026        201.954        142.454
    346   1988          0.050        203.559        147.035
    347   1988          0.102        210.665        156.967
    348   1988          0.157        230.929        179.916
    349   1988          0.211        264.161        215.698
    350   1988          0.276        305.846        259.806
    351   1988          0.349        342.855        299.118
    352   1988          0.414        371.536        329.986
    353   1988          0.483        408.396        368.923
    354   1988          0.574        476.970        439.471
    355   1988          0.668        546.574        510.949
    356   1988          0.760        604.718        570.874
    357   1988          0.866        681.220        649.069
    358   1988          0.954        778.817        748.273
    359   1988          1.071        867.451        838.435
    360   1988          1.128        974.662        939.223
    361   1988          1.188       1075.127       1032.896
    362   1988          1.285       1211.451       1171.458
    363   1988          1.255       1301.823       1202.250
    364   1988          1.262       1397.446       1258.275
    365   1988          1.270       1499.501       1320.174
    366   1988          1.279       1602.012       1384.928
      1   1989          0.000        228.536        198.704
      2   1989          0.001        227.094        198.754
      3   1989          0.001        225.795        198.871
      4   1989          0.002        224.662        199.084
      5   1989          0.004        223.670        199.371
      6   1989          0.007        223.071        199.987
      7   1989          0.015        223.349        201.420
      8   1989          0.033        225.614        204.781
      9   1989          0.069        231.318        211.527
     10   1989          0.108        237.934        219.133
     11   1989          0.175        254.133        236.271
     12   1989          0.242        293.870        276.901
     13   1989          0.317        340.603        324.483
     14   1989          0.392        401.093        385.779
     15   1989          0.473        479.186        464.637
     16   1989          0.558        570.690        556.869
     17   1989          0.625        678.384        665.254
     18   1989          0.666        770.962        748.269
     19   1989          0.719        849.471        823.404
     20   1989          0.784        932.852        908.186
     21   1989          0.820       1001.568        959.836
     22   1989          0.902       1087.967       1048.543
     23   1989          1.020       1179.144       1141.898
     24   1989          1.136       1285.060       1249.867
     25   1989          1.126       1383.179       1295.554
     26   1989          1.074       1444.910       1276.010
     27   1989          1.055       1510.130       1288.049
     28   1989          1.021       1568.699       1283.129
     29   1989          0.972       1608.330       1252.241
     30   1989          0.000        228.718        181.196
     31   1989          0.001        226.401        181.256
     32   1989          0.001        224.237        181.349
     33   1989          0.002        222.304        181.561
     34   1989          0.004        220.659        181.953
     35   1989          0.006        219.065        182.293
     36   1989          0.008        217.595        182.663
     37   1989          0.015        217.091        183.905
     38   1989          0.029        218.083        186.556
     39   1989          0.063        222.870        192.919
     40   1989          0.121        234.884        206.431
     41   1989          0.179        248.677        221.647
     42   1989          0.251        274.763        249.085
     43   1989          0.324        315.346        290.951
     44   1989          0.362        374.242        347.110
     45   1989          0.379        422.697        383.848
     46   1989          0.389        466.249        412.069
     47   1989          0.395        505.073        432.776
     48   1989          0.411        547.828        461.280
     49   1989          0.419        584.518        479.972
     50   1989          0.416        612.669        484.903
     51   1989          0.410        634.384        482.986
     52   1989          0.522        689.973        546.986
     53   1989          0.648        760.364        625.309
     54   1989          0.761        851.330        723.754
     55   1989          0.878        935.362        814.842
     56   1989          0.999       1061.154        947.289
     57   1989          1.111       1199.881       1092.293
     58   1989          1.222       1347.036       1245.372
     59   1989          1.285       1451.185       1355.110
     60   1989          0.000        217.273        201.290
     61   1989          0.001        216.528        201.345
     62   1989          0.001        215.858        201.433
     63   1989          0.002        215.315        201.611
     64   1989          0.004        214.948        201.930
     65   1989          0.008        215.087        202.720
     66   1989          0.017        216.154        204.405
     67   1989          0.035        219.006        207.844
     68   1989          0.075        225.874        215.270
     69   1989          0.131        241.611        231.538
     70   1989          0.192        268.244        258.675
     71   1989          0.260        305.696        296.605
     72   1989          0.329        355.091        346.454
     73   1989          0.407        396.407        388.202
     74   1989          0.484        423.607        415.812
     75   1989          0.580        456.563        449.159
     76   1989          0.664        493.682        486.647
     77   1989          0.750        550.824        544.141
     78   1989          0.850        637.793        631.444
     79   1989          0.955        750.942        744.911
     80   1989          1.001        868.366        852.035
     81   1989          1.023        966.264        926.654
     82   1989          1.097       1036.996        999.613
     83   1989          1.195       1092.596       1057.313
     84   1989          1.335       1171.557       1138.252
     85   1989          1.453       1234.980       1203.539
     86   1989          1.576       1334.516       1304.833
     87   1989          1.695       1467.532       1439.505
     88   1989          1.757       1590.409       1563.943
     89   1989          0.000        220.848        216.992
     90   1989          0.000        220.681        217.018
     91   1989          0.001        220.539        217.059
     92   1989          0.001        220.398        217.092
     93   1989          0.001        220.283        217.142
     94   1989          0.002        220.233        217.249
     95   1989          0.003        220.315        217.481
     96   1989          0.005        220.587        217.895
     97   1989          0.009        221.159        218.601
     98   1989          0.017        222.440        220.010
     99   1989          0.031        225.024        222.716
    100   1989          0.057        229.801        227.608
    101   1989          0.086        235.275        233.192
    102   1989          0.147        246.874        244.895
    103   1989          0.213        267.274        265.393
    104   1989          0.276        302.960        301.174
    105   1989          0.340        348.644        346.947
    106   1989          0.408        401.464        399.851
    107   1989          0.484        461.431        459.899
    108   1989          0.560        527.551        526.096
    109   1989          0.641        597.398        596.016
    110   1989          0.726        675.158        673.845
    111   1989          0.814        759.662        758.414
    112   1989          0.918        842.671        841.486
    113   1989          1.001        876.889        875.763
    114   1989          1.083        909.887        908.818
    115   1989          1.169        944.611        943.595
    116   1989          1.271       1030.495       1029.530
    117   1989          1.381       1126.177       1125.260
    118   1989          1.486       1246.922       1246.051
    119   1989          1.584       1377.210       1376.382
    120   1989          1.683       1506.225       1505.438
    121   1989          1.744       1628.662       1627.810
    122   1989          0.000        221.439        221.278
    123   1989          0.000        221.464        221.311
    124   1989          0.001        221.519        221.374
    125   1989          0.001        221.629        221.491
    126   1989          0.002        221.773        221.642
    127   1989          0.003        221.873        221.749
    128   1989          0.004        222.024        221.906
    129   1989          0.005        222.353        222.241
    130   1989          0.008        222.822        222.716
    131   1989          0.013        223.776        223.674
    132   1989          0.022        225.431        225.334
    133   1989          0.036        228.035        227.943
    134   1989          0.056        231.806        231.719
    135   1989          0.071        234.627        234.544
    136   1989          0.091        238.518        238.439
    137   1989          0.115        243.155        243.081
    138   1989          0.172        254.739        254.668
    139   1989          0.230        271.426        271.359
    140   1989          0.290        293.745        293.681
    141   1989          0.349        323.725        323.664
    142   1989          0.405        359.993        359.935
    143   1989          0.464        394.773        394.718
    144   1989          0.513        447.389        447.337
    145   1989          0.574        498.932        498.882
    146   1989          0.629        521.008        520.961
    147   1989          0.695        547.546        547.501
    148   1989          0.763        608.454        608.411
    149   1989          0.823        680.010        679.970
    150   1989          0.889        750.479        750.441
    151   1989          0.958        822.743        822.707
    152   1989          1.003        881.639        881.604
    153   1989          1.061        957.055        957.022
    154   1989          1.132       1036.889       1036.858
    155   1989          1.214       1115.173       1115.144
    156   1989          1.291       1152.609       1152.581
    157   1989          1.353       1195.412       1195.385
    158   1989          1.403       1285.866       1285.841
    159   1989          1.455       1379.282       1379.258
    160   1989          1.514       1454.140       1454.117
    161   1989          1.555       1533.437       1533.415
    162   1989          1.590       1611.295       1611.274
    163   1989          1.643       1671.398       1671.379
    164   1989          1.712       1769.441       1769.422
    165   1989          1.767       1879.790       1879.689
    166   1989          0.000        226.834        226.822
    167   1989          0.000        226.863        226.851
    168   1989          0.001        226.899        226.888
    169   1989          0.001        226.970        226.960
    170   1989          0.002        227.074        227.064
    171   1989          0.002        227.239        227.229
    172   1989          0.004        227.484        227.475
    173   1989          0.006        227.930        227.922
    174   1989          0.010        228.699        228.691
    175   1989          0.016        229.777        229.769
    176   1989          0.026        231.659        231.651
    177   1989          0.040        235.041        235.034
    178   1989          0.057        240.033        240.026
    179   1989          0.080        244.790        244.784
    180   1989          0.107        251.006        251.000
    181   1989          0.133        260.448        260.442
    182   1989          0.165        271.719        271.714
    183   1989          0.207        286.748        286.743
    184   1989          0.249        306.678        306.673
    185   1989          0.286        325.451        325.447
    186   1989          0.311        358.131        358.127
    187   1989          0.330        392.503        392.499
    188   1989          0.352        429.017        429.013
    189   1989          0.380        468.860        468.856
    190   1989          0.417        509.671        509.667
    191   1989          0.447        535.885        535.882
    192   1989          0.473        578.215        578.212
    193   1989          0.496        627.667        627.664
    194   1989          0.516        674.918        674.915
    195   1989          0.462        711.839        619.570
    196   1989          0.385        737.491        524.512
    197   1989          0.412        763.325        562.367
    198   1989          0.442        790.365        600.733
    199   1989          0.467        819.623        640.660
    200   1989          0.000          0.000          0.000
    201   1989          0.000          0.000          0.000
    202   1989          0.000          0.000          0.000
    203   1989          0.000          0.000          0.000
    204   1989          0.000          0.000          0.000
    205   1989          0.000          0.000          0.000
    206   1989          0.000          0.000          0.000
    207   1989          0.000          0.000          0.000
    208   1989          0.000          0.000          0.000
    209   1989          0.000          0.000          0.000
    210   1989          0.000          0.000          0.000
