ApsimVersion = 6.1
Title = Sweet Sorghum Sample Simulation
           Date           rain DaysAfterSowing    zadok_stage     day_length          stage            lai        biomass          yield     root_depth             ep    swdef_photo    swdef_expan    nfact_photo temp_stress_photo           maxt           mint           radn  TTAfterSowing             TT    LeafGreenWt    StemGreenWt
             ()           (mm)           (day)            (?)        (hours)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)             ()             ()             ()                ()           (oC)           (oC)       (MJ/m^2)    (deg. days)     (deg. day)        (g/m^2)        (g/m^2)
    20/Oct/1998          0.000               0              ?         13.699          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         26.000         17.500         21.000          0.000          0.000           0.00           0.00
    21/Oct/1998          0.000               0              ?         13.727          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         25.000         14.500         21.000          0.000          0.000           0.00           0.00
    22/Oct/1998          0.000               0              ?         13.754          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         26.500         11.500         19.000          0.000          0.000           0.00           0.00
    23/Oct/1998          0.000               0              ?         13.781          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         29.000         11.000         25.000          0.000          0.000           0.00           0.00
    24/Oct/1998          0.000               0              ?         13.808          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         29.500         14.500         20.000          0.000          0.000           0.00           0.00
    25/Oct/1998          0.000               0              ?         13.835          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         22.500         14.500         10.000          0.000          0.000           0.00           0.00
    26/Oct/1998          6.800               0              ?         13.862          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         30.000         19.000         14.000          0.000          0.000           0.00           0.00
    27/Oct/1998          0.000               0              ?         13.889          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         33.000         19.500         25.000          0.000          0.000           0.00           0.00
    28/Oct/1998          0.000               0              ?         13.915          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         26.500         11.000         27.000          0.000          0.000           0.00           0.00
    29/Oct/1998          0.000               0              ?         13.941          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         27.000          8.000         25.000          0.000          0.000           0.00           0.00
    30/Oct/1998          0.000               0              ?         13.967          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         24.500         16.500         11.000          0.000          0.000           0.00           0.00
    31/Oct/1998          3.200               0              ?         13.993          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         31.500         17.000         21.000          0.000          0.000           0.00           0.00
    01/Nov/1998          0.000               0              ?         14.018          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         25.500         16.500         20.000          0.000          0.000           0.00           0.00
    02/Nov/1998          1.000               0              ?         14.044          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         24.500         13.500         21.000          0.000          0.000           0.00           0.00
    03/Nov/1998          0.000               0              ?         14.069          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         26.000         10.000         26.000          0.000          0.000           0.00           0.00
    04/Nov/1998          0.000               0              ?         14.093          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         27.500          9.500         27.000          0.000          0.000           0.00           0.00
    05/Nov/1998          0.000               0              ?         14.118          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         31.500         14.000         23.000          0.000          0.000           0.00           0.00
    06/Nov/1998          0.000               0              ?         14.142          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         30.000         14.500         21.000          0.000          0.000           0.00           0.00
    07/Nov/1998          0.000               0              ?         14.166          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         30.000         16.000         25.000          0.000          0.000           0.00           0.00
    08/Nov/1998          0.000               0              ?         14.190          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         32.000         15.000         22.000          0.000          0.000           0.00           0.00
    09/Nov/1998          0.000               0              ?         14.213          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         29.000         20.500         21.000          0.000          0.000           0.00           0.00
    10/Nov/1998          0.000               0              ?         14.236          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         28.000         17.500         18.000          0.000          0.000           0.00           0.00
    11/Nov/1998          0.200               0              ?         14.259          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         29.500         12.500         20.000          0.000          0.000           0.00           0.00
    12/Nov/1998          0.000               0              ?         14.281          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         24.500         18.500         10.000          0.000          0.000           0.00           0.00
    13/Nov/1998          1.200               0              ?         14.303          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         23.000         18.000         12.000          0.000          0.000           0.00           0.00
    14/Nov/1998         16.600               0              ?         14.325          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         30.000         19.000         20.000          0.000          0.000           0.00           0.00
    15/Nov/1998          0.000               0              ?         14.346          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         31.000         18.000         25.000          0.000          0.000           0.00           0.00
    16/Nov/1998          0.000               0              ?         14.367          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         32.000         16.500         27.000          0.000          0.000           0.00           0.00
    17/Nov/1998          0.000               0              ?         14.387          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         30.000         16.000         25.000          0.000          0.000           0.00           0.00
    18/Nov/1998          0.000               0              ?         14.407          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         28.000         15.000         20.000          0.000          0.000           0.00           0.00
    19/Nov/1998          8.800               0              ?         14.427          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         26.500         13.000         26.000          0.000          0.000           0.00           0.00
    20/Nov/1998          0.000               0              ?         14.446          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         26.000         12.000         23.000          0.000          0.000           0.00           0.00
    21/Nov/1998          0.000               0              ?         14.465          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         27.500         12.500         24.000          0.000          0.000           0.00           0.00
    22/Nov/1998          0.400               0              ?         14.483          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         30.500         16.500         23.000          0.000          0.000           0.00           0.00
    23/Nov/1998         11.400               0              ?         14.501          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         32.000         15.000         25.000          0.000          0.000           0.00           0.00
    24/Nov/1998          0.200               0              ?         14.518          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         31.000         17.500         17.000          0.000          0.000           0.00           0.00
    25/Nov/1998         41.600               0              ?         14.535          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         26.000         17.000         15.000          0.000          0.000           0.00           0.00
    26/Nov/1998         13.600               0              ?         14.551          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         28.000         16.000         26.000          0.000          0.000           0.00           0.00
    27/Nov/1998         22.100               0              ?         14.567          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         27.000         13.000         27.000          0.000          0.000           0.00           0.00
    28/Nov/1998          0.000               0              ?         14.582          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         30.000         16.500         16.000          0.000          0.000           0.00           0.00
    29/Nov/1998          9.800               0              ?         14.597          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         27.000         17.500         22.000          0.000          0.000           0.00           0.00
    30/Nov/1998          0.000               0              ?         14.611          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         30.500         16.000         29.000          0.000          0.000           0.00           0.00
    01/Dec/1998          0.000               0              ?         14.625          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         27.000         13.500         26.000          0.000          0.000           0.00           0.00
    02/Dec/1998          0.000               0              ?         14.638          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         27.000         14.000         26.000          0.000          0.000           0.00           0.00
    03/Dec/1998          0.000               0              ?         14.651          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         30.500         12.000         29.000          0.000          0.000           0.00           0.00
    04/Dec/1998          0.000               0              ?         14.663          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         34.000         13.000         28.000          0.000          0.000           0.00           0.00
    05/Dec/1998          0.000               0              ?         14.674          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         31.500         17.000         25.000          0.000          0.000           0.00           0.00
    06/Dec/1998          0.200               0              ?         14.685          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         30.000         16.500         26.000          0.000          0.000           0.00           0.00
    07/Dec/1998          0.000               0              ?         14.695          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         31.500         18.000         26.000          0.000          0.000           0.00           0.00
    08/Dec/1998          0.000               0              ?         14.705          0.000          0.000            0.0            0.0          0.000          0.000          1.000          1.000          1.000             1.000         30.000         19.000         20.000          0.000          0.000           0.00           0.00
    09/Dec/1998          0.000               1              ?         14.713          2.000          0.000            0.0            0.0        100.000          0.000          1.000          1.000          1.000             1.000         29.500         16.000         27.000         11.750         11.750           0.00           0.00
    10/Dec/1998          0.000               2              ?         14.722          2.294          0.000            0.0            0.0        105.000          0.000          1.000          1.000          1.000             1.000         30.000         15.500         25.000         23.500         11.750           0.00           0.00
    11/Dec/1998          0.000               3              ?         14.729          2.606          0.000            0.0            0.0        110.000          0.000          1.000          1.000          1.000             1.000         30.000         17.000         21.000         36.000         12.500           0.00           0.00
    12/Dec/1998          0.000               4              ?         14.736          2.888          0.000            0.0            0.0        115.000          0.000          1.000          1.000          1.000             1.000         28.500         16.000         22.000         47.250         11.250           0.00           0.00
    13/Dec/1998          0.000               5              ?         14.743          3.000          0.004            1.0            0.0        120.000          0.000          1.000          1.000          1.000             1.000         29.000         16.500         18.000         59.000         11.750           0.06           0.03
    14/Dec/1998          0.000               6              ?         14.749          3.295          0.006            1.6            0.0        150.000          0.018          1.000          1.000          1.000             1.000         31.000         18.000         26.000         72.424         13.424           0.10           0.06
    15/Dec/1998          0.000               7              ?         14.754          3.473          0.009            2.4            0.0        180.000          0.026          1.000          1.000          1.000             1.000         31.000         16.000         26.000         84.855         12.431           0.15           0.09
    16/Dec/1998         31.600               8              ?         14.758          3.683          0.012            3.6            0.0        210.000          0.039          1.000          1.000          1.000             1.000         33.000         19.500         26.000         99.557         14.702           0.22           0.14
    17/Dec/1998          5.400               9              ?         14.762          3.900          0.017            5.4            0.0        240.000          0.059          1.000          1.000          1.000             1.000         34.500         20.000         27.000        114.747         15.190           0.33           0.21
    18/Dec/1998          0.000              10              ?         14.765          4.000          0.023            7.4            0.0        270.000          0.066          1.000          1.000          1.000             1.000         34.500         23.000         21.000        131.307         16.560           0.45           0.29
    19/Dec/1998         12.400              11              ?         14.768          4.079          0.032           10.4            0.0        300.000          0.096          1.000          1.000          1.000             1.000         32.000         19.000         24.000        145.502         14.195           0.63           0.41
    20/Dec/1998         12.800              12              ?         14.769          4.127          0.045           14.7            0.0        330.000          0.140          1.000          1.000          1.000             1.000         32.500         19.000         25.000        159.829         14.327           0.89           0.58
    21/Dec/1998          7.600              13              ?         14.770          4.181          0.059           19.7            0.0        360.000          0.139          1.000          1.000          1.000             1.000         33.000         23.000         21.000        176.136         16.308           1.19           0.78
    22/Dec/1998          0.000              14              ?         14.771          4.227          0.071           27.2            0.0        390.000          0.132          1.000          1.000          1.000             1.000         28.500         21.000         24.000        189.886         13.750           1.64           1.08
    23/Dec/1998          0.000              15              ?         14.771          4.263          0.081           35.9            0.0        420.000          0.255          1.000          1.000          1.000             1.000         29.000         14.500         23.000        200.636         10.750           2.16           1.43
    24/Dec/1998          0.800              16              ?         14.770          4.305          0.093           42.7            0.0        450.000          0.114          1.000          1.000          1.000             1.000         27.500         20.000         16.000        213.386         12.750           2.57           1.70
    25/Dec/1998          8.600              17              ?         14.768          4.345          0.104           55.4            0.0        480.000          0.389          1.000          1.000          1.000             1.000         30.500         15.500         26.000        225.380         11.994           3.33           2.21
    26/Dec/1998          0.000              18              ?         14.766          4.388          0.119           71.1            0.0        510.000          0.502          1.000          1.000          1.000             1.000         34.000         15.000         29.000        238.164         12.784           4.27           2.84
    27/Dec/1998          0.000              19              ?         14.763          4.440          0.163           89.8            0.0        540.000          0.782          1.000          1.000          1.000             1.000         39.500         19.500         30.000        253.801         15.637           5.39           3.59
    28/Dec/1998          0.000              20              ?         14.760          4.481          0.220          113.3            0.0        570.000          0.764          1.000          1.000          1.000             1.000         35.500         13.000         28.000        265.963         12.161           6.79           4.52
    29/Dec/1998          0.000              21              ?         14.755          4.531          0.293          138.9            0.0        600.000          0.836          1.000          1.000          1.000             1.000         33.500         20.000         23.000        280.984         15.022           8.33           5.55
    30/Dec/1998          0.000              22              ?         14.751          4.582          0.354          160.7            0.0        630.000          0.596          1.000          1.000          1.000             1.000         32.000         21.500         15.000        296.392         15.407           9.63           6.42
    31/Dec/1998          0.000              23              ?         14.745          4.632          0.401          177.9            0.0        660.000          0.221          1.000          1.000          1.000             1.000         27.500         22.000         10.000        310.142         13.750          10.66           7.11
    01/Jan/1999          3.200              24              ?         14.737          4.677          0.453          197.1            0.0        690.000          0.217          1.000          1.000          1.000             1.000         25.000         19.500         10.000        321.392         11.250          11.81           7.88
    02/Jan/1999         24.100              25              ?         14.730          4.720          0.511          218.5            0.0        720.000          0.107          1.000          1.000          1.000             1.000         23.000         20.500         10.000        332.142         10.750          13.09           8.74
    03/Jan/1999         21.200              26              ?         14.723          4.769          0.617          258.9            0.0        750.000          0.690          1.000          1.000          1.000             1.000         27.000         19.000         17.000        344.142         12.000          15.51          10.35
    04/Jan/1999          0.200              27              ?         14.715          4.824          0.753          311.8            0.0        780.000          0.833          1.000          1.000          1.000             1.000         27.500         20.500         19.000        357.142         13.000          18.68          12.47
    05/Jan/1999          6.000              28              ?         14.706          4.881          0.939          387.1            0.0        810.000          1.460          1.000          1.000          1.000             1.000         28.500         20.000         23.000        370.392         13.250          23.19          15.48
    06/Jan/1999          3.800              29              ?         14.696          4.940          1.186          527.7            0.0        840.000          2.510          1.000          1.000          1.000             1.000         29.500         18.500         26.000        383.392         13.000          31.62          21.10
    07/Jan/1999          0.000              30              ?         14.686          5.000          1.465          756.9            0.0        870.000          3.433          1.000          1.000          1.000             1.000         30.000         19.000         25.000        396.892         13.500          45.37          30.27
    08/Jan/1999          0.000              31              ?         14.675          5.043          1.725         1051.6            0.0        900.000          4.380          1.000          1.000          1.000             1.000         31.000         17.500         28.000        410.067         13.176          61.96          43.15
    09/Jan/1999          0.000              32              ?         14.664          5.089          1.966         1353.4            0.0        930.000          4.594          1.000          1.000          0.889             1.000         32.500         19.500         26.000        424.637         14.570          77.76          57.52
    10/Jan/1999         77.200              33              ?         14.652          5.130          2.168         1575.2            0.0        960.000          3.628          1.000          1.000          0.911             1.000         28.500         20.000         20.000        437.887         13.250          88.57          68.87
    11/Jan/1999          5.000              34              ?         14.640          5.174          2.399         1909.4            0.0        990.000          5.464          1.000          1.000          0.831             1.000         32.000         18.500         28.000        451.839         13.952         103.62          87.23
    12/Jan/1999          0.000              35              ?         14.627          5.221          2.585         2114.8            0.0       1020.000          3.669          1.000          1.000          0.894             1.000         30.000         21.500         18.000        466.589         14.750         112.05          99.33
    13/Jan/1999          1.600              36              ?         14.613          5.268          2.836         2457.3            0.0       1050.000          5.739          1.000          1.000          0.866             1.000         31.500         21.000         27.000        481.621         15.032         124.73         120.90
    14/Jan/1999          0.000              37              ?         14.599          5.318          3.027         2801.3            0.0       1080.000          6.062          1.000          1.000          0.862             1.000         32.500         22.500         27.000        497.616         15.995         135.98         144.04
    15/Jan/1999          1.800              38              ?         14.584          5.361          3.162         3113.0            0.0       1110.000          5.219          1.000          1.000          0.880             1.000         28.500         21.000         24.000        511.366         13.750         145.01         166.16
    16/Jan/1999          1.400              39              ?         14.569          5.399          3.297         3462.9            0.0       1140.000          5.605          1.000          1.000          0.886             1.000         29.500         16.500         26.000        523.366         12.000         154.03         192.12
    17/Jan/1999          0.000              40              ?         14.553          5.436          3.418         3820.2            0.0       1170.000          5.643          1.000          1.000          0.897             1.000         29.000         16.500         26.000        535.116         11.750         162.11         219.76
    18/Jan/1999          0.000              41              ?         14.537          5.478          3.522         4186.2            0.0       1200.000          5.840          1.000          1.000          0.918             1.000         29.500         19.000         26.000        548.366         13.250         169.05         249.38
    19/Jan/1999          0.000              42              ?         14.520          5.517          3.607         4549.2            0.0       1230.000          5.619          1.000          1.000          0.942             1.000         30.500         16.500         25.000        560.856         12.490         174.70         279.98
    20/Jan/1999          0.000              43              ?         14.503          5.559          3.674         4924.3            0.0       1260.000          5.748          1.000          1.000          0.971             1.000         31.000         18.000         25.000        574.280         13.424         179.18         312.96
    21/Jan/1999          1.200              44              ?         14.485          5.604          3.717         5282.0            0.0       1290.000          5.361          1.000          1.000          1.000             1.000         30.500         20.000         23.000        588.506         14.227         182.08         345.77
    22/Jan/1999          0.200              45              ?         14.467          5.645          3.744         5683.6            0.0       1320.000          5.770          1.000          1.000          1.000             1.000         31.000         17.500         25.000        601.682         13.176         183.91         384.04
    23/Jan/1999          0.000              46              ?         14.448          5.684          3.752         6118.2            0.0       1350.000          6.185          1.000          1.000          1.000             1.000         31.500         15.500         27.000        614.046         12.364         184.46         426.89
    24/Jan/1999          0.000              47              ?         14.429          5.728          3.750         6553.1            0.0       1380.000          6.428          1.000          1.000          1.000             1.000         33.000         18.500         27.000        628.263         14.217         184.39         469.02
    25/Jan/1999          0.000              48              ?         14.410          5.774          3.748         6907.4            0.0       1410.000          5.154          1.000          1.000          1.000             1.000         29.500         21.500         22.000        642.763         14.500         184.27         501.56
