APSIM output file, version = 5.3
Title = MelliodoraW60
           Date            day            lai        stem_wt        leaf_wt             fw             fn           rain     irrigation             es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)         sw(11)         sw(12)       sw_dep()             ft      plantleaf      plantstem        plantla   plantbiomass           swsi         plants           slai          no3()          nh4()     root_depth         rlv(1)         rlv(2)         rlv(3)         rlv(4)         rlv(5)         rlv(6)         rlv(7)         rlv(8)         rlv(9)        rlv(10)        rlv(11)        rlv(12)             ep             eo            rtr          sw150           petr           peta          ffasw         height       ftcanopy      sw_demand      sw_supply         runoff     cum_stress            esw       fwcanopy             ga        biomass           fvpd
            (?)            (?)        (m2/m2)        (kg/ha)        (kg/ha)          (0-1)          (0-1)            (?)           (mm)           (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)          (0-1)            (?)            (?)            (?)            (?)            (?)          (/ha)        (m2/m2)        (kg/ha)        (kg/ha)             ()       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)           (mm)           (mm)            (?)            (?)             ()             ()          (0-1)           (mm)          (0-1)           (mm)           (mm)           (mm)            (d)           (mm)          (0-1)             ()        (kg/ha)          (0-1)
     21/08/1889            233          1.214       1474.563       1958.802          1.000          0.937          0.000          0.000          0.803          0.387          0.496          0.459          0.302          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1370.361          1.000          0.000          0.000          0.000          0.000          0.000      62477.414          0.000        186.815          7.625        640.031          0.046          0.037          0.013          0.011          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.058          3.456          0.000          0.000          0.239          0.819          1.000        574.302          0.725          1.058          1.148          0.000          3.623        180.861          0.172          0.047       3434.233          1.000
     21/08/1890            233          1.248       1563.082       2012.514          0.745          0.924          0.000          0.000          0.466          0.254          0.389          0.426          0.320          0.253          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1330.223          1.000          0.000          0.000          0.000          0.000          0.000      62474.617          0.004        170.855         18.578       1080.783          0.071          0.050          0.008          0.006          0.004          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.639          3.310          0.000          0.000          0.223          0.635          1.000        580.698          0.550          0.857          0.639          0.000          2.666        140.723          0.000          0.048       3581.678          1.000
     21/08/1891            233          0.836        836.041       1348.283          1.000          0.868          0.000          0.000          1.585          0.442          0.490          0.385          0.301          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1354.985          1.000          0.000          0.000          0.000          0.000          0.000      62492.742          0.000        170.850         24.369        437.231          0.071          0.041          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.612          3.399          0.000          0.000          0.115          0.498          1.000        515.145          0.350          0.612          0.842          0.000          2.482        165.485          0.750          0.045       2184.756          1.000
     21/08/1892            234          0.730        940.477       1176.922          0.252          1.000          0.000          0.000          0.531          0.222          0.366          0.382          0.301          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1302.935          1.000          0.000          0.000          0.000          0.000          0.000      62490.816          0.006        180.005         32.634        644.481          0.048          0.042          0.011          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.168          3.653          0.000          0.000          0.123          0.544          1.000        527.267          0.625          0.667          0.168          0.000         22.730        113.435          0.000          0.046       2126.677          1.000
     21/08/1893            233          0.868        916.554       1400.104          0.853          1.000          2.600          0.000          0.659          0.308          0.425          0.414          0.302          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1334.331          1.000          0.000          0.000          0.000          0.000          0.000      62491.277          0.002        191.051         34.564        666.333          0.041          0.042          0.026          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.617          3.399          0.000          0.000          0.144          0.579          1.000        524.692          0.950          0.723          0.617          0.000          5.050        144.831          0.000          0.046       2319.183          1.000
     21/08/1894            233          0.695        788.856       1121.413          0.399          1.000         11.500          0.000          0.342          0.219          0.388          0.385          0.302          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1306.813          1.000          0.000          0.000          0.000          0.000          0.000      62493.539          0.004        207.648         34.898        705.001          0.045          0.047          0.017          0.002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.223          3.561          0.000          0.000          0.110          0.449          1.000        509.945          0.800          0.559          0.223          0.000         14.841        117.313          0.000          0.045       1917.417          1.000
     21/08/1895            233          0.182        255.984        293.280          0.026          1.000          0.000          0.000          3.029          0.192          0.320          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1289.801          1.000          0.000          0.000          0.000          0.000          0.000      62499.320          0.002        240.125         35.044        300.314          0.033          0.010          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.004          3.575          0.000          0.000          0.011          0.143          1.000        411.770          0.650          0.154          0.004          0.000         59.258        100.301          0.000          0.041        552.234          1.000
     21/08/1896            234          0.472        472.306        761.257          1.000          0.995          0.000          0.000          0.587          0.350          0.428          0.380          0.300          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1330.510          1.000          0.000          0.000          0.000          0.000          0.000      62497.684          0.000        250.295         38.782        334.834          0.049          0.042          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.388          3.619          0.000          0.000          0.056          0.332          1.000        461.642          0.525          0.388          0.527          0.000         17.435        141.009          0.711          0.043       1233.783          1.000
     21/08/1897            233          0.467        451.879        753.880          1.000          0.994          1.700          0.000          2.520          0.361          0.473          0.381          0.301          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1339.439          1.000          0.000          0.000          0.000          0.000          0.000      62497.879          0.000        266.942         42.740        367.220          0.027          0.041          0.002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.391          3.590          0.000          0.000          0.055          0.335          1.000        457.110          0.775          0.391          0.640          0.000         24.432        149.939          1.000          0.043       1205.974          1.000
     21/08/1898            233          0.095        146.960        152.984          0.000          1.000          0.000          0.000          0.000          0.190          0.320          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1289.500          1.000          0.000          0.000          0.000          0.000          0.000      49999.664          0.001        286.537         55.673        300.591          0.018          0.009          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.407          0.000          0.000          0.003          0.085          1.000        384.959          0.675          0.088          0.000          0.000         89.926        100.000          0.000          0.040        334.178          1.000
     21/08/1899            233          0.352        357.392        568.068          0.101          1.000          2.300          0.000          0.443          0.195          0.330          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1291.675          1.000          0.000          0.000          0.000          0.000          0.000      62498.676          0.003        289.163         59.350        302.692          0.048          0.028          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.029          3.546          0.000          0.000          0.035          0.250          1.000        438.724          0.675          0.285          0.029          0.000         20.057        102.175          0.000          0.042        930.780          1.000
     21/08/1900            233          0.638        635.489       1028.239          0.579          1.000          0.000          0.000          1.229          0.298          0.361          0.380          0.300          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1312.392          1.000          0.000          0.000          0.000          0.000          0.000      62495.809          0.003        261.255         62.815        314.273          0.060          0.049          0.002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.294          3.550          0.000          0.000          0.088          0.420          1.000        489.423          0.275          0.508          0.294          0.000          7.509        122.892          0.000          0.044       1668.393          1.000
