Summary_file = sysbal.sum
Title = sysbal Sample Simulation
       day      year        biomass          no3()          nh4()       biom_n()        fom_n()         runoff             ep          drain             es           pond       sw_dep() n_error_system n_cum_error_system sw_error_system sw_cum_error_system dm_error_system dm_cum_error_system c_error_system c_cum_error_system
     (day)    (year)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)            (?)           (mm)           (mm)           (mm)           (mm)        (kg/ha)            (kg/ha)            (mm)                (mm)         (kg/ha)             (kg/ha)        (kg/ha)            (kg/ha)
       166      1988          0.000         82.384          8.000        115.926         19.763          0.000              ?          0.000          0.166          0.000        720.433          0.000              0.000           0.000               0.000           0.000               0.000          0.000              0.000
       167      1988          0.000         83.324          7.201        116.119         19.481          0.000              ?          0.000          0.165          0.000        720.268          0.000              0.000           0.000               0.000          -0.010              -0.010         -0.001             -0.001
       168      1988          0.000         84.251          6.443        116.333         19.161          0.000              ?          0.000          0.164          0.000        720.105          0.000              0.000          -0.000               0.000           0.031               0.021          0.006              0.005
       169      1988          0.000         85.158          5.739        116.570         18.794          0.000              ?          0.000          0.162          0.000        719.943         -0.002             -0.002          -0.000               0.000          -0.050              -0.029         -0.011             -0.005
       170      1988          0.000         86.049          5.093        116.832         18.373          0.000              ?          0.000          0.161          0.000        719.782          0.002              0.000          -0.000               0.000           0.026              -0.003          0.011              0.005
       171      1988          0.000         86.849          4.552        117.086         17.950          0.000              ?          0.000          0.160          0.000        719.622          0.000              0.000           0.000               0.000           0.012               0.009         -0.002              0.004
       172      1988          0.000         87.557          4.097        117.322         17.549          0.000              ?          0.000          0.158          0.000        719.464          0.000              0.000           0.000               0.000           0.002               0.011          0.004              0.008
       173      1988          0.000         88.213          3.705        117.551         17.151          0.000              ?          0.000          0.157          0.000        719.307          0.000              0.000          -0.000               0.000          -0.016              -0.005         -0.003              0.004
       174      1988          0.000         88.799          3.376        117.761         16.775          0.000              ?          0.000          0.156          0.000        719.151          0.000              0.000           0.000               0.000          -0.040              -0.045         -0.019             -0.015
       175      1988          0.000         89.325          3.103        117.955         16.420          0.000              ?          0.000          0.155          0.000        718.996          0.000              0.000          -0.000               0.000           0.069               0.024          0.021              0.006
       176      1988          5.520         89.808          2.871        118.136         16.079          0.000              ?          0.000          0.153          0.000        718.843          0.562              0.562          -0.000              -0.000          17.476              17.500          7.000              7.006
       177      1988          7.317         90.115          2.675        118.305         15.751          0.000              ?          0.000          0.152          0.000        718.659          0.000              0.562           0.000               0.000           0.032              17.531          0.009              7.016
       178      1988          9.268         90.378          2.512        118.460         15.443          0.000              ?          0.000          0.151          0.000        718.479         -0.001              0.562           0.000               0.000          -0.039              17.493         -0.025              6.991
       179      1988         11.797         90.594          2.367        118.613         15.129          0.000              ?          0.000          0.150          0.000        718.288          0.001              0.562          -0.000               0.000           0.039              17.531          0.025              7.016
       180      1988         14.699         90.771          2.242        118.758         14.819          0.000              ?          0.000          0.149          0.000        718.085          0.001              0.563          -0.000              -0.000          -0.014              17.518         -0.012              7.004
