Summary_file = orobanche1.sum
Title = orobanchen Sample Simulation
       day      year     faba_stage       faba_lai   faba_biomass     faba_yield       daa     orob_stage   orob_biomass     population population_dead population_alive    attach_area
     (day)    (year)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)        ()             ()        (kg/ha) (parasites/m2)  (parasites/m2)   (parasites/m2)             ()
       192      1988          4.995          3.476       2312.688          0.000        50          3.820          0.000          0.887           0.000            0.887          0.240
       193      1988          5.000          3.573       2378.295          0.000        51          3.917          0.000          1.000           0.000            1.000          0.249
       194      1988          6.000          3.621       2458.991          0.000        52          4.005          0.000          1.106           0.000            1.106          0.255
       195      1988          6.026          3.705       2578.201          0.000        53          4.051          0.000          1.220           0.000            1.220          0.261
       196      1988          6.041          3.801       2705.374          0.000        54          4.098          0.000          1.367           0.000            1.367          0.270
       197      1988          6.055          3.900       2838.829          0.000        55          4.143          0.000          1.537           0.000            1.537          0.281
       198      1988          6.069          3.995       2967.185          0.000        56          4.188          0.000          1.731           0.000            1.731          0.293
       199      1988          6.085          4.096       3104.567          0.000        57          4.231          0.000          1.943           0.000            1.943          0.306
       200      1988          6.098          4.206       3251.781          0.000        58          4.278          0.000          2.203           0.000            2.203          0.320
       201      1988          6.111          4.322       3409.535          0.000        59          4.319          0.000          2.481           0.000            2.481          0.336
       202      1988          6.126          4.425       3552.615          0.000        60          4.355          0.000          2.776           0.000            2.776          0.354
       203      1988          6.143          4.498       3663.437          0.000        61          4.398          0.000          3.126           0.000            3.126          0.371
       204      1988          6.159          4.553       3754.898          0.000        62          4.454          0.000          3.559           0.000            3.559          0.384
       205      1988          6.170          4.635       3883.504          0.000        63          4.510          0.000          4.018           0.000            4.018          0.394
       206      1988          6.181          4.706       4002.675          0.000        64          4.548          0.000          4.448           0.000            4.448          0.410
       207      1988          6.193          4.802       4157.654          0.000        65          4.575          0.000          4.823           0.000            4.823          0.424
       208      1988          6.208          4.902       4324.885          0.000        66          4.604          0.000          5.293           0.000            5.293          0.444
       209      1988          6.219          4.972       4457.167          0.000        67          4.646          0.000          5.964           0.000            5.964          0.465
       210      1988          6.231          5.051       4606.382          0.000        68          4.682          0.000          6.566           0.000            6.566          0.482
       211      1988          6.243          5.117       4742.483          0.000        69          4.710          0.000          7.159           0.000            7.159          0.501
       212      1988          6.259          5.187       4887.841          0.000        70          4.741          0.000          7.813           0.000            7.813          0.519
       213      1988          6.272          5.267       5051.478          0.000        71          4.783          0.000          8.692           0.000            8.692          0.538
       214      1988          6.286          5.339       5208.417          0.000        72          4.822          0.000          9.667           0.000            9.667          0.560
       215      1988          6.301          5.395       5350.291          0.000        73          4.859          0.000         10.692           0.000           10.692          0.581
       216      1988          6.317          5.464       5511.324          0.000        74          4.904          0.000         11.896           0.000           11.896          0.600
       217      1988          6.334          5.524       5665.564          0.000        75          4.955          0.000         13.904           0.000           13.904          0.622
       218      1988          6.350          5.573       5809.123          0.000        76          5.001          0.000         20.240           0.000           20.240          0.643
       219      1988          6.367          5.606       5933.873          0.000        77          5.010          0.000         20.854           0.000           20.854          0.662
       220      1988          6.377          5.625       6041.111          0.000        78          5.018          0.000         21.388           0.000           21.388          0.679
