Summary_file = met.sum
Title = Met Sample Simulation
            day           year           radn           maxt           mint           rain     day_length
          (day)         (year)        (MJ/m2)           (oC)           (oC)           (mm)        (hours)
              1           1988         20.740         33.000         17.400          0.200         14.699
              2           1988         23.430         33.800         23.000          0.000         14.693
              3           1988         23.790         32.500         21.000          0.000         14.685
              4           1988         19.140         30.800         19.700         34.000         14.677
              5           1988         17.110         28.200         19.200          2.000         14.668
              6           1988         22.720         29.000         17.800          0.000         14.659
              7           1988         22.470         28.400         17.800          0.000         14.649
              8           1988         25.200         31.200         17.000          0.000         14.639
              9           1988         26.160         33.600         18.000          0.000         14.628
             10           1988         25.750         34.400         19.400          0.000         14.616
             11           1988         22.870         31.600         20.600          0.000         14.604
             12           1988         21.910         29.600         19.800          0.000         14.591
             13           1988         24.380         30.000         18.200          0.000         14.578
             14           1988         25.660         30.600         16.000          0.000         14.564
             15           1988         24.330         30.400         16.400          0.000         14.549
             16           1988         15.050         26.800         18.600         13.000         14.534
             17           1988         23.380         34.200         18.400          9.000         14.519
             18           1988         27.520         37.000         18.000          0.000         14.503
             19           1988         20.860         33.400         21.400          1.000         14.487
             20           1988         20.330         32.800         19.000         99.000         14.470
             21           1988         25.450         35.000         21.200          0.000         14.452
             22           1988         19.540         32.800         20.000          5.200         14.434
             23           1988         20.750         31.200         21.600          0.000         14.416
             24           1988         25.260         35.000         21.000          0.000         14.397
             25           1988         23.720         32.000         20.400          0.000         14.378
             26           1988         23.880         29.400         18.400          0.000         14.358
             27           1988         24.470         28.900         14.800          0.000         14.338
             28           1988         22.590         29.400         16.000          0.000         14.318
             29           1988         22.100         29.200         19.600          0.000         14.297
             30           1988         24.160         31.600         16.400          0.000         14.276
