Summary_file = soiltemp.sum
Title = sample simulation
           Date   soil_temp(1)   soil_temp(2)   soil_temp(3)   soil_temp(4)   soil_temp(5)   soil_temp(6)   soil_temp(7)   maxt_soil(1)   mint_soil(1)
             ()            (C)            (C)            (C)            (C)            (C)            (C)            (C)            (C)            (C)
      7/01/1988         16.655         17.728         19.258         19.838         19.657         19.573         19.569         20.850         12.877
     14/01/1988         14.999         15.999         17.434         18.484         19.096         19.395         19.563         20.251          9.833
     21/01/1988         20.974         21.526         21.018         19.799         19.269         19.314         19.530         27.625         15.944
     28/01/1988         15.517         16.104         17.567         19.123         19.669         19.644         19.530         20.064         10.838
      4/02/1988         15.505         17.034         18.562         19.083         19.226         19.371         19.523         20.989         10.882
     11/02/1988         16.589         16.661         17.264         18.204         18.829         19.202         19.496         21.602         11.456
     18/02/1988         16.366         16.722         17.824         18.909         19.169         19.271         19.459         20.819         11.856
     25/02/1988         19.032         18.092         17.480         17.952         18.628         19.087         19.430         21.912         16.225
      4/03/1988         20.569         20.976         20.708         19.825         19.305         19.252         19.387         25.530         16.321
     11/03/1988         17.155         17.293         17.924         18.824         19.356         19.437         19.390         23.436         10.750
     18/03/1988         13.951         14.616         15.719         16.939         18.163         18.911         19.369         19.064          8.900
     25/03/1988         18.876         17.215         16.047         16.457         17.537         18.480         19.288         22.944         15.170
      1/04/1988         20.769         18.558         16.704         16.541         17.422         18.340         19.187         24.676         17.536
      8/04/1988         23.081         21.965         20.526         19.367         18.746         18.775         19.107         25.628         20.596
     22/04/1988         17.003         16.904         17.327         18.011         18.593         18.918         19.097         21.672         12.334
     29/04/1988         17.442         16.836         16.541         17.169         18.065         18.645         19.062         19.777         15.216
      6/05/1988         14.186         15.107         16.357         17.424         18.114         18.579         19.007         20.205          8.904
     13/05/1988         11.222         11.958         13.379         15.363         17.153         18.208         18.943         16.592          6.126
     20/05/1988         13.236         14.136         15.331         16.078         16.848         17.819         18.828         18.468          8.799
     27/05/1988         13.065         13.128         13.632         14.965         16.511         17.694         18.711         17.327          8.714
      3/06/1988         13.444         13.352         13.578         14.385         15.911         17.325         18.574         17.519          9.357
     10/06/1988         12.310         12.530         13.522         15.172         16.455         17.441         18.434         16.547          7.977
     17/06/1988         10.516         10.823         11.638         13.238         15.386         17.008         18.304         15.178          5.730
     24/06/1988          9.350          9.765         10.916         12.824         14.906         16.609         18.131         14.574          4.079
      1/07/1988          8.070          8.670         10.195         12.421         14.602         16.349         17.941         14.140          1.864
      8/07/1988         12.271         12.719         13.534         14.166         15.003         16.282         17.748         16.500          8.015
     15/07/1988         11.917         12.842         13.879         14.586         15.463         16.498         17.600         17.080          7.339
     22/07/1988         14.929         14.445         13.588         13.818         15.147         16.388         17.477         18.572         13.130
     30/07/1988         11.064         10.713         11.003         12.621         14.611         16.093         17.327         14.718          7.467
      6/08/1988         12.647         12.827         12.764         13.209         14.423         15.805         17.170         16.963         10.794
     13/08/1988          8.332          8.882          9.886         11.505         13.732         15.520         17.011         13.753          2.904
     20/08/1988         12.261         12.459         12.714         12.814         13.831         15.290         16.825         18.987          5.372
     27/08/1988         13.675         13.185         13.148         13.993         14.861         15.714         16.679         16.866         10.521
      3/09/1988         13.920         13.791         13.864         14.107         14.867         15.737         16.582         18.642          9.183
     10/09/1988         13.286         13.397         14.127         14.968         15.452         15.934         16.503         17.591          8.956
     17/09/1988         13.820         14.498         15.203         15.449         15.717         16.061         16.454         20.612          7.017
     24/09/1988         13.317         12.798         12.504         13.375         14.827         15.773         16.411         18.068          8.497
      1/10/1988         16.976         16.627         15.747         15.315         15.291         15.712         16.332         22.881         14.047
      8/10/1988         15.412         15.754         16.094         15.965         15.798         15.971         16.289         21.086         10.291
     15/10/1988         17.570         17.024         16.200         15.728         15.837         16.064         16.274         22.868         12.222
     22/10/1988         17.434         16.319         15.284         15.345         15.789         16.072         16.264         23.281         11.539
     29/10/1988         15.619         15.233         15.059         15.430         15.843         16.072         16.252         22.484          8.600
      5/11/1988         16.619         16.526         16.315         16.150         16.085         16.129         16.242         22.525         10.699
     12/11/1988         14.371         14.635         14.903         15.320         15.851         16.116         16.244         19.613          9.574
     19/11/1988         13.565         13.248         13.516         14.558         15.421         15.888         16.226         20.516          6.605
     26/11/1988         14.275         14.470         14.897         15.276         15.521         15.823         16.188         20.369          8.122
      3/12/1988         21.310         18.460         15.700         14.991         15.382         15.805         16.160         26.675         16.475
     10/12/1988         24.105         22.865         20.279         17.520         16.224         16.028         16.139         28.945         19.996
     17/12/1988         20.307         19.134         17.726         17.250         17.029         16.619         16.183         22.215         18.632
     24/12/1988         19.369         19.150         18.847         18.382         17.548         16.833         16.253         23.285         15.560
     31/12/1988         17.223         17.650         18.120         18.179         17.624         16.965         16.340         21.475         13.512
      7/01/1989         21.000         21.031         20.168         18.754         17.696         16.997         16.422         25.823         16.433
     14/01/1989         16.403         17.281         18.187         18.418         17.837         17.155         16.512         22.026         12.334
     21/01/1989         18.528         19.424         18.876         17.592         17.154         16.908         16.586         26.851         12.842
     28/01/1989         13.684         14.877         16.063         16.970         17.251         17.003         16.640         19.777          8.973
      4/02/1989         19.293         18.299         17.165         16.656         16.588         16.643         16.668         20.711         18.177
     11/02/1989         22.967         20.519         18.124         17.276         16.982         16.804         16.683         27.475         18.841
     18/02/1989         15.071         15.442         16.114         16.756         17.003         16.909         16.718         20.407          9.718
     25/02/1989         16.163         16.963         17.593         17.517         17.097         16.856         16.740         21.049         11.994
      4/03/1989         17.683         17.186         16.717         16.586         16.729         16.791         16.765         21.028         14.370
     11/03/1989         16.429         16.503         16.715         16.927         16.938         16.858         16.779         22.053         10.794
     18/03/1989         21.351         21.126         20.237         18.520         17.320         16.932         16.798         23.706         19.138
     25/03/1989         25.014         22.615         19.864         18.427         17.748         17.278         16.851         27.934         22.367
      1/04/1989         19.452         19.448         19.370         19.048         18.333         17.595         16.928         21.560         17.338
      8/04/1989         17.447         17.942         18.645         18.895         18.389         17.696         17.020         20.992         13.920
     15/04/1989         13.585         14.762         16.600         17.764         17.814         17.496         17.097         19.779          7.473
     22/04/1989         18.115         17.028         16.291         16.426         16.851         17.069         17.127         23.252         13.206
     29/04/1989         16.126         17.210         18.098         17.806         17.269         17.111         17.124         21.786         11.237
      6/05/1989         16.439         16.251         16.181         16.541         16.948         17.104         17.138         20.911         12.203
     13/05/1989         17.448         17.276         17.331         17.354         17.170         17.107         17.137         21.349         13.478
     20/05/1989         16.330         16.764         17.421         17.658         17.444         17.262         17.150         19.454         13.288
     27/05/1989         16.815         16.121         15.738         16.215         16.835         17.089         17.167         18.488         15.362
      3/06/1989         12.870         13.158         13.883         15.047         16.132         16.746         17.147         16.975          8.638
