ApsimVersion = 5.4
Title = Simple System Simulation
           Date           rain  settabledummy
             ()           (mm)            (?)
     14/06/1988          0.000          1.000
     15/06/1988          0.000          1.000
     16/06/1988          0.000          1.000
     17/06/1988          0.000          1.000
     18/06/1988          0.000          1.000
     19/06/1988          0.000          1.000
     20/06/1988          0.000          1.000
     21/06/1988          0.000          1.000
     22/06/1988          0.000          1.000
     23/06/1988          0.000          1.000
     24/06/1988          0.000          1.000
     25/06/1988          0.000          1.000
     26/06/1988          0.000          1.000
     27/06/1988          0.000          1.000
     28/06/1988          0.000          1.000
     29/06/1988          0.000          1.000
     30/06/1988          0.000          1.000
     01/07/1988          0.000          1.000
     02/07/1988          0.000          1.000
     03/07/1988          0.000          1.000
     04/07/1988          1.100          1.000
     05/07/1988         27.400          1.000
     06/07/1988         39.200          1.000
     07/07/1988          0.000          1.000
     08/07/1988          0.000          1.000
     09/07/1988          0.000          2.000
     10/07/1988          0.000          2.000
     11/07/1988         15.600          2.000
     12/07/1988          0.800          2.000
     13/07/1988          0.000          2.000
     14/07/1988          0.000          2.000
     15/07/1988          0.000          2.000
     16/07/1988          0.000          2.000
     17/07/1988          0.000          2.000
     18/07/1988        123.000          2.000
     19/07/1988          0.000          2.000
     20/07/1988          0.000          2.000
     21/07/1988          0.000          2.000
     22/07/1988          8.500          2.000
     23/07/1988          0.000          2.000
     24/07/1988          0.000          2.000
     25/07/1988          0.000          2.000
     26/07/1988          0.000          2.000
     27/07/1988          0.000          2.000
     28/07/1988          0.000          2.000
     29/07/1988          0.000          2.000
     30/07/1988          0.000          2.000
     31/07/1988          0.000          2.000
     01/08/1988          0.000          2.000
     02/08/1988          0.000          2.000
     03/08/1988          0.000          2.000
     04/08/1988          0.000          2.000
     05/08/1988          0.000          2.000
     06/08/1988          0.000          2.000
     07/08/1988          0.000          2.000
     08/08/1988          0.000          2.000
     09/08/1988          0.000          2.000
     10/08/1988          0.000          2.000
     11/08/1988          0.000          2.000
     12/08/1988          0.000          2.000
     13/08/1988          0.000          2.000
     14/08/1988          0.000          2.000
     15/08/1988          0.000          2.000
     16/08/1988          0.000          2.000
     17/08/1988          0.000          2.000
     18/08/1988          0.000          2.000
     19/08/1988          0.000          2.000
     20/08/1988          0.000          2.000
     21/08/1988          0.000          2.000
     22/08/1988          0.000          2.000
     23/08/1988         34.800          2.000
     24/08/1988          1.200          2.000
     25/08/1988          0.000          2.000
     26/08/1988          0.000          2.000
     27/08/1988          0.000          2.000
     28/08/1988          6.400          2.000
     29/08/1988          0.000          2.000
     30/08/1988          0.000          2.000
     31/08/1988          0.000          2.000
     01/09/1988          1.000          2.000
     02/09/1988          0.000          2.000
     03/09/1988          0.000          2.000
     04/09/1988          1.200          2.000
     05/09/1988          0.600          2.000
     06/09/1988          0.000          2.000
     07/09/1988          8.000          2.000
     08/09/1988          0.000          2.000
     09/09/1988          0.000          2.000
     10/09/1988          0.000          2.000
     11/09/1988          0.000          2.000
     12/09/1988         14.000          2.000
     13/09/1988         13.000          2.000
     14/09/1988          0.000          2.000
     15/09/1988         13.400          2.000
     16/09/1988          1.200          2.000
     17/09/1988          0.000          2.000
     18/09/1988          0.000          2.000
     19/09/1988          0.000          2.000
     20/09/1988          0.000          2.000
     21/09/1988          0.000          2.000
     22/09/1988          0.000          2.000
     23/09/1988          0.000          2.000
     24/09/1988          0.000          2.000
     25/09/1988          0.000          2.000
     26/09/1988          0.000          2.000
     27/09/1988          0.000          2.000
     28/09/1988          6.400          2.000
     29/09/1988          0.000          2.000
     30/09/1988          0.000          2.000
     01/10/1988          0.000          2.000
     02/10/1988          0.000          2.000
     03/10/1988          0.000          2.000
     04/10/1988          0.000          2.000
     05/10/1988          0.000          2.000
     06/10/1988          0.000          2.000
     07/10/1988          0.000          2.000
     08/10/1988          0.000          2.000
     09/10/1988          0.000          2.000
     10/10/1988          0.000          2.000
     11/10/1988          0.000          2.000
     12/10/1988          0.000          2.000
     13/10/1988          0.000          2.000
     14/10/1988          0.000          2.000
     15/10/1988          0.000          2.000
     16/10/1988          0.000          2.000
     17/10/1988          0.000          2.000
     18/10/1988          0.000          2.000
     19/10/1988          0.000          2.000
     20/10/1988          0.000          2.000
     21/10/1988          0.000          2.000
     22/10/1988          0.000          2.000
     23/10/1988          0.000          2.000
     24/10/1988          2.200          2.000
     25/10/1988          0.400          2.000
     26/10/1988          0.000          2.000
     27/10/1988          0.000          2.000
     28/10/1988          0.000          2.000
     29/10/1988          0.000          2.000
     30/10/1988          0.000          2.000
     31/10/1988          0.000          2.000
     01/11/1988          0.000          2.000
     02/11/1988          0.000          2.000
     03/11/1988          0.000          2.000
     04/11/1988          0.000          2.000
     05/11/1988          0.000          2.000
     06/11/1988          0.600          2.000
     07/11/1988          4.000          2.000
     08/11/1988          0.000          2.000
     09/11/1988          0.000          2.000
     10/11/1988          0.000          2.000
     11/11/1988          0.000          2.000
     12/11/1988          0.000          2.000
     13/11/1988          0.000          2.000
     14/11/1988          0.000          2.000
     15/11/1988          0.000          2.000
     16/11/1988         17.000          2.000
     17/11/1988          0.000          2.000
