Summary_file = output\xifeng_w.sum
Title = Continuous winter wheat at Xifeng
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)           dnit       hum_c(1)      biom_c(1)       fom_c(1)      residue_n     residue_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()            (?)             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       243      1962     31/08/1962          0.000          1.000         74.300          0.000              0.265              0.268              0.276              0.277              0.277              0.275              0.272              0.281              0.280         40.196         13.018          0.286        828.219          1.233        192.869             19.944             47.396             51.349             22.928             12.038              8.324             10.787             10.170              9.933          0.325      13913.246        246.612         11.673          0.151         11.343          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000        180.552
       264      1962     21/09/1962          0.000          3.000         55.100          0.000              0.249              0.254              0.266              0.270              0.270              0.271              0.271              0.281              0.281         32.863         10.972         24.108        815.376          1.290        197.077             20.510             38.466             53.179             28.576             15.014              9.508             11.401             10.401             10.022          0.288      13899.090        240.960          9.671          0.101          7.555          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         97.981
       273      1962     30/09/1962          0.000          0.000        105.600          0.000              0.266              0.269              0.273              0.276              0.279              0.281              0.278              0.288              0.288         12.465         39.948         28.327        840.236         14.389        212.895             13.713             31.886             53.536             39.561             24.174             14.372             13.933             11.292             10.428          0.541      13895.982        239.769          9.576          0.078          5.823          0.000          0.000          0.000          0.000        113.420          0.000         0          0.000          0.800         13.654
       304      1962     31/10/1962          0.000          0.000         46.100          2.682              0.246              0.249              0.255              0.265              0.270              0.270              0.270              0.280              0.280         31.055          1.033         44.249        807.316          3.684        201.697             14.898             20.306             41.184             41.234             28.082             17.379             16.181             11.973             10.460          0.254      13889.705        237.431         12.131          0.056          4.206          0.581          0.000        331.667         29.900        409.520          1.739         0          0.903          1.000         55.830
       334      1962     30/11/1962          0.000          0.000         42.500          1.696              0.268              0.270              0.270              0.271              0.271              0.272              0.272              0.282              0.282         13.564          0.000         10.538        824.018          2.818        193.119              5.824             18.932             36.400             41.324             30.379             19.392             17.646             12.538             10.684          0.095      13888.016        236.979         18.734          0.047          3.499          0.002          0.000        524.154         39.314        496.640          2.435         0          1.000          1.000         23.638
       365      1962     31/12/1962          0.000          0.000          0.000          0.001              0.249              0.253              0.261              0.269              0.270              0.270              0.270              0.280              0.280          8.511          0.000          4.151        811.355          2.711        193.047              8.276             18.009             35.158             41.016             30.284             19.373             17.715             12.559             10.659          0.003      13887.761        236.975         25.725          0.042          3.156          0.002          0.000        524.236         33.662        508.220          2.435         0          1.000          1.000         12.700
        31      1963     31/01/1963          0.000          0.000          0.000          0.000              0.231              0.239              0.252              0.262              0.269              0.270              0.270              0.280              0.280          9.668          0.000          0.000        801.687          2.548        193.324             11.344             17.482             34.035             39.935             30.209             19.375             17.718             12.563             10.664          0.000      13887.339        236.978         31.437          0.038          2.837          0.002          0.000        524.254         28.818        510.260          2.435         0          1.000          1.000         14.396
        59      1963     28/02/1963          0.000          0.000          1.500          0.003              0.221              0.230              0.244              0.256              0.264              0.270              0.270              0.280              0.280          9.966          0.000          0.000        793.217          2.445        193.517             14.195             17.340             33.170             38.823             29.657             19.377             17.721             12.566             10.667          0.000      13887.094        236.986         35.873          0.038          2.837          0.002          0.000        524.567         25.066        529.580          2.435         0          1.000          1.000         36.106
        90      1963     31/03/1963          0.000          0.000          4.300          0.246              0.217              0.226              0.239              0.252              0.261              0.268              0.270              0.280              0.280          9.600          0.000          0.000        787.672         94.840        202.107             23.685             18.053             32.977             38.006             29.189             19.229             17.726             12.571             10.671          0.000      13883.550        237.073         35.480          0.038          2.837          0.029          0.000        541.376         22.328        722.960          2.435         0          1.000          1.000         79.648
       120      1963     30/04/1963          0.000          0.000         30.800          3.826              0.258              0.257              0.242              0.247              0.257              0.265              0.270              0.280              0.280         19.056          0.000          0.000        795.590         23.465        275.170             66.703             47.084             34.979             37.686             28.715             19.020             17.733             12.575             10.675          0.000      13876.809        236.689         31.973          0.031          2.298          0.469          0.000        929.516         30.793       1027.220          2.458         0          1.000          1.000         87.739
