Summary_file = output\dingxi_w.sum
Title = Continuous spring wheat at Dingxi
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()             ()             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       120      1971     30/04/1971          0.000          0.000          8.100         10.427              0.097              0.133              0.169              0.190              0.194              0.195              0.195              0.197         12.087          0.000          0.000        361.696        124.200         79.391             21.714              4.864              6.555             11.730             10.820              9.307              7.377              7.023          0.000       9479.799        294.326         68.818          0.457         39.791          0.918          0.000        689.623         47.956        443.930          1.573         0          0.882          0.895        110.335
       151      1971     31/05/1971          0.000          0.000         24.200         31.186              0.089              0.121              0.134              0.149              0.186              0.194              0.196              0.200         17.258          0.000          0.000        337.453         18.743        147.506             88.729              7.785              6.578             10.369             10.155              9.304              7.465              7.123          0.000       9477.646        293.858         69.406          0.409         35.602          0.989          0.000       2243.909         88.105        918.890          4.094         0          0.900          0.672        148.425
       181      1971     30/06/1971          0.000          0.000         57.900         35.178              0.181              0.181              0.133              0.123              0.142              0.176              0.194              0.201         28.593          0.000          0.000        331.582          3.215        150.926             57.195             45.062              7.385              9.873              8.823              8.000              7.406              7.183          0.000       9474.984        295.744         65.903          0.178         15.462          0.616        353.338       4116.815         95.306       1515.110          5.282         0          1.000          0.845        168.486
       208      1971     27/07/1971          2.000          0.000         38.400         38.455              0.121              0.152              0.139              0.118              0.131              0.160              0.181              0.198         24.758          0.000          0.000        306.769          0.518        123.975             30.089             40.612             12.529              9.974              8.776              7.775              7.106              7.116          0.000       9468.698        292.779         54.408          0.083          7.265          0.002       2215.362       5936.559         83.661       1689.457          8.674       206          1.000          1.000        156.946
       212      1971     31/07/1971          0.000          0.000          0.200          0.000              0.080              0.150              0.139              0.118              0.131              0.161              0.181              0.197          4.624          0.000          0.000        302.345          0.534        124.329             30.512             40.400             12.617             10.010              8.794              7.788              7.118              7.092          0.000       9468.698        292.779         96.516          1.719        186.423          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         29.831
       243      1971     31/08/1971          0.000          0.000         38.600          0.000              0.164              0.145              0.138              0.120              0.133              0.162              0.181              0.193         31.055          0.000          0.000        309.890          0.475        126.444             31.599             40.707             12.928             10.263              8.925              7.871              7.152              6.999          0.000       9467.306        303.327         81.156          1.100        119.294          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        150.436
       273      1971     30/09/1971          0.000          0.000        107.300          0.000              0.242              0.244              0.242              0.143              0.136              0.163              0.180              0.191         50.758          1.188          0.000        365.244          1.362        129.913             12.540             37.604             33.525             15.068              9.088              7.948              7.172              6.968          0.049       9462.578        308.487         60.282          0.602         65.296          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         73.244
       304      1971     31/10/1971          0.000          0.000         11.500          0.000              0.193              0.208              0.209              0.170              0.141              0.163              0.179              0.189         20.951          0.000          0.000        355.792          1.633        133.136             17.552             32.793             29.652             21.308              9.660              8.018              7.192              6.963          0.000       9459.521        306.622         52.580          0.549         59.534          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         61.027
       334      1971     30/11/1971          0.000          0.000          9.700          0.000              0.173              0.192              0.196              0.177              0.149              0.164              0.178              0.188         13.711          0.000          0.000        351.782          1.724        134.514             19.601             30.602             28.085             23.427             10.558              8.079              7.200              6.961          0.000       9458.619        305.863         50.669          0.542         58.782          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         32.355
       365      1971     31/12/1971          0.000          0.000          0.000          0.000              0.134              0.175              0.185              0.177              0.156              0.165              0.178              0.187          7.799          0.000          0.000        343.982          1.726        134.825             22.707             27.852             26.564             23.936             11.476              8.143              7.197              6.952          0.000       9458.586        305.832         50.604          0.542         58.782          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         16.676
