Summary_file = operatns2.sum
Title = Operatns Sample Simulation
       day      year sum@irrigation sum@fertilizer       sw_dep()          no3()
     (day)    (year)           (mm)        (kg/ha)           (mm)        (kg/ha)
         1      1988          0.000          0.000        720.433         83.310
         2      1988          0.000          0.000        720.268         84.935
         3      1988          0.000          0.000        720.105         86.365
         4      1988          0.000          0.000        746.655         87.652
         5      1988          0.000          0.000        744.691         88.819
         6      1988          0.000          0.000        743.677         89.878
         7      1988          0.000          0.000        742.892         90.833
         8      1988          0.000          0.000        742.228         91.706
         9      1988          0.000          0.000        741.641         92.541
        32      1988          0.000          0.000        773.824        107.906
