Summary_file = 
Title = stock lablab SAMPLE Simulation
           Date           rain       das          stage            lai        biomass          yield     root_depth             ep         height  dm_green_root  dm_green_stem  dm_green_leaf    dm_sen_stem    dm_sen_leaf      dm_dead()    number            sex            age         weight     cond_score         intake      wt_change      trampling dm_feed_on_offer() dm_feed_removed()
             ()           (mm)       (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)           (mm)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)       (?)            (?)            (?)            (?)            (?)            (?)            (?)             ()                 ()                ()
     13/10/1988          0.000         8          2.571          0.000          0.000          0.000        170.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000              0.000             0.000
     14/10/1988          0.000         9          2.660          0.000          0.000          0.000        180.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000              0.000             0.000
     15/10/1988          0.000        10          2.752          0.000          0.000          0.000        190.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000              0.000             0.000
     16/10/1988          0.000        11          2.832          0.000          0.000          0.000        200.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000              0.000             0.000
     17/10/1988          0.000        12          2.929          0.000          0.000          0.000        210.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000              0.000             0.000
     18/10/1988          0.000        13          2.997          0.000          0.000          0.000        220.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000              0.000             0.000
     19/10/1988          0.000        14          3.000          0.035         70.000          0.000        230.000          0.000         32.000          1.990          4.000          3.000          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000             70.000             0.000
     20/10/1988          0.000        15          3.043          0.051         75.638          0.000        250.000          0.388         32.000          2.541          4.113          3.451          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000             75.638             0.000
     21/10/1988          0.000        16          3.063          0.073         83.573          0.000        270.000          0.599         32.902          3.318          4.271          4.086          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000             83.573             0.000
     22/10/1988          0.000        17          3.087          0.104         94.633          0.000        290.000          0.704         34.172          4.402          4.493          4.971          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000             94.633             0.000
     23/10/1988          0.000        18          3.115          0.138        106.910          0.000        310.000          0.452         35.941          5.601          4.738          5.953          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            106.910             0.000
     24/10/1988          2.200        19          3.134          0.173        119.234          0.000        330.000          0.228         37.906          6.800          4.985          6.939          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            119.234             0.000
     25/10/1988          0.400        20          3.156          0.232        140.337          0.000        350.000          0.803         39.878          8.865          5.407          8.627          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            140.337             0.000
     26/10/1988          0.000        21          3.178          0.319        171.452          0.000        370.000          1.091         43.254         11.917          6.029         11.116          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            171.452             0.000
     27/10/1988          0.000        22          3.203          0.444        216.020          0.000        390.000          1.920         48.232         16.292          6.920         14.682          0.000          0.000          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            216.020             0.000
     28/10/1988          0.000        23          3.227          0.556        274.174          0.000        410.000          3.429         55.363         21.997          8.083         19.279          0.000          0.055          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            274.174             0.000
     29/10/1988          0.000        24          3.250          0.630        325.196          0.000        430.000          3.311         64.668         26.963          9.104         23.032          0.000          0.384          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            325.196             0.000
     30/10/1988          0.000        25          3.275          0.711        379.179          0.000        450.000          3.201         72.831         32.200         10.184         26.944          0.000          0.790          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            379.179             0.000
     31/10/1988          0.000        26          3.301          0.775        430.503          0.000        470.000          3.096         81.469         37.146         11.210         30.453          0.000          1.387          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            430.503             0.000
     01/11/1988          0.000        27          3.331          0.949        510.224          0.000        490.000          2.994         89.680         44.892         12.804         36.720          0.000          1.498          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            510.224             0.000
     02/11/1988          0.000        28          3.359          1.032        575.829          0.000        510.000          2.896        102.436         51.195         14.117         41.195          0.000          2.271          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            575.829             0.000
     03/11/1988          0.000        29          3.384          1.060        625.626          0.000        530.000          2.800        112.933         55.894         15.847         43.199          0.000          3.517          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            625.626             0.000
     04/11/1988          0.000        30          3.411          1.103        678.664          0.000        550.000          2.705        126.774         60.892         17.122         45.985          0.000          4.759          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            678.664             0.000
     05/11/1988          0.000        31          3.437          1.131        727.663          0.000        570.000          2.609        136.979         65.463         18.593         47.969          0.000          6.205          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            727.663             0.000
     06/11/1988          0.600        32          3.454          1.245        768.384          0.000        590.000          0.201        148.745         69.187         19.408         51.226          0.000          6.205          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            768.384             0.000
     07/11/1988          4.000        33          3.470          1.388        855.965          0.000        610.000          2.414        155.260         77.556         21.159         58.233          0.000          6.205          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            855.965             0.000
     08/11/1988          0.000        34          3.487          1.460        941.729          0.000        630.000          2.578        169.273         85.702         24.523         62.539          0.000          7.110          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            941.729             0.000
     09/11/1988          0.000        35          3.509          1.461        995.619          0.000        650.000          2.529        196.188         90.635         27.209         63.172          0.000          9.181          0.000         ?              ?              ?              ?              ?              ?              ?          0.000            995.619             0.000
     10/11/1988          0.000        36          3.535          1.483       1051.995          0.000        670.000          2.505        217.675         95.791         29.114         64.903          0.000         11.182          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           1051.995             0.000
     11/11/1988          0.000        37          3.562          1.534       1117.226          0.000        690.000          2.485        232.912        101.803         30.514         68.203          0.000         13.006          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           1117.226             0.000
     12/11/1988          0.000        38          3.588          1.588       1187.504          0.000        710.000          2.468        244.115        108.286         32.219         71.671          0.000         14.860          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           1187.504             0.000
     13/11/1988          0.000        39          3.611          1.624       1256.760          0.000        730.000          2.450        257.748        114.636         34.698         74.096          0.000         16.882          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           1256.760             0.000
     14/11/1988          0.000        40          3.635          1.624       1308.868          0.000        750.000          2.431        277.588        119.248         36.811         74.643          0.000         19.433          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           1308.868             0.000
     15/11/1988          0.000        41          3.662          1.633       1363.340          0.000        770.000          2.410        294.486        124.071         38.690         75.643          0.000         22.001          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           1363.340             0.000
     16/11/1988         17.000        42          3.674          1.775       1438.899          0.000        790.000          1.381        309.518        130.969         40.201         81.688          0.000         22.001          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           1438.899             0.000
     17/11/1988          0.000        43          3.688          1.916       1549.697          0.000        810.000          3.568        321.608        141.339         43.439         89.525          0.000         22.006          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           1549.697             0.000
     18/11/1988          0.000        44          3.709          1.941       1626.676          0.000        830.000          3.342        347.514        148.291         46.647         91.372          0.000         24.649          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           1626.676             0.000
     19/11/1988          0.000        45          3.733          1.932       1684.744          0.000        850.000          3.216        373.174        153.328         49.179         91.418          0.000         27.877          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           1684.744             0.000
     20/11/1988          0.000        46          3.755          2.055       1784.668          0.000        870.000          3.091        393.436        162.503         51.178         97.759          0.000         29.529          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           1784.668             0.000
     21/11/1988          0.000        47          3.783          2.109       1855.458          0.000        890.000          2.968        409.424        168.734         52.594        100.478          0.000         32.474          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           1855.457             0.000
     22/11/1988          2.200        48          3.811          2.187       1926.998          0.000        910.000          2.918        420.750        175.009         54.025        103.339          0.000         35.336          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           1926.998             0.000
     23/11/1988          0.000        49          3.835          2.156       1976.616          0.000        930.000          2.755        432.196        179.071         56.096        102.293          0.000         39.272          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           1976.616             0.000
     24/11/1988          0.000        50          3.861          2.138       2027.379          0.000        950.000          2.675        448.772        183.227         57.679        101.929          0.000         43.130          0.000         ?              ?              ?              ?              ?              ?              ?          0.000           2027.380             0.000
