APSIM output file, version = 5.4
Title = soybean P Sample Simulation
            day           year            lai        biomass  green_biomass       dm_green        p_green     p_senesced       p_demand    pfact_photo    pfact_pheno pfact_expansion    pfact_grain      biomass_p green_biomass_p        grain_p         leaf_p         stem_p         root_p          pod_p         head_p    dlt_p_green dlt_p_retrans() dlt_p_detached    dlt_p_sen()  p_conc_stover LeafGreenpconc StemGreenpconc grainGreenpconc p_uptake_stover grain_p_demand    surfaceom_p
          (day)         (year)      (m^2/m^2)        (kg/ha)        (kg/ha)         (g/m2)         (g/m2)         (g/m2)        (g/m^2)             ()             ()              ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)            (?)            (%)            (%)            (%)             (%)             (%)        (g/m^2)        (kg/ha)
            342           1988          0.028           17.1           17.1          7.466          0.015          0.000           0.00          0.835          1.000           1.000          1.000           0.01            0.01           0.00           0.00           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.365          0.391          0.303           0.000           0.006           0.00            0.0
            343           1988          0.032           18.8           18.8          7.768          0.016          0.000           0.00          0.878          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.367          0.392          0.312           0.000           0.007           0.00            0.0
            344           1988          0.038           21.5           21.5          8.282          0.017          0.000           0.00          0.893          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.359          0.389          0.302           0.000           0.008           0.00            0.0
            345           1988          0.045           24.9           24.9          8.924          0.019          0.000           0.00          0.854          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.359          0.390          0.306           0.000           0.009           0.00            0.0
            346           1988          0.055           29.5           29.5          9.801          0.021          0.000           0.00          0.862          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.356          0.387          0.306           0.000           0.010           0.00            0.0
            347           1988          0.065           33.9           33.9         10.659          0.023          0.000           0.00          0.846          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.361          0.391          0.318           0.000           0.012           0.00            0.0
            348           1988          0.078           40.0           40.0         11.829          0.026          0.000           0.00          0.885          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.01           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.359          0.389          0.317           0.000           0.014           0.00            0.0
            349           1988          0.094           47.8           47.8         13.343          0.030          0.000           0.00          0.876          1.000           1.000          1.000           0.02            0.02           0.00           0.01           0.01           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.359          0.390          0.320           0.000           0.017           0.00            0.0
            350           1988          0.114           56.6           56.6         15.066          0.035          0.000           0.00          0.884          1.000           1.000          1.000           0.02            0.02           0.00           0.01           0.01           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.361          0.391          0.325           0.000           0.020           0.00            0.0
            351           1988          0.130           64.1           64.1         16.504          0.039          0.000           0.00          0.900          1.000           1.000          1.000           0.02            0.02           0.00           0.01           0.01           0.02           0.00           0.00           0.00            0.00           0.00              ?          0.367          0.394          0.334           0.000           0.023           0.00            0.0
            352           1988          0.142           69.6           69.6         17.551          0.042          0.000           0.00          0.935          1.000           1.000          1.000           0.03            0.03           0.00           0.01           0.01           0.02           0.00           0.00           0.00            0.00           0.00              ?          0.370          0.396          0.340           0.000           0.026           0.00            0.0
            353           1988          0.156           76.3           76.3         18.852          0.045          0.000           0.00          0.960          1.000           1.000          1.000           0.03            0.03           0.00           0.02           0.01           0.02           0.00           0.00           0.00            0.00           0.00              ?          0.370          0.396          0.340           0.000           0.028           0.00            0.0
            354           1988          0.189           91.4           91.4         21.806          0.053          0.000           0.01          0.959          1.000           1.000          1.000           0.03            0.03           0.00           0.02           0.01           0.02           0.00           0.00           0.01            0.00           0.00              ?          0.365          0.394          0.333           0.000           0.033           0.00            0.0
            355           1988          0.229          109.8          109.8         25.415          0.063          0.000           0.01          0.930          1.000           1.000          1.000           0.04            0.04           0.00           0.02           0.02           0.02           0.00           0.00           0.01            0.00           0.00              ?          0.368          0.396          0.337           0.000           0.040           0.00            0.0
            356           1988          0.279          133.2          133.2         29.999          0.074          0.000           0.01          0.949          1.000           1.000          1.000           0.05            0.05           0.00           0.03           0.02           0.03           0.00           0.00           0.01            0.00           0.00              ?          0.367          0.395          0.337           0.000           0.049           0.00            0.0
            357           1988          0.336          159.6          159.6         35.190          0.088          0.000           0.01          0.947          1.000           1.000          1.000           0.06            0.06           0.00           0.03           0.03           0.03           0.00           0.00           0.01            0.00           0.00              ?          0.369          0.397          0.340           0.000           0.059           0.00            0.0
            358           1988          0.406          191.8          191.8         41.511          0.102          0.000           0.02          0.959          1.000           1.000          1.000           0.07            0.07           0.00           0.04           0.03           0.03           0.00           0.00           0.01            0.00           0.00              ?          0.360          0.387          0.332           0.000           0.069           0.00            0.0
            359           1988          0.483          227.7          227.7         48.556          0.116          0.000           0.02          0.907          1.000           1.000          1.000           0.08            0.08           0.00           0.04           0.04           0.04           0.00           0.00           0.01            0.00           0.00              ?          0.346          0.373          0.320           0.000           0.079           0.00            0.0
            360           1988          0.566          267.7          267.7         56.416          0.129          0.000           0.03          0.824          1.000           1.000          1.000           0.09            0.09           0.00           0.05           0.04           0.04           0.00           0.00           0.01            0.00           0.00              ?          0.330          0.356          0.305           0.000           0.088           0.00            0.0
            361           1988          0.652          308.7          308.7         64.442          0.141          0.000           0.04          0.724          1.000           1.000          1.000           0.10            0.10           0.00           0.05           0.05           0.04           0.00           0.00           0.01            0.00           0.00              ?          0.316          0.341          0.292           0.000           0.098           0.00            0.0
            362           1988          0.717          340.7          340.7         70.672          0.156          0.000           0.04          0.639          1.000           1.000          1.000           0.11            0.11           0.00           0.06           0.05           0.05           0.00           0.00           0.01            0.00           0.00              ?          0.317          0.341          0.293           0.000           0.108           0.00            0.0
            363           1988          0.810          387.2          387.2         79.760          0.169          0.000           0.05          0.646          1.000           1.000          1.000           0.12            0.12           0.00           0.06           0.06           0.05           0.00           0.00           0.01            0.00           0.00              ?          0.303          0.327          0.281           0.000           0.117           0.00            0.0
            364           1988          0.891          429.7          429.7         88.023          0.181          0.000           0.06          0.564          1.000           1.000          1.000           0.13            0.13           0.00           0.07           0.06           0.05           0.00           0.00           0.01            0.00           0.00              ?          0.294          0.316          0.272           0.000           0.126           0.00            0.0
            365           1988          0.960          468.0          468.0         95.450          0.192          0.000           0.07          0.506          1.000           1.000          1.000           0.13            0.13           0.00           0.07           0.06           0.06           0.00           0.00           0.01            0.00           0.00              ?          0.288          0.310          0.267           0.000           0.135           0.00            0.0
