Summary_file = calib.sum
Title = soilwat2 reference dataset (calibrators)
           date             eo            eos         runoff          sw_dep(1)          sw_dep(2)          sw_dep(3)          sw_dep(4)          sw_dep(5)
             ()           (mm)           (mm)           (mm)               (mm)               (mm)               (mm)               (mm)               (mm)
     01/01/1977          8.400          8.400          0.000             29.551             29.775             29.888             29.944             30.144
     02/01/1977          7.000          7.000          0.000             29.234             29.561             29.752             29.948             30.148
     03/01/1977          6.000          6.000          0.000             28.984             29.368             29.658             29.903             30.103
     04/01/1977          7.000          7.000          0.000             31.767             30.713             30.308             30.206             30.406
     05/01/1977          7.000          7.000          0.000             30.652             30.480             30.343             30.374             30.574
     06/01/1977          7.000          7.000          0.000             30.028             30.185             30.280             30.427             30.627
     07/01/1977          8.400          8.400          0.000             29.605             29.942             30.185             30.406             30.606
     08/01/1977          7.700          7.700          0.000             29.301             29.743             30.074             30.340             30.540
     09/01/1977          8.000          8.000          0.000             29.073             29.574             29.957             30.248             30.448
     10/01/1977          8.000          8.000          0.000             28.894             29.425             29.837             30.143             30.343
     11/01/1977          8.000          8.000          0.000             28.747             29.292             29.717             30.030             30.230
     12/01/1977          4.900          4.900          0.000             28.621             29.169             29.600             29.915             30.115
     13/01/1977          7.700          7.700          0.000             28.509             29.054             29.484             29.800             30.000
     14/01/1977          7.300          7.300          0.000             28.406             28.945             29.372             29.686             29.886
     15/01/1977          7.300          7.300          0.000             28.311             28.842             29.264             29.575             29.775
     16/01/1977          4.900          4.900          0.000             46.630             47.815             39.903             34.839             35.039
     17/01/1977          6.000          6.000          0.000             44.950             42.813             38.863             36.951             37.151
     18/01/1977         10.800         10.800          0.000             42.793             40.994             38.972             38.062             38.262
     19/01/1977          7.300          7.300          0.000             41.097             40.098             39.080             38.671             38.871
     20/01/1977          7.700          7.700          0.000             39.952             39.527             39.099             38.985             39.185
     21/01/1977          6.300          6.300          0.000             39.168             39.134             39.059             39.122             39.322
     22/01/1977          8.700          8.700          0.000             38.625             38.842             38.982             39.152             39.352
     23/01/1977          6.000          6.000          0.000             38.241             38.612             38.882             39.117             39.317
     24/01/1977          8.000          8.000          0.000             37.962             38.422             38.769             39.043             39.243
     25/01/1977          7.000          7.000          0.000             37.749             38.259             38.651             38.947             39.147
     26/01/1977          7.300          7.300          0.000             37.580             38.115             38.531             38.839             39.039
     27/01/1977          8.000          8.000          0.000             37.439             37.985             38.412             38.726             38.926
     28/01/1977          6.300          6.300          0.000             39.878             39.145             38.935             38.931             39.131
     29/01/1977          6.300          6.300          0.000             38.976             38.956             38.943             39.037             39.237
     30/01/1977          6.000          6.000          0.000             38.466             38.705             38.871             39.054             39.254
     31/01/1977          8.700          8.700          0.000             38.115             38.493             38.773             39.014             39.214
     01/02/1977          6.600          6.600          0.000             37.856             38.315             38.664             38.939             39.139
     02/02/1977          8.700          8.700          0.000             37.657             38.161             38.550             38.844             39.044
     03/02/1977          4.900          4.900          0.000             37.497             38.023             38.434             38.739             38.939
     04/02/1977          6.000          6.000          0.000             37.362             37.898             38.319             38.629             38.829
     05/02/1977          7.000          7.000          0.000             37.245             37.782             38.205             38.517             38.717
     06/02/1977          7.700          7.700          0.000             37.139             37.672             38.095             38.406             38.606
     07/02/1977          7.700          7.700          0.000             37.041             37.568             37.987             38.296             38.496
     08/02/1977          8.400          8.400          0.000             36.948             37.467             37.882             38.189             38.389
     09/02/1977          8.400          8.400          0.000             36.860             37.371             37.780             38.085             38.285
     10/02/1977          9.700          9.700          0.000             36.775             37.277             37.681             37.983             38.183
     11/02/1977          9.400          9.400          0.000             36.692             37.187             37.585             37.884             38.084
     12/02/1977          8.000          8.000          0.000             36.612             37.098             37.491             37.787             37.987
     13/02/1977          8.700          8.700          0.000             36.533             37.012             37.400             37.693             37.893
     14/02/1977          7.000          7.000          0.000             36.456             36.928             37.311             37.602             37.802
     15/02/1977          8.000          8.000          0.000             36.380             36.845             37.224             37.513             37.713
     16/02/1977          7.700          7.700          0.000             36.305             36.764             37.139             37.426             37.626
     17/02/1977          6.600          6.600          0.000             36.232             36.685             37.055             37.341             37.541
     18/02/1977          6.600          6.600          0.000             36.160             36.608             36.974             37.257             37.457
     19/02/1977          6.300          6.300          0.000             36.089             36.531             36.894             37.176             37.376
     20/02/1977          2.900          2.900          0.000             38.510             37.702             37.439             37.407             37.607
     21/02/1977          1.100          1.100          0.000             41.206             39.322             38.365             37.986             38.186
     22/02/1977          2.500          2.500          0.000             41.414             39.890             38.938             38.562             38.762
     23/02/1977          8.700          8.700          0.000             39.363             39.152             38.857             38.809             39.009
     24/02/1977          5.600          5.600          0.000             38.756             38.807             38.808             38.909             39.109
     25/02/1977          5.300          5.300          0.000             38.309             38.559             38.734             38.921             39.121
     26/02/1977          5.300          5.300          0.000             37.985             38.359             38.640             38.881             39.081
     27/02/1977          4.200          4.200          0.000             37.743             38.192             38.536             38.809             39.009
     28/02/1977          5.300          5.300          0.000             37.555             38.045             38.427             38.718             38.918
     01/03/1977          5.300          5.300          0.000             37.402             37.914             38.316             38.617             38.817
     02/03/1977          3.900          3.900          0.000             37.272             37.794             38.205             38.511             38.711
     03/03/1977          4.200          4.200          0.000             37.158             37.682             38.096             38.404             38.604
     04/03/1977          4.900          4.900          0.000             37.055             37.576             37.990             38.297             38.497
     05/03/1977          3.900          3.900          0.000             36.959             37.474             37.886             38.191             38.391
     06/03/1977          4.200          4.200          0.000             36.868             37.377             37.784             38.088             38.288
