Summary_file = output\kend_sw.sum
Title = 
           date      year      wht_yield         wht_ep     wht_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     19/11/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       4554.151       4563.410          0.000          38.000          0.000          4.145          0.000
     19/04/1975      1975          0.000          0.000          0.000        734.904         43.150          1.067       4010.206       4453.901          0.000          93.500          0.000         60.268          0.000
     20/05/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       1029.641       1301.586          0.000          62.300          0.000         40.115          0.000
     16/11/1975      1975       1652.949         72.045          2.268          0.000          0.000          0.000        346.351        822.147          0.000         373.400         10.360        168.328        143.640
     08/01/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000       4212.041       4484.551          0.000          75.500          0.000         27.250          1.614
     07/06/1976      1976          0.000          0.000          0.000       1514.685         52.478          1.353       3256.529       4087.632          0.000         214.300          0.554         81.385         79.790
     24/06/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000       1024.228       1074.350          0.000          26.500          0.000         14.602         26.715
     07/12/1976      1976       2370.746        100.766          2.962          0.000          0.000          0.000        450.765        983.748          0.000         328.500          2.167        155.109         99.267
     19/05/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000       5272.431       5565.975          0.000         100.600          0.306         50.620          3.012
     15/11/1977      1977        782.191         33.803          1.106          0.000          0.000          0.000       2873.875       4498.482          0.000         415.300         13.912        126.017        275.648
     14/01/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000       3314.359       3664.250          0.000          69.300          0.000         56.660          7.937
     14/06/1978      1978          0.000          0.000          0.000       1653.883         53.676          1.393       2159.480       2831.964          0.000         205.700          0.280         84.145         40.488
     25/06/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000        847.188        890.922          0.000          30.000          0.410         13.690         21.415
     08/12/1978      1978       1329.773         65.697          1.891          0.000          0.000          0.000        407.763        790.697          0.000         301.600          5.525        153.024        140.975
     22/05/1979      1979          0.000          0.000          0.000          0.000          0.000          0.000       2685.786       3748.443          0.000         146.000          0.000        121.781          0.000
     19/11/1979      1979       1364.744         58.384          1.880          0.000          0.000          0.000        863.871       1876.869          0.000         392.600          1.168        168.733        135.441
     13/07/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000       3252.185       4196.814          0.000         259.200          2.014        151.532         86.812
     17/12/1980      1980       1881.209         92.119          2.703          0.000          0.000          0.000        909.010       1697.911          0.000         282.600          1.116        145.609        109.125
     30/05/1981      1981          0.000          0.000          0.000          0.000          0.000          0.000       5305.141       5742.247          0.000         147.300          0.000         80.388         14.464
     26/11/1981      1981        885.628         41.773          1.221          0.000          0.000          0.000       3194.553       4503.543          0.000         324.800          0.006        116.025        215.555
     22/01/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000       4452.475       4671.077          0.000          61.200          0.000         35.118          0.000
     22/06/1982      1982          0.000          0.000          0.000          5.650         35.967          1.288       3295.103       4358.944          0.000         274.400         91.520         78.051         49.586
     30/07/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000       1198.191       1417.918          0.000          73.200          0.034         47.174         38.568
     16/12/1982      1982       1202.388         56.834          2.044          0.000          0.000          0.000        565.967        972.605          0.000         137.200          0.000        125.182          8.565
     20/06/1983      1983          0.000          0.000          0.000          0.000          0.000          0.000       2365.656       3121.908          0.000         157.400          0.272        122.428          0.000
     30/11/1983      1983       1802.473         77.164          2.734          0.000          0.000          0.000        383.927        892.378          0.000         300.200          3.747        156.502         80.810
     01/01/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       4156.603       4422.838          0.000          54.300          0.000         30.102          0.000
     31/05/1984      1984          0.000          0.000          0.000        974.039         38.923          1.232       3347.985       3820.449          0.000         124.200          0.000         70.026          0.000
     07/06/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       1089.912       1154.924          0.000          33.000          2.186          9.898          0.000
     28/11/1984      1984       1722.996         74.026          2.467          0.000          0.000          0.000        418.799       1025.858          0.000         418.100          6.600        169.930        181.841
     19/01/1985      1985          0.000          0.000          0.000          0.000          0.000          0.000       4673.099       4844.862          0.000          37.000          0.000         25.980         13.894
     19/06/1985      1985          0.000          0.000          0.000       1346.066         45.446          1.129       3683.043       4521.214          0.000         154.900          5.074         77.391         20.391
     02/07/1985      1985          0.000          0.000          0.000          0.000          0.000          0.000       1068.405       1132.631          0.000          29.800          0.000         17.526         11.826
     10/12/1985      1985       1927.385         87.925          3.268          0.000          0.000          0.000        460.344        972.694          0.000         249.400          0.119        156.145         72.489
     27/06/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000       4460.721       5117.196          0.000         173.600          0.007        100.708          0.000
     12/12/1986      1986       1053.816         51.869          1.491          0.000          0.000          0.000       1746.294       3083.322          0.000         280.000          0.853        131.450        157.133
     15/05/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000       3649.271       3898.767          0.000         117.000          1.707         69.927          0.000
     04/11/1987      1987       2376.184         84.446          2.538          0.000          0.000          0.000       1344.364       2538.612          0.000         209.600          0.000        124.133         23.516
     05/11/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000       5309.916       5309.916          0.000           0.000          0.000          1.652          0.000
     04/04/1988      1988          0.000          0.000          0.000        528.978         36.961          1.059       3893.183       5268.254          0.000          95.400          0.000         90.965          0.000
     15/05/1988      1988          0.000          0.000          0.000          0.000          0.000          0.000       1140.604       1250.500          0.000         169.400         30.632         39.760          1.363
     06/11/1988      1988       1418.155         58.950          1.714          0.000          0.000          0.000        340.760        880.451          0.000         412.700          4.458        183.290        229.727
     03/12/1988      1988          0.000          0.000          0.000          0.000          0.000          0.000       3705.334       3958.171          0.000          52.000          0.000         18.760          0.022
     28/04/1989      1989          0.000          0.000          0.000       1785.447         65.929          1.228       2515.193       3547.798          0.000         161.400          0.000        121.020         15.193
     18/06/1989      1989          0.000          0.000          0.000          0.000          0.000          0.000        786.674        983.889          0.000          75.200          0.013         59.655          0.000
     01/12/1989      1989       2327.397         95.411          2.919          0.000          0.000          0.000        289.526        593.732          0.000         302.800          1.232        171.860         53.744
     17/05/1990      1990          0.000          0.000          0.000          0.000          0.000          0.000       4112.712       5525.861          0.000         197.400          0.000        133.334         23.601
     17/11/1990      1990       1679.811         70.085          2.567          0.000          0.000          0.000       1098.164       2389.959          0.000         380.600          5.709        144.663        183.631
     18/06/1991      1991          0.000          0.000          0.000          0.000          0.000          0.000       4212.895       4990.114          0.000         170.500          0.399        115.682         14.362
     30/11/1991      1991        793.625         39.168          1.072          0.000          0.000          0.000       1595.015       2915.200          0.000         341.200         11.558        152.495        201.622
     26/05/1992      1992          0.000          0.000          0.000          0.000          0.000          0.000       2054.727       2931.014          0.000         176.000          6.768        119.553          0.000
