Summary_file = Birchip300HighN.sum
Title = Birchip 300mm wet soil
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     13/11/1957       317      1957        139.900          139.900          0.001       4864.606       1072.691          0.221          0.385         61.648          2.877          3.086         49.690          0.017            269
     19/11/1958       323      1958        244.700          244.652          0.001      12694.249       4292.797          0.338          0.730        163.186          1.811          7.776         16.100          4.081            276
     10/11/1959       314      1959        162.000          162.000          0.001       5046.946       1882.257          0.373          0.555         73.368          2.896          5.452         37.068          0.686            267
     22/11/1960       327      1960        363.500          359.424          0.001      12944.919       4168.271          0.322          0.730        182.057          1.944          8.102         12.640         76.613            282
     06/11/1961       310      1961        152.800          152.800          0.001       6122.371       1383.890          0.226          0.431         75.096          2.872          3.975         33.128          0.051            269
     14/11/1962       318      1962        241.100          241.083          0.001      10334.445       3716.692          0.360          0.778        136.702          2.133          7.927         21.372          1.585            268
     13/11/1963       317      1963        230.300          229.668          0.001       8769.291       2858.608          0.326          0.794        122.749          2.731          7.807         23.337          2.572            274
     18/11/1964       323      1964        301.000          295.574          0.001      14797.019       3840.860          0.260          0.671        199.108          1.924          7.389         15.099         11.977            274
     15/11/1965       319      1965        203.500          203.500          0.001       9398.528       2518.900          0.268          0.708        127.339          2.874          7.240         18.712          1.460            277
     23/11/1966       327      1966        200.200          200.200          0.001       7488.812       2283.934          0.305          0.696         99.699          2.886          6.591         30.970          0.224            284
     14/11/1967       318      1967         99.000           99.000          0.001       4019.315        741.916          0.185          0.280         45.694          2.863          2.124         55.462          0.000            275
     26/11/1968       331      1968        239.800          239.005          0.001       9639.099       2592.108          0.269          0.734        124.392          2.883          7.473         20.051          0.974            287
     21/11/1969       325      1969        184.400          184.400          0.001       8198.141       1966.127          0.240          0.566        103.425          2.878          5.658         20.320          0.367            283
     25/11/1970       329      1970        210.200          210.200          0.001       5861.275       1363.107          0.233          0.454         71.952          2.880          3.926         40.562         32.502            281
     22/11/1971       326      1971        201.300          201.300          0.001       5443.232       1246.363          0.229          0.455         65.318          2.878          3.587         52.050         23.877            279
     15/11/1972       320      1972        153.800          153.800          0.001       5542.357       1196.967          0.216          0.377         73.771          2.877          3.444         34.668          0.167            273
     19/11/1973       323      1973        394.300          375.539          0.001      14366.873       4138.670          0.288          0.688        224.597          1.829          7.570         13.041         36.832            279
     24/11/1974       328      1974        272.200          271.834          0.001      14250.532       4145.824          0.291          0.687        189.400          1.806          7.489         16.290          4.937            280
     12/11/1975       316      1975        383.700          365.128          0.001      11945.981       4186.694          0.350          0.751        161.207          1.949          8.160         15.851        114.032            265
     19/11/1976       324      1976        157.800          157.800          0.001       4929.030       1205.166          0.245          0.380         59.986          2.888          3.480         38.143          0.000            276
     18/11/1977       322      1977        152.600          152.356          0.001       4810.992       1099.448          0.229          0.380         67.279          2.860          3.145         47.542          0.082            277
     20/11/1978       324      1978        350.200          303.669          0.001      11313.740       4146.541          0.367          0.762        161.750          1.888          7.827         17.303         25.790            278
     15/11/1979       319      1979        260.200          260.200          0.001      12332.500       4271.213          0.346          0.744        161.645          1.886          8.056         17.776          7.824            275
     13/11/1980       318      1980        211.000          211.000          0.001       7313.655       2551.149          0.349          0.724        102.145          2.902          7.403         23.607          3.969            272
     14/11/1981       318      1981        386.600          361.627          0.001      12445.647       3940.538          0.317          0.726        184.861          1.950          7.683         15.484         58.495            272
     13/11/1982       317      1982         42.200           42.200          0.001       1856.958        298.380          0.161          0.224         25.142          2.866          0.855        110.753          0.000            272
     18/11/1983       322      1983        261.000          261.000          0.001      11258.430       4150.382          0.369          0.769        155.560          1.958          8.126         16.247          9.892            276
     14/11/1984       319      1984        189.300          189.300          0.001       9300.417       2684.993          0.289          0.733        111.302          2.831          7.602         19.880          3.066            274
     14/11/1985       318      1985        209.500          209.500          0.001       9610.748       2899.372          0.302          0.771        125.567          2.714          7.868         20.337          0.700            276
     19/11/1986       323      1986        295.500          295.493          0.001      13394.754       4015.563          0.300          0.707        182.921          1.905          7.649         15.837         20.295            275
     16/11/1987       320      1987        196.900          196.674          0.001       8218.493       2616.343          0.318          0.764        104.008          2.889          7.558         21.138          1.363            272
     07/11/1988       312      1988        298.600          297.604          0.001      10896.248       4145.945          0.380          0.776        154.849          1.929          7.997         17.840         41.269            266
     22/11/1989       326      1989        222.600          222.600          0.001       9164.537       2482.821          0.271          0.698        118.395          2.869          7.124         21.278          0.367            280
     12/11/1990       316      1990        200.200          199.817          0.001       7956.396       2024.101          0.254          0.599         97.934          2.883          5.835         22.955          0.740            273
     10/11/1991       314      1991        269.000          268.987          0.001      11797.851       4205.917          0.356          0.761        169.676          1.946          8.185         15.248          9.879            270
     23/11/1992       328      1992        334.900          331.970          0.001      15134.723       4149.415          0.274          0.669        202.761          1.794          7.444         15.140         22.819            283
     15/11/1993       319      1993        314.600          313.625          0.001      12451.255       4019.250          0.323          0.733        179.830          1.958          7.868         18.200         20.009            270
     15/11/1994       319      1994        119.000          119.000          0.001       3399.627        624.834          0.184          0.255         39.497          2.871          1.794         65.774          0.000            273
     18/11/1995       322      1995        280.100          277.232          0.001       9686.834       3386.382          0.350          0.777        141.828          2.335          7.909         17.789         32.360            274
     16/11/1996       321      1996        268.000          267.503          0.001      12452.140       4150.794          0.333          0.738        175.784          1.893          7.858         15.849          7.687            275
     16/11/1997       320      1997        212.500          212.500          0.001       8404.746       2031.065          0.242          0.582        108.630          2.887          5.863         21.603         17.694            277
     15/11/1998       319      1998        180.800          180.800          0.001       4126.086        976.177          0.237          0.303         51.840          2.868          2.800         41.210         33.556            273
     09/11/1999       313      1999        247.900          244.842          0.001       9500.667       2753.748          0.290          0.762        131.776          2.848          7.843         21.128          4.093            268
     17/11/2000       322      2000        232.100          232.100          0.001       6807.814       1738.391          0.255          0.507         90.543          2.904          5.048         22.526         39.906            277
     14/11/2001       318      2001        188.700          188.700          0.001       7361.710       1956.578          0.266          0.589         93.985          2.889          5.654         25.790          0.032            268
     12/11/2002       316      2002        102.300          102.269          0.001       3732.193        668.917          0.179          0.291         50.533          2.873          1.922         66.605          0.046            272
