Summary_file = wagga1500.sum
Title = wagga 1500mm wet soil
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)
     23/11/1957       327      1957        217.000          215.834          0.001      14404.520       4580.479          0.318          0.746        212.906          2.259         10.347         69.929         86.182
     25/11/1958       329      1958        353.700          345.065          0.001      14605.322       6102.860          0.418          0.799        174.268          1.917         11.699         67.641        256.864
     21/11/1959       325      1959        237.900          237.349          0.001      16493.205       6626.131          0.402          0.779        231.658          1.791         11.865         64.241         82.990
     01/12/1960       336      1960        393.700          387.429          0.001      16055.851       6975.896          0.434          0.785        202.821          1.631         11.374         71.257        246.949
     19/11/1961       323      1961        309.500          301.928          0.001      14936.322       5173.473          0.346          0.750        234.468          2.024         10.469         72.406        139.077
     27/11/1962       331      1962        285.200          282.895          0.001      15033.250       6358.111          0.423          0.786        198.716          1.761         11.193         71.966        157.510
     21/11/1963       325      1963        388.600          385.443          0.001      14306.830       5771.137          0.403          0.793        201.568          1.902         10.978         81.008        236.859
     30/11/1964       335      1964        356.000          354.732          0.001      15417.478       6683.242          0.433          0.794        195.076          1.752         11.712         68.620        217.683
     16/11/1965       320      1965        280.600          279.162          0.001      14120.012       5456.881          0.386          0.792        198.693          2.071         11.299         71.436        146.164
     27/11/1966       331      1966        307.500          306.792          0.001      16074.405       6352.559          0.395          0.788        207.495          1.942         12.334         58.438        156.067
     12/11/1967       316      1967        166.700          166.539          0.000      13786.797       5405.091          0.392          0.798        192.740          2.090         11.297         68.673         67.287
     30/11/1968       335      1968        307.400          305.937          0.001      15754.602       5685.142          0.361          0.762        212.640          1.929         10.967         71.615        148.705
     22/11/1969       326      1969        373.200          356.669          0.000      15166.187       6027.664          0.397          0.784        215.385          1.935         11.665         70.207        204.395
     25/11/1970       329      1970        467.600          449.751          0.001      15119.480       6164.574          0.408          0.794        189.910          1.935         11.927         71.407        321.740
     24/11/1971       328      1971        321.300          315.163          0.001      15468.590       6281.673          0.406          0.789        203.400          1.902         11.945         62.648        181.028
     13/11/1972       318      1972        200.600          200.042          0.001      15825.585       6215.633          0.393          0.777        223.530          1.855         11.527         57.657         74.989
     17/11/1973       321      1973        408.100          402.539          0.001      13612.790       6131.392          0.450          0.832        168.891          2.095         12.848         68.655        302.105
     28/11/1974       332      1974        523.800          479.032          0.001      15583.798       6804.114          0.437          0.789        181.800          1.663         11.318         72.355        376.647
     17/11/1975       321      1975        427.000          400.443          0.001      14531.890       5903.084          0.406          0.810        169.486          2.153         12.711         64.202        322.105
     22/11/1976       327      1976        300.800          297.248          0.001      16851.436       6680.135          0.396          0.775        208.737          1.841         12.300         53.510        181.411
     20/11/1977       324      1977        197.600          194.748          0.001      13995.919       4172.298          0.298          0.754        208.805          2.581         10.769         67.012         70.133
     26/11/1978       330      1978        507.400          473.597          0.001      15093.171       6061.998          0.402          0.783        186.895          1.800         10.909         82.594        330.199
     20/11/1979       324      1979        316.000          306.214          0.001      15686.117       6871.699          0.438          0.802        195.447          1.812         12.455         57.956        181.680
     20/11/1980       325      1980        261.400          260.662          0.001      15991.884       6149.715          0.385          0.769        229.887          1.846         11.353         64.050        100.761
     19/11/1981       323      1981        346.400          344.714          0.001      13480.277       5876.065          0.436          0.807        181.514          1.855         10.900         84.785        236.042
     16/11/1982       320      1982        113.600          113.464          0.000      11994.987       3490.280          0.291          0.671        189.187          2.355          8.221         90.405         40.281
     19/11/1983       323      1983        451.600          440.257          0.001      14114.360       5693.783          0.403          0.788        174.409          1.920         10.930         81.901        320.039
     18/11/1984       323      1984        321.500          314.519          0.001      15331.982       6527.143          0.426          0.784        185.539          1.724         11.253         66.263        233.752
     21/11/1985       325      1985        364.100          358.794          0.001      15555.113       6555.074          0.421          0.781        197.474          1.734         11.369         70.867        226.494
     29/11/1986       333      1986        429.800          420.672          0.001      16655.324       6962.796          0.418          0.778        197.028          1.699         11.831         63.576        289.628
     20/11/1987       324      1987        331.600          325.046          0.001      15399.076       5744.532          0.373          0.761        216.085          1.848         10.615         74.263        172.551
     14/11/1988       319      1988        399.000          362.499          0.001      15144.326       6233.133          0.412          0.777        192.984          1.729         10.777         81.138        246.809
     26/11/1989       330      1989        369.500          360.301          0.001      15812.354       6386.090          0.404          0.778        202.914          1.799         11.489         68.852        204.764
     21/11/1990       325      1990        352.700          338.671          0.001      15680.079       6313.279          0.403          0.771        201.962          1.737         10.966         73.260        209.270
     19/11/1991       323      1991        340.100          327.885          0.001      13786.054       5885.973          0.427          0.813        181.301          1.980         11.656         78.809        225.401
     03/12/1992       338      1992        493.500          483.948          0.001      16871.033       6964.644          0.413          0.774        199.568          1.701         11.850         64.660        338.401
     21/11/1993       325      1993        546.700          513.259          0.001      16191.359       7167.784          0.443          0.790        196.740          1.665         11.934         67.308        379.479
     19/11/1994       323      1994        171.400          171.400          0.001      14025.936       4645.470          0.331          0.775        199.326          2.366         10.989         66.361         53.201
     22/11/1995       326      1995        394.700          390.467          0.001      15320.863       5887.405          0.384          0.773        217.157          1.869         11.003         77.832        230.387
     20/11/1996       325      1996        369.600          367.789          0.001      14942.427       6561.131          0.439          0.800        186.250          1.754         11.509         72.837        255.494
     20/11/1997       324      1997        283.100          280.651          0.001      16991.396       6337.120          0.373          0.765        231.614          1.860         11.789         60.585        121.978
     20/11/1998       324      1998        360.900          349.928          0.001      15668.661       6338.177          0.405          0.785        199.993          1.853         11.746         68.579        212.141
     15/11/1999       319      1999        401.500          390.653          0.001      15778.300       6774.105          0.429          0.801        217.900          1.871         12.672         62.010        234.938
     24/11/2000       329      2000        417.200          412.374          0.001      16730.178       6344.244          0.379          0.758        217.776          1.808         11.472         70.854        248.783
     20/11/2001       324      2001        299.000          290.825          0.001      16920.941       7168.035          0.424          0.783        225.771          1.726         12.371         58.960        135.584
     15/11/2002       319      2002        158.100          157.996          0.000      13477.783       3904.040          0.290          0.692        209.284          2.485          9.702         70.896         58.406
