APSIM output file, version = 5.3
Title = Gunnedah 750mm wet soil
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     03/11/1957            307           1957         85.200           85.200          0.001       6580.069       1415.488          0.215          0.371        104.268          2.876          4.071         69.535          2.306            267
     03/11/1958            307           1958        283.500          269.077          0.001      13525.515       5246.889          0.388          0.790        212.603          2.081         10.918         43.809         42.611            260
     03/11/1959            307           1959        178.900          178.900          0.001       8422.901       2764.193          0.328          0.634        138.312          2.894          8.001         51.116         17.260            259
     06/11/1960            311           1960        211.300          211.300          0.001       9589.352       3092.337          0.322          0.714        153.885          2.917          9.022         50.238         22.928            268
     29/10/1961            302           1961        187.800          187.800          0.001       8713.737       2229.221          0.256          0.511        135.592          2.888          6.439         49.126         20.388            264
     04/11/1962            308           1962        265.300          265.300          0.001       9225.567       3780.260          0.410          0.797        164.549          2.905         10.982         51.540         58.275            262
     04/11/1963            308           1963        215.300          215.059          0.001       9363.684       2906.867          0.310          0.674        152.694          2.889          8.397         50.333         16.192            266
     08/11/1964            313           1964        276.400          274.252          0.001      10817.763       4041.827          0.374          0.802        183.362          2.704         10.928         47.699         44.548            265
     21/10/1965            294           1965        140.800          140.800          0.001       5544.598       2138.725          0.386          0.793         98.901          2.890          6.181        129.708         25.831            256
     01/11/1966            305           1966        269.000          267.706          0.001      11578.199       4361.013          0.377          0.805        161.451          2.459         10.724         48.251         72.879            261
     23/10/1967            296           1967        198.500          198.098          0.001       8858.067       2445.075          0.276          0.586        124.273          2.897          7.083         57.396         41.960            258
     05/11/1968            310           1968        217.600          217.600          0.001      13485.645       4488.687          0.333          0.762        184.121          2.302         10.333         42.081         15.735            268
     29/10/1969            302           1969        367.300          359.049          0.001      15207.212       5505.481          0.362          0.755        220.261          1.935         10.653         33.982        104.373            255
     29/10/1970            302           1970        206.200          206.199          0.001       8054.274       3017.950          0.375          0.653        134.947          2.876          8.680         66.675         38.990            260
     26/10/1971            299           1971        178.800          178.397          0.001      10902.649       4577.136          0.420          0.835        164.969          2.444         11.186         52.218         20.374            258
     17/10/1972            291           1972         80.700           80.700          0.001       4355.890       1259.779          0.289          0.608         77.376          1.342          1.690        180.140         13.808            251
     17/10/1973            290           1973        266.000          265.976          0.001      11012.410       4133.447          0.375          0.805        163.915          2.758         11.402         54.533         66.960            246
     31/10/1974            304           1974        163.200          162.695          0.001       9215.121       2900.816          0.315          0.678        128.831          2.893          8.392         51.349         13.813            259
     21/10/1975            294           1975        207.200          204.415          0.001      11429.595       3971.597          0.347          0.797        165.995          2.645         10.507         43.010         33.936            252
     30/10/1976            304           1976        246.800          246.800          0.001      12303.717       3939.455          0.320          0.774        170.391          2.633         10.372         41.710         58.427            256
     26/10/1977            299           1977        199.400          192.670          0.001      10416.673       2803.372          0.269          0.705        162.826          2.897          8.120         49.594          7.899            260
     31/10/1978            304           1978        306.600          298.343          0.001      14670.712       5442.686          0.371          0.772        204.145          1.970         10.721         35.378         49.500            261
     23/10/1979            296           1979        185.600          185.600          0.001       8574.021       3177.796          0.371          0.762        129.121          2.891          9.188         66.508         38.555            254
     18/10/1980            292           1980        128.600          128.232          0.001       7864.781       2023.793          0.257          0.513        119.433          2.890          5.849         62.979          4.196            253
