APSIM output file, version = 5.4
Title = Mingenew 300mm wet soil RedSCL
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     07/10/1957            280           1957        332.800          301.413          0.000        10317.5         3683.2          0.357          0.776        178.604          2.102           7.74           39.7         13.052            236
     09/10/1958            282           1958        483.800          437.458          0.000        11065.6         3752.4          0.339          0.747        169.102          2.252           8.45           28.7        156.431            233
     29/09/1959            272           1959        217.500          208.994          0.000         7233.8         2676.5          0.370          0.799        128.871          2.451           6.56           62.9          2.582            226
     14/10/1960            288           1960        300.100          291.093          0.000        11608.6         3938.0          0.339          0.739        188.750          1.867           7.35           35.1         19.426            242
     05/10/1961            278           1961        236.900          221.490          0.000         8689.6         3432.1          0.395          0.797        135.512          2.089           7.17           52.4          1.749            234
     07/10/1962            280           1962        312.800          284.747          0.000         9272.9         3516.1          0.379          0.791        161.570          2.111           7.42           45.6          7.407            233
     03/10/1963            276           1963        445.900          404.103          0.000         7051.0         2396.6          0.340          0.678        105.357          2.879           6.90           38.0        183.512            231
     07/10/1964            281           1964        403.100          399.516          0.000        10459.2         3366.4          0.322          0.753        156.479          2.558           8.61           25.4        151.361            230
     07/10/1965            280           1965        400.300          368.849          0.000        10026.4         3343.2          0.333          0.768        166.627          2.458           8.22           33.9         95.381            232
     14/10/1966            287           1966        247.300          247.188          0.000         8632.4         3354.7          0.389          0.780        138.666          1.971           6.61           55.7          1.649            240
     07/10/1967            280           1967        355.200          330.209          0.000        10993.1         3855.8          0.351          0.765        190.669          2.024           7.80           39.4          9.920            233
     16/10/1968            290           1968        420.500          370.445          0.000        13631.8         3904.5          0.286          0.702        223.763          1.931           7.54           30.0         27.276            241
     08/10/1969            281           1969        189.700          172.658          0.000         6743.8         1725.8          0.256          0.681        117.796          2.591           4.47           73.9          0.321            236
