APSIM output file, version = 5.4
Title = Roseworthy Mid Sowing
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     12/11/1957            316           1957        170.100          168.017          0.000       5860.171       1580.882          0.270          0.548         71.461          2.898          4.581         63.578          7.387            270
     25/11/1958            329           1958        285.800          283.393          0.000      15124.591       4654.856          0.308          0.684        188.583          1.662          7.734         33.808         11.765            284
     11/11/1959            315           1959        124.800          124.800          0.000       4584.476       1516.217          0.331          0.630         59.683          2.899          4.395         76.605          0.609            269
     25/11/1960            330           1960        278.600          278.533          0.000      12790.945       4195.012          0.328          0.724        159.614          1.928          8.086         33.216         15.502            286
     11/11/1961            315           1961        164.500          164.500          0.000       6395.284       1478.688          0.231          0.533         80.945          2.876          4.253         60.444          0.311            272
     14/11/1962            318           1962        226.000          226.000          0.000       7387.464       2956.979          0.400          0.811         96.940          2.626          7.766         54.889         27.940            269
     11/11/1963            315           1963        286.600          285.392          0.000      10106.577       3750.693          0.371          0.797        152.319          2.363          8.864         32.876         37.998            272
     17/11/1964            322           1964        269.900          269.900          0.000      11463.120       4184.717          0.365          0.749        149.377          1.815          7.593         50.629         14.249            275
     12/11/1965            316           1965        192.800          192.185          0.000       8184.629       2163.541          0.264          0.658        111.649          2.889          6.250         45.095          5.149            275
     23/11/1966            327           1966        239.900          238.522          0.000       9117.411       2910.635          0.319          0.773        119.460          2.589          7.536         47.902          1.654            284
     10/11/1967            314           1967        148.800          148.800          0.000       7057.713       1782.903          0.253          0.627         84.262          2.879          5.134         59.565          0.379            273
     20/11/1968            325           1968        377.500          373.898          0.000      14719.193       5253.065          0.357          0.734        223.977          1.721          9.039         27.894         32.196            283
     14/11/1969            318           1969        223.300          220.611          0.000       9877.203       3000.978          0.304          0.770        134.490          2.682          8.049         39.068          6.129            276
     19/11/1970            323           1970        243.300          243.293          0.000      10266.641       3711.216          0.361          0.776        127.353          2.130          7.905         44.690         18.844            277
     19/11/1971            323           1971        311.900          311.261          0.000      12838.081       4901.941          0.382          0.759        171.138          1.795          8.800         30.467         30.133            278
     09/11/1972            314           1972        185.900          185.900          0.000       8334.302       2495.540          0.299          0.744        109.367          2.815          7.026         48.191          0.861            268
     12/11/1973            316           1973        330.600          323.620          0.000      13274.852       4954.397          0.373          0.752        186.792          1.806          8.948         31.763         33.954            272
     18/11/1974            322           1974        275.400          275.079          0.000      12351.626       4209.667          0.341          0.737        156.831          1.862          7.837         45.623         11.749            275
     14/11/1975            318           1975        272.600          270.938          0.000      11742.515       4070.631          0.347          0.719        146.253          1.870          7.613         48.629         36.252            269
     14/11/1976            319           1976        211.400          211.400          0.000       7313.529       2835.991          0.388          0.795         95.908          2.425          6.877         64.611         14.706            273
     10/11/1977            314           1977        168.400          168.400          0.000       5929.910       1642.066          0.277          0.613         79.988          2.872          4.715         66.208          6.049            271
     20/11/1978            324           1978        404.500          390.957          0.000      14859.320       4801.078          0.323          0.712        215.091          1.750          8.404         25.925         66.016            279
     11/11/1979            315           1979        327.300          325.773          0.000      13590.752       4632.907          0.341          0.744        187.933          1.975          9.149         27.805         62.493            269
     07/11/1980            312           1980        314.000          312.931          0.000       9457.279       3744.255          0.396          0.805        136.447          2.359          8.833         35.151         66.449            267
     09/11/1981            313           1981        327.500          325.429          0.000      13350.959       4647.312          0.348          0.748        203.905          1.912          8.885         27.166         18.750            268
     11/11/1982            315           1982        138.900          138.900          0.000       3885.192       1094.538          0.282          0.428         53.818          2.885          3.158         70.702          0.514            270
     14/11/1983            318           1983        262.900          262.456          0.000      12256.406       4465.516          0.364          0.747        168.096          1.824          8.146         39.079          7.923            275
     16/11/1984            321           1984        291.700          291.653          0.000      13350.201       4764.635          0.357          0.742        170.270          1.809          8.618         30.650         25.236            276
     13/11/1985            317           1985        291.100          290.994          0.000      12385.261       4570.957          0.369          0.762        178.889          1.883          8.608         36.231         16.583            275
     16/11/1986            320           1986        323.400          322.611          0.000      14155.429       4658.364          0.329          0.725        188.711          1.840          8.571         31.181         32.774            274
     15/11/1987            319           1987        205.100          205.095          0.000       7803.337       2686.537          0.344          0.800        101.867          2.840          7.629         49.926         13.447            272
     04/11/1988            309           1988        240.900          238.871          0.000       8569.441       2888.007          0.337          0.790        121.367          2.643          7.632         47.045         23.438            267
     21/11/1989            325           1989        267.700          267.696          0.000      10425.967       3212.075          0.308          0.750        137.790          2.440          7.839         40.477         12.664            281
     07/11/1990            311           1990        258.200          256.816          0.000      10746.333       4179.052          0.389          0.791        145.983          2.092          8.744         34.252          4.723            269
     05/11/1991            309           1991        294.900          293.149          0.000      11198.297       4282.424          0.382          0.789        164.077          2.067          8.850         34.989         35.253            266
     17/11/1992            322           1992        389.600          386.734          0.000      14917.722       5171.067          0.347          0.731        205.229          1.794          9.275         25.370         75.120            277
     09/11/1993            313           1993        285.900          285.741          0.000       9966.855       3919.082          0.393          0.780        147.962          2.043          8.008         51.328         26.971            268
     11/11/1994            315           1994        175.600          173.120          0.000       6371.074       1620.477          0.254          0.538         79.490          2.867          4.646         51.644         15.719            271
     09/11/1995            313           1995        252.800          251.918          0.000       9446.900       3586.061          0.380          0.801        138.236          2.337          8.380         40.208          9.961            270
     10/11/1996            315           1996        334.400          332.852          0.000      13347.383       4662.662          0.349          0.754        194.994          1.939          9.042         26.341         27.748            270
     18/11/1997            322           1997        282.500          279.894          0.000       9739.130       2996.789          0.308          0.754        135.467          2.579          7.728         48.927         70.311            278
     16/11/1998            320           1998        245.100          245.025          0.000       7976.689       2693.427          0.338          0.779        114.327          2.679          7.216         49.677         23.740            275
     11/11/1999            315           1999        204.900          204.900          0.000       5790.538       1951.638          0.337          0.699         83.701          2.891          5.642         69.563         18.829            271
     14/11/2000            319           2000        296.200          296.062          0.000      12648.501       4296.497          0.340          0.728        177.525          1.854          7.965         39.653         18.037            274
     17/11/2001            321           2001        323.600          321.007          0.000      14412.219       4604.974          0.320          0.715        203.060          1.839          8.468         33.082         14.502            271
     12/11/2002            316           2002        156.100          156.100          0.000       4268.655        919.514          0.215          0.365         57.936          2.880          2.648         70.588          0.198            273
