APSIM output file, version = 5.4
Title = Roseworthy Mid Sowing Low N TopDress
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     12/11/1957            316           1957        170.100          168.017          0.000       5860.170       1580.882          0.270          0.605         71.461          2.898          4.581         31.755          7.387            270
     25/11/1958            329           1958        285.800          283.503          0.000      14885.292       3608.834          0.242          0.593        187.453          1.498          5.407         21.995         12.329            284
     11/11/1959            315           1959        124.800          124.800          0.000       4534.595       1504.814          0.332          0.599         59.565          2.894          4.355         34.227          0.611            269
     25/11/1960            330           1960        278.600          278.531          0.000      12261.926       3770.865          0.308          0.670        156.998          1.599          6.031         22.167         17.248            286
     11/11/1961            315           1961        164.500          164.500          0.000       6177.802       1454.567          0.235          0.567         79.872          2.878          4.186         30.253          0.335            272
     14/11/1962            318           1962        226.000          226.000          0.000       7265.225       2854.849          0.393          0.800         96.372          2.372          6.773         28.202         27.191            269
     11/11/1963            315           1963        286.600          285.384          0.000      10011.485       3660.818          0.366          0.753        150.596          1.870          6.844         23.360         39.730            272
     17/11/1964            322           1964        269.900          269.900          0.000      11316.832       3809.039          0.337          0.709        148.556          1.662          6.331         27.487         14.445            275
     12/11/1965            316           1965        192.800          192.185          0.000       8179.568       2159.576          0.264          0.707        111.644          2.625          5.668         26.383          5.151            275
     23/11/1966            327           1966        239.900          238.522          0.000       9044.835       2836.689          0.314          0.735        118.862          2.156          6.117         27.478          1.909            284
     10/11/1967            314           1967        148.800          148.800          0.000       6852.741       1767.681          0.258          0.670         83.282          2.866          5.067         29.725          0.423            273
     20/11/1968            325           1968        377.500          373.898          0.000      14747.891       4218.860          0.286          0.635        225.702          1.466          6.183         23.212         30.456            283
     14/11/1969            318           1969        223.300          220.611          0.000       9841.117       2938.631          0.299          0.721        134.366          2.108          6.195         24.709          6.265            276
     19/11/1970            323           1970        243.300          243.293          0.000      10223.234       3514.714          0.344          0.732        127.139          1.805          6.345         25.632         19.002            277
     19/11/1971            323           1971        311.900          311.261          0.000      12707.872       4259.209          0.335          0.684        170.968          1.498          6.381         22.146         29.536            278
     09/11/1972            314           1972        185.900          185.900          0.000       8047.537       2467.976          0.307          0.755        108.273          2.497          6.163         27.089          0.955            268
     12/11/1973            316           1973        330.600          323.620          0.000      12435.271       4286.941          0.345          0.703        178.184          1.580          6.771         23.208         39.377            272
     18/11/1974            322           1974        275.400          275.078          0.000      12005.040       3735.592          0.311          0.694        153.667          1.707          6.377         26.287         14.084            275
     14/11/1975            318           1975        272.600          270.888          0.000      10998.072       3761.151          0.342          0.721        136.944          1.772          6.664         25.761         43.549            269
