APSIM output file, version = 5.3
Title = Mingenew 300mm wet soil Sand
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     07/10/1957            280           1957        332.800          326.060          0.001      10330.463       3681.418          0.356          0.745        179.157          1.890          6.958         44.258         39.908            236
     09/10/1958            282           1958        483.800          444.594          0.001      10978.179       3749.739          0.342          0.715        167.538          1.803          6.761         37.385        163.666            233
     29/09/1959            272           1959        217.500          216.279          0.001       7073.934       2663.984          0.377          0.801        125.460          2.429          6.471         59.240          2.084            226
     14/10/1960            288           1960        300.100          299.675          0.001      10757.573       4173.252          0.388          0.755        175.773          1.690          7.052         38.852         28.647            242
     05/10/1961            278           1961        236.900          234.447          0.001       8618.074       3455.879          0.401          0.794        134.995          2.003          6.924         49.889          2.496            234
     07/10/1962            280           1962        312.800          309.650          0.001       8227.022       3360.422          0.408          0.772        143.024          1.864          6.263         58.193         52.422            233
     03/10/1963            276           1963        445.900          337.938          0.001       6939.232       2388.962          0.344          0.760        103.254          2.355          5.625         42.739        118.078            231
     07/10/1964            281           1964        403.100          355.518          0.001       9990.118       3303.767          0.331          0.721        148.807          1.897          6.268         41.436        103.387            230
     07/10/1965            280           1965        400.300          384.379          0.001      10007.455       3342.595          0.334          0.733        166.237          2.026          6.772         43.984        106.323            232
     14/10/1966            287           1966        247.300          247.300          0.001       7593.541       2973.765          0.392          0.790        123.754          2.136          6.351         59.238          7.637            240
     07/10/1967            280           1967        355.200          347.541          0.001      10937.822       4033.104          0.369          0.757        189.771          1.824          7.355         41.190         27.034            233
     16/10/1968            290           1968        420.500          375.963          0.001      12062.984       3913.386          0.324          0.683        194.288          1.558          6.098         41.658         51.868            241
     08/10/1969            281           1969        189.700          187.245          0.001       6308.853       1699.396          0.269          0.692        110.707          2.376          4.037         75.170          1.009            236
     07/10/1970            280           1970        281.600          278.342          0.001       8293.087       3193.082          0.385          0.803        135.544          2.312          7.382         46.536         26.127            231
     16/10/1971            289           1971        258.900          257.613          0.001       7807.054       3195.780          0.409          0.790        131.851          1.996          6.380         55.734          6.467            241
