Summary data matching this run is in the file : peanut.sum
Title =run  of peanut model
   year    day    das            gdd            lai            eff           ftsw           atsw           ttsw             hi            veg          yield            phs      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)
     ()     () (days)           (oc)             ()             ()             ()             ()             ()             ()             ()             ()             ()           (mm)           (mm)           (mm)           (mm)           (mm)
   1984      1      0          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000         32.156         66.600         81.900         92.700         96.300
   1984      2      0          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000         32.561         66.600         81.900         92.700         96.300
   1984      3      0          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000         32.186         66.600         81.900         92.700         96.300
   1984      4      0          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000         31.915         66.600         81.900         92.700         96.300
   1984      5      0          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000         31.676         66.600         81.900         92.700         96.300
   1984      6      0          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000         31.438         66.600         81.900         92.700         96.300
   1984      7      0          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000         31.204         66.600         81.900         92.700         96.300
   1984      8      0          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000         30.971         66.600         81.900         92.700         96.300
   1984      9      0          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000         30.740         66.600         81.900         92.700         96.300
   1984     10      0          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000         39.429         66.686         81.900         92.700         96.300
   1984     11      0          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000         34.566         66.703         81.900         92.700         96.300
   1984     12      0          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000         34.285         66.717         81.900         92.700         96.300
   1984     13      0          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000         34.009         66.728         81.900         92.700         96.300
   1984     14      0          0.000          0.000          0.000          0.000          0.000          0.000          0.001          0.000          0.000          0.000         33.738         66.736         81.900         92.700         96.300
