title = Sample soil file

Depth     water         Series        Title
()          ()           ()             ()
15         .26           (LL15)         MyTitle
30         .26           (LL15)         MyTitle
60         .32           (LL15)         MyTitle
90         .33           (LL15)         MyTitle
120        .34           (LL15)         MyTitle
150        .35           (LL15)         MyTitle
180        .35           (LL15)         MyTitle
15         .55           (DUL)          MyTitle
30         .52           (DUL)          MyTitle
60         .49           (DUL)          MyTitle
90         .50           (DUL)          MyTitle
120        .50           (DUL)          MyTitle
150        .48           (DUL)          MyTitle
180        .47           (DUL)          MyTitle


15         .26           Cotton        MyTitle
30         .26           Cotton        MyTitle
60         .32           Cotton        MyTitle
90         .33           Cotton        MyTitle
120        .38           Cotton        MyTitle
150        .37           Cotton        MyTitle
180        .35           Cotton        MyTitle
15         .26           Sorghum       MyTitle
30         .26           Sorghum       MyTitle
60         .34           Sorghum       MyTitle
90         .33           Sorghum       MyTitle
120        .34           Sorghum       MyTitle
150        .35           Sorghum       MyTitle
180        .37           Sorghum       MyTitle
