Summary_file = Egrandis.sum
Title = forest Sample Simulation
           date            age             fw           fvpd             ft             fn            lai         height           stem         branch           bark
             ()        (years)          (0-1)          (0-1)          (0-1)          (0-1)        (m2/m2)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)
     31/01/1987          0.085          1.000          1.000          0.800          0.989          0.114        643.476         20.493          6.941          3.126
     28/02/1987          0.162          1.000          1.000          1.000          0.982          0.250       1075.725         73.343         24.826         11.187
     31/03/1987          0.246          1.000          0.904          1.000          0.990          0.518       1730.199        234.889         79.460         35.827
     30/04/1987          0.329          1.000          1.000          1.000          0.996          0.702       2325.210        481.050        162.550         73.369
     31/05/1987          0.413          1.000          1.000          0.783          0.998          0.821       2779.678        741.150        250.085        113.031
     30/06/1987          0.496          1.000          1.000          0.467          0.998          0.915       3098.557        964.410        324.911        147.068
     31/07/1987          0.580          1.000          0.991          0.633          0.997          1.026       3413.860       1229.357        413.681        187.460
     31/08/1987          0.665          1.000          1.000          0.867          0.996          1.215       3860.644       1667.778        560.353        254.294
     30/09/1987          0.747          1.000          0.937          1.000          0.995          1.521       4447.527       2373.239        796.079        361.829
     31/10/1987          0.832          1.000          0.969          1.000          0.996          1.930       5123.050       3366.507       1125.780        513.185
     30/11/1987          0.914          1.000          0.914          0.950          0.994          2.420       5830.440       4635.419       1543.489        706.464
     31/12/1987          0.999          1.000          1.000          0.975          0.997          3.020       6629.301       6350.220       2100.013        967.475
     31/01/1988          1.084          1.000          1.000          0.875          0.994          3.693       7431.245       8430.840       2764.460       1283.913
     29/02/1988          1.164          1.000          1.000          0.950          0.998          4.353       8184.627      10655.107       3465.117       1621.964
     31/03/1988          1.248          1.000          1.000          1.000          0.999          4.980       8890.740      13051.338       4206.360       1985.822
     30/04/1988          1.331          1.000          1.000          1.000          0.997          5.396       9431.919      15117.358       4824.772       2299.034
     31/05/1988          1.415          1.000          1.000          0.800          0.976          5.704       9891.552      16999.025       5375.670       2583.988
     30/06/1988          1.498          1.000          1.000          0.700          0.949          5.873      10231.415      18478.268       5796.280       2807.684
     31/07/1988          1.582          1.000          1.000          0.783          0.925          6.004      10554.798      19971.635       6211.939       3033.282
     31/08/1988          1.667          1.000          1.000          0.850          0.867          6.262      10944.983      21835.197       6744.554       3315.127
     30/09/1988          1.749          1.000          0.841          1.000          0.719          6.584      11386.371      24101.973       7388.707       3657.841
     31/10/1988          1.834          1.000          0.976          1.000          0.624          6.878      11838.709      26525.789       8064.416       4023.951
