"month","maxt.m10","maxt.m50","maxt.m90","maxtTrend","mint.m10","mint.m50","mint.m90","mintTrend","maxtProp"
1,0,0,0,-0.00399386950810083,0,0,0,-0.0105654648956354,0.5
2,0,0.0330542986425339,0,0.0173914695851816,-0.0233692307692307,0,0,-0.0180692329982390,0.5
3,0,0,0,0.0121731134141002,0,-0.0389411764705880,0,-0.0264297182893007,0.5
4,0,0,0,0.0101656108597284,-0.0402488687782803,-0.0287511312217191,0,-0.0282392156862743,0.5
5,0.0232941176470587,0.0247601809954750,0,0.0181719457013574,0,0,0,-0.00989169464311796,0.5
6,0,0,0,0.000707692307692377,0,0,0,0.0115372549019610,0.0577946393378051
7,0,0,0,0.00614683987739022,0,0,0,0.00055758283462277,0.916833580074882
8,0,0,0,0.0118722327640734,0,-0.0247466063348416,0,-0.0163205614752105,0.5
9,0,0.0250396158463385,0,0.0211191676670667,0,0,0,-0.00468459383753512,0.5
10,0,0,0,0.00931603609185589,-0.0460984393757504,-0.0214693877551020,0,-0.0232753746659955,0.5
11,0,0.0354573829531816,0,0.0284076830732295,0,0,0,-0.0095670268107243,0.5
12,0.0327587034813926,0.0401152460984393,0,0.0347251674863493,0,0,0,-0.0039584866204549,0.5
