"month","maxt.m10","maxt.m50","maxt.m90","maxtTrend","mint.m10","mint.m50","mint.m90","mintTrend","maxtProp"
1,0,0,0,-0.00941935483870976,0,0,0,-0.00138227995913011,0.5
2,0,0,0,0.00588761340079802,0,0,0,0.00673277533825209,0.466516010127368
3,0,0,0,0.0133577579915340,0.0293755656108598,0,0.0238280542986425,0.0173530871405634,0.434952471482888
4,0.0333837104072397,0.0270723981900450,0,0.0301616892911009,0.0334488687782807,0.0301266968325792,0,0.0240147812971344,0.556730421225532
5,0.0254117647058823,0.0261809954751131,0,0.0225870675813749,0.0421447963800905,0.0368506787330315,0,0.0309184060721061,0.422144988896952
6,0,0,0.0225013574660634,0.0158986425339366,0,0,0,-0.0197966817496228,0.5
7,0.0139366515837105,0,0,0.0147733177638302,0,0,0,0.0060674354108889,0.708866788065558
8,0.0156787330316742,0,0,0.00601112976207855,0.0253257918552036,0,0,0.0195580450542501,0.235092833666256
9,0,0,0,0.0123172468987595,0.0364000000000000,0.0280240096038416,0.0284307322929173,0.0301943177270909,0.289738733616725
10,0,0,0,0.00659040390349678,0,0.0254885954381752,0,0.0168164814312821,0.28155834530041
11,0,0.0320288115246099,0,0.0261578231292518,0,0.0281608643457384,0.0230372148859544,0.0246343337334935,0.514997289836256
12,0,0,0,-0.0103977074700847,0,0,0,0.00266661503311012,0.5
