APSIM output file, version = 5.4
Title = 
     green_pool      dead_pool           year            day   paddockstate         litter            alw  stocking_rate      acc_eaten
        (kg/ha)        (kg/ha)         (year)          (day)            (?)        (kg/ha)           (kg)    (beasts/ha)        (kg/ha)
          1.351          0.000           1988              1          empty       1852.330          0.000          0.000          0.000
          1.349          0.003           1988              2          empty       1763.782          0.000          0.000          0.000
          2.740          0.005           1988              3          empty       1725.177          0.000          0.000          0.000
          4.057          0.011           1988              4          empty       1561.956          0.000          0.000          0.000
          5.288          0.019           1988              5          empty       1427.226          0.000          0.000          0.000
          6.576          0.029           1988              6          empty       1338.176          0.000          0.000          0.000
          7.816          0.043           1988              7          empty       1286.250          0.000          0.000          0.000
          9.210          0.058           1988              8          empty       1271.345          0.000          0.000          0.000
         10.610          0.076           1988              9          empty       1271.345          0.000          0.000          0.000
         12.004          0.098           1988             10          empty       1271.345          0.000          0.000          0.000
         13.363          0.121           1988             11          empty       1271.345          0.000          0.000          0.000
         14.706          0.148           1988             12          empty       1271.345          0.000          0.000          0.000
         16.077          0.177           1988             13          empty       1271.345          0.000          0.000          0.000
         17.360          0.209           1988             14          empty       1271.345          0.000          0.000          0.000
         18.642          0.243           1988             15          empty       1271.345          0.000          0.000          0.000
         19.666          0.280           1988             16          empty       1151.062          0.000          0.000          0.000
         21.016          0.319           1988             17          empty       1042.160          0.000          0.000          0.000
         22.404          0.360           1988             18          empty        979.940          0.000          0.000          0.000
         23.713          0.404           1988             19          empty        940.330          0.000          0.000          0.000
         25.010          0.451           1988             20          empty        851.365          0.000          0.000          0.000
         26.372          0.500           1988             21          empty        796.346          0.000          0.000          0.000
         27.649          0.552           1988             22          empty        721.003          0.000          0.000          0.000
         28.946          0.606           1988             23          empty        669.917          0.000          0.000          0.000
         30.298          0.662           1988             24          empty        642.584          0.000          0.000          0.000
         31.631          0.722           1988             25          empty        633.881          0.000          0.000          0.000
         32.949          0.784           1988             26          empty        633.881          0.000          0.000          0.000
         33.984          0.848           1988             27          empty        633.881          0.000          0.000          0.000
         35.115          0.914           1988             28          empty        633.881          0.000          0.000          0.000
         36.418          0.983           1988             29          empty        633.881          0.000          0.000          0.000
         37.743          1.053           1988             30          empty        633.881          0.000          0.000          0.000
         38.996          1.127           1988             31          empty        573.910          0.000          0.000          0.000
         40.298          1.203           1988             32          empty        534.555          0.000          0.000          0.000
         41.578          1.281           1988             33          empty        510.917          0.000          0.000          0.000
         42.752          1.361           1988             34          empty        497.510          0.000          0.000          0.000
         43.866          1.444           1988             35          empty        497.177          0.000          0.000          0.000
         45.068          1.529           1988             36          empty        497.177          0.000          0.000          0.000
         46.378          1.616           1988             37          empty        497.177          0.000          0.000          0.000
         48.338          1.706           1988             38          empty        497.178          0.000          0.000          0.000
         49.413          1.799           1988             39          empty        451.076          0.000          0.000          0.000
         50.450          1.894           1988             40          empty        420.031          0.000          0.000          0.000
         51.558          1.991           1988             41          empty        402.378          0.000          0.000          0.000
         52.846          2.090           1988             42          empty        395.962          0.000          0.000          0.000
         54.138          2.192           1988             43          empty        395.963          0.000          0.000          0.000
         55.320          2.296           1988             44          empty        358.501          0.000          0.000          0.000
         56.491          2.402           1988             45          empty        324.583          0.000          0.000          0.000
         57.901          2.510           1988             46          empty        296.564          0.000          0.000          0.000
         59.268          2.621           1988             47          empty        277.828          0.000          0.000          0.000
         60.750          2.734           1988             48          empty        266.570          0.000          0.000          0.000
         61.864          2.850           1988             49          empty        260.507          0.000          0.000          0.000
         63.111          2.968           1988             50          empty        260.507          0.000          0.000          0.000
         64.389          3.088           1988             51          empty        260.507          0.000          0.000          0.000
         65.792          3.211           1988             52          empty        260.508          0.000          0.000          0.000
         67.116          3.336           1988             53          empty        260.508          0.000          0.000          0.000
         68.401          3.464           1988             54          empty        260.508          0.000          0.000          0.000
         69.589          3.594           1988             55          empty        260.508          0.000          0.000          0.000
         70.924          3.726           1988             56          empty        260.509          0.000          0.000          0.000
         72.538          3.860           1988             57          empty        260.509          0.000          0.000          0.000
         73.763          3.997           1988             58          empty        260.509          0.000          0.000          0.000
         75.528          4.137           1988             59          empty        260.509          0.000          0.000          0.000
         78.420          4.280           1988             60          empty        235.863          0.000          0.000          0.000
         79.871          4.428           1988             61          empty        213.549          0.000          0.000          0.000
         82.348          4.579           1988             62          empty        193.346          0.000          0.000          0.000
         84.186          4.734           1988             63          empty        175.055          0.000          0.000          0.000
         85.831          4.893           1988             64          empty        162.420          0.000          0.000          0.000
         87.458          5.055           1988             65          empty        153.355          0.000          0.000          0.000
         89.021          5.220           1988             66          empty        138.847          0.000          0.000          0.000
         90.907          5.387           1988             67          empty        128.766          0.000          0.000          0.000
         92.729          5.559           1988             68          empty        122.143          0.000          0.000          0.000
         94.451          5.733           1988             69          empty        118.677          0.000          0.000          0.000
         96.023          5.910           1988             70          empty        118.202          0.000          0.000          0.000
         97.338          6.091           1988             71          empty        118.214          0.000          0.000          0.000
        100.641          6.273           1988             72          empty        118.226          0.000          0.000          0.000
        102.419          6.462           1988             73          empty        118.239          0.000          0.000          0.000
        104.180          6.654           1988             74          empty        118.251          0.000          0.000          0.000
        105.909          6.849           1988             75          empty        118.265          0.000          0.000          0.000
        108.164          7.047           1988             76          empty        118.278          0.000          0.000          0.000
        110.330          7.249           1988             77          empty        118.293          0.000          0.000          0.000
        112.452          7.455           1988             78          empty        118.307          0.000          0.000          0.000
        114.679          7.665           1988             79          empty        118.322          0.000          0.000          0.000
        116.816          7.879           1988             80          empty        118.337          0.000          0.000          0.000
        119.180          8.097           1988             81          empty        118.353          0.000          0.000          0.000
        121.257          8.319           1988             82          empty        118.369          0.000          0.000          0.000
