APSIM output file, version = 5.3
Title = Sugar Sample Simulation
           Date      soil_evap  pot_soil_evap       pot_evap       drainage      infiltrat            esw          esw()         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)   surfaceom_wt  irrig_applied            lai        biomass  green_biomass av_swdef_photo av_nfact_photo
             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)        (g/m^2)        (g/m^2)             ()             ()
     30/04/1980          4.495          4.495         79.288        127.272        278.707        406.719          0.000          0.045          2.290         13.742         16.120         13.332         10.982          9.410       9082.811          0.000          0.000          0.000          0.000          0.000          0.000
     31/05/1980         10.042         10.071        107.473         99.503         91.525        386.007        386.028         36.060         43.615         39.292         20.162         13.829         10.649          8.809       6185.622          0.000          0.013          3.882          3.882          0.935          0.065
     30/06/1980         22.524         22.666        106.927         67.735         24.000        319.190        319.313         13.243         36.006         40.433         20.981         13.374         10.041          8.410       3688.253          0.000          0.098         15.666         15.666          1.000          1.000
     31/07/1980         24.243         33.078         98.943         10.325         47.594        325.864        326.125          0.919         25.139         42.346         22.206         13.875         10.081          8.266       1831.572          0.000          0.656         92.756         92.756          1.000          1.000
     31/08/1980         33.211         39.736        113.277          5.015         36.000        266.822        269.111          2.273         13.653         26.150         14.242          8.711          9.051          8.261        559.165          0.000          2.436        462.701        461.325          1.000          1.000
     30/09/1980         23.830         38.046        145.262          0.035        131.874        204.366        207.473          2.725          1.456          3.258          2.566          1.084          0.692          4.010        235.210        130.874          4.542       1284.093       1279.462          1.000          1.000
     31/10/1980         31.386         36.962        171.937          0.000        215.638        176.981        185.280          0.682          0.169          0.190          0.109          0.035          0.001          0.001        105.515        200.638          6.567       2450.164       2408.541          1.000          1.000
     30/11/1980         31.213         33.056        166.173          0.000        233.610        151.198        159.563          0.491          0.197          0.223          0.129          0.023          0.001          0.001        294.603        206.810          6.613       3552.474       3325.949          1.000          1.000
     31/12/1980         29.335         30.274        166.894          0.000        207.680        122.090        129.957          0.371          0.142          0.163          0.101          0.006          0.001          0.001        767.294        137.998          6.242       4560.422       4119.106          1.000          1.000
     31/01/1981         17.086         17.086        113.714        403.904        733.979        335.403        347.507          0.183          0.088          0.073          0.027          0.004          0.000          0.000       1689.851          0.000          5.846       5181.586       4633.961          1.000          1.000
     28/02/1981         13.533         13.550        116.367        250.413        446.678        388.108        398.103          0.074          0.047          0.056          0.018          0.002          0.000          0.000       2557.942          0.000          5.738       5764.499       5186.982          1.000          1.000
     31/03/1981         14.186         14.305        159.487         28.021        216.124        340.325        343.265          0.039          0.046          0.069          0.028          0.007          0.001          0.000       3460.813         65.731          5.968       6576.348       6002.883          1.000          1.000
     30/04/1981          8.144          8.144        123.897          0.000         86.809        248.753        257.510          0.148          0.082          0.111          0.051          0.010          0.001          0.000       4385.209          0.000          5.974       7254.519       6687.813          1.000          1.000
     31/05/1981          5.387          5.387        109.479          0.000        148.656        294.456        298.010          0.050          0.030          0.061          0.029          0.007          0.001          0.001       5363.554          0.000          6.031       7832.311       7314.533          1.000          0.982
     30/06/1981          3.749          3.749        102.343          0.000         14.998        174.938        180.217          0.187          0.130          0.143          0.052          0.010          0.001          0.001       6191.727          0.000          5.929       8351.400       7877.022          1.000          0.876
     31/07/1981          3.076          3.076        104.869          0.000        143.276        220.669        223.826          0.119          0.064          0.079          0.037          0.011          0.002          0.001       6997.658         67.022          5.561       8800.327       8326.394          1.000          0.793
     31/08/1981         25.197        133.524        145.519          0.000         43.569        229.063        229.191         77.001         21.306          5.409          0.475          0.028          0.004          0.003          0.000          0.000          0.052          9.334          9.334          0.968          0.663
     30/09/1981         47.319        126.518        142.760          0.000         72.108        241.353        242.371         58.413         31.296         14.009          1.510          0.030          0.004          0.003          0.000          0.000          0.602         85.325         85.325          1.000          1.000
     31/10/1981         42.715         80.733        162.933          0.000        121.727        231.118        233.298         18.886         21.693         20.413          2.893          0.033          0.004          0.003          0.365         66.748          2.896        564.031        561.916          1.000          1.000
     30/11/1981         33.746         40.270        150.955          0.000        230.619        301.503        305.780          0.264          0.065          0.106          0.054          0.012          0.002          0.001         10.879         67.622          5.735       1351.003       1338.918          1.000          1.000
     31/12/1981         33.945         36.646        174.910          0.000        144.354        178.299        188.677          0.497          0.127          0.197          0.160          0.026          0.002          0.001        148.838         65.753          6.601       2399.302       2246.683          1.000          1.000
     31/01/1982         32.465         36.315        191.383          0.000        298.270        213.465        216.494          0.087          0.071          0.117          0.103          0.018          0.002          0.001        636.872        135.989          6.299       3430.744       3034.854          1.000          1.000
