ApsimVersion = 6.1
Title = Rising CO2 levels
           Date          yield            co2
             ()        (kg/ha)            (?)
     15/10/1940         4709.7        350.000
     20/10/1941         2571.5        357.000
     14/10/1942         2337.7        364.000
     25/10/1943         2717.7        371.000
     19/10/1944         2755.3        378.000
     21/10/1945         1926.4        385.000
     22/10/1946         3434.6        392.000
     24/10/1947         1436.7        399.000
     24/10/1948         1455.4        406.000
     23/10/1949         2702.9        413.000
     16/10/1950         2423.9        420.000
     24/10/1951         2716.3        427.000
     23/10/1952         1700.6        434.000
     24/10/1953         2096.8        441.000
     15/10/1954         2186.4        448.000
     20/10/1955         1774.5        455.000
     29/10/1956         1499.1        462.000
     21/10/1957         2470.9        469.000
     23/10/1958         1543.0        476.000
     23/10/1959         1886.8        483.000
     25/10/1960         1688.5        490.000
     22/10/1961         1806.7        497.000
     21/10/1962          874.4        504.000
     24/10/1963         2061.4        511.000
     23/10/1964         1419.2        518.000
     19/10/1965         2463.5        525.000
     28/10/1966          730.2        532.000
     19/10/1967         1620.7        539.000
     25/10/1968         1145.8        546.000
     23/10/1969         1999.8        553.000
     24/10/1970         1021.2        560.000
     24/10/1971          939.6        567.000
     18/10/1972         1875.4        574.000
     10/10/1973         1111.0        581.000
     25/10/1974         2372.9        588.000
     18/10/1975          893.7        595.000
     26/10/1976          929.6        602.000
     20/10/1977         2031.5        609.000
     30/10/1978          788.9        616.000
     19/10/1979         1160.6        623.000
     13/10/1980         1400.6        630.000
     21/10/1981          840.6        637.000
     23/10/1982          897.9        644.000
     19/10/1983         1226.4        651.000
     26/10/1984         1440.6        658.000
     23/10/1985          676.2        665.000
     22/10/1986         1339.9        672.000
     21/10/1987         1143.9        679.000
     15/10/1988         1157.6        686.000
     25/10/1989         1403.5        693.000
