APSIM output file, version = 5.4
Title = Constant CO2 levels
           Date          yield            co2
             ()        (kg/ha)            (?)
     15/10/1940       5226.112        350.000
     20/10/1941       3569.246        350.000
     14/10/1942       3600.986        350.000
     25/10/1943       4477.639        350.000
     19/10/1944       4230.238        350.000
     21/10/1945       2931.120        350.000
     22/10/1946       5099.031        350.000
     24/10/1947       2416.492        350.000
     24/10/1948       3050.834        350.000
     23/10/1949       3468.963        350.000
     16/10/1950       3474.003        350.000
     24/10/1951       4097.287        350.000
     23/10/1952       2761.550        350.000
     24/10/1953       3211.259        350.000
     15/10/1954       3315.695        350.000
     20/10/1955       3036.534        350.000
     29/10/1956       2754.387        350.000
     21/10/1957       3478.453        350.000
     23/10/1958       2793.438        350.000
     23/10/1959       3400.519        350.000
     25/10/1960       2982.151        350.000
     22/10/1961       2963.413        350.000
     21/10/1962       2469.781        350.000
     24/10/1963       3023.721        350.000
     23/10/1964       2257.256        350.000
     19/10/1965       3443.191        350.000
     28/10/1966       1847.190        350.000
     19/10/1967       2835.347        350.000
     25/10/1968       2437.506        350.000
     23/10/1969       2834.604        350.000
     24/10/1970       2029.490        350.000
     24/10/1971       1903.819        350.000
     18/10/1972       3537.111        350.000
     10/10/1973       2404.626        350.000
     25/10/1974       3554.096        350.000
     18/10/1975       1582.846        350.000
     26/10/1976       2383.845        350.000
     20/10/1977       2606.653        350.000
     30/10/1978       2146.653        350.000
     19/10/1979       1597.326        350.000
     13/10/1980       2714.967        350.000
     21/10/1981       1586.869        350.000
     23/10/1982       2162.462        350.000
     19/10/1983       1442.059        350.000
     26/10/1984       2143.250        350.000
     23/10/1985       1360.076        350.000
     22/10/1986       2490.609        350.000
     21/10/1987       1855.499        350.000
     15/10/1988       1941.815        350.000
     25/10/1989       2108.101        350.000
