APSIM output file, version = 5.4
Title = barley SAMPLE Simulation
           Date           rain            das          stage            lai        biomass          yield     root_depth             ep       dm_green       dm_green    LeafGreenWt       dm_green    StemGreenWt       dm_green     podGreenWt       dm_green    mealGreenWt       dm_green     oilGreenWt dlt_dm_green_retrans(1) dlt_dm_green_retrans(2) dlt_dm_green_retrans(3) dlt_dm_green_retrans(4) dlt_dm_green_retrans(5) dlt_dm_green_retrans(6)    dm_senesced dm_plant_min(1) dm_plant_min(2) dm_plant_min(3) dm_plant_min(4) dm_plant_min(5) dm_plant_min(6)   dlt_dm_green   dlt_dm_green dlt_dm_green_leaf   dlt_dm_green dlt_dm_green_stem   dlt_dm_green dlt_dm_green_pod   dlt_dm_green dlt_dm_green_meal   dlt_dm_green dlt_dm_green_oil dlt_dm_green_retrans(1) dlt_dm_green_retrans(2) dlt_dm_green_retrans(3) dlt_dm_green_retrans(4) dlt_dm_green_retrans(5) dlt_dm_green_retrans(6) dlt_dm_detached dlt_dm_senesced       grain_no     grain_size         pod_wt       grain_wt        meal_wt         oil_wt        head_wt          yield        n_green        n_green     LeafGreenN        n_green     StemGreenN        n_green      podGreenN        n_green     mealGreenN        n_green      oilGreenN    FruitGreenN     n_senesced     n_senesced n_senesced_leaf     n_senesced n_senesced_stem     n_senesced n_senesced_pod     n_senesced n_senesced_meal     n_senesced n_senesced_oil n_senesced_fruit    dlt_n_green    dlt_n_green dlt_n_green_leaf    dlt_n_green dlt_n_green_stem    dlt_n_green dlt_n_green_pod    dlt_n_green dlt_n_green_meal    dlt_n_green dlt_n_green_oil dlt_n_green_fruit  dlt_n_retrans  dlt_n_retrans dlt_n_retrans_leaf  dlt_n_retrans dlt_n_retrans_stem  dlt_n_retrans dlt_n_retrans_pod  dlt_n_retrans dlt_n_retrans_meal  dlt_n_retrans dlt_n_retrans_oil dlt_n_retrans_fruit dlt_n_senesced_trans dlt_n_senesced_trans dlt_n_senesced_trans_leaf dlt_n_senesced_trans dlt_n_senesced_trans_stem dlt_n_senesced_trans dlt_n_senesced_trans_pod dlt_n_senesced_trans dlt_n_senesced_trans_meal dlt_n_senesced_trans dlt_n_senesced_trans_oil dlt_n_senesced_trans_fruit dlt_n_senesced_retrans dlt_n_senesced_retrans dlt_n_senesced_retrans_leaf dlt_n_senesced_retrans dlt_n_senesced_retrans_stem dlt_n_senesced_retrans dlt_n_senesced_retrans_pod dlt_n_senesced_retrans dlt_n_senesced_retrans_meal dlt_n_senesced_retrans dlt_n_senesced_retrans_oil dlt_n_senesced_retrans_fruit dlt_n_senesced dlt_n_senesced dlt_n_senesced_leaf dlt_n_senesced dlt_n_senesced_stem dlt_n_senesced dlt_n_senesced_pod dlt_n_senesced dlt_n_senesced_meal dlt_n_senesced dlt_n_senesced_oil dlt_n_senesced_fruit       n_demand  n_demanded(1)  n_demanded(2)  n_demand_leaf  n_demanded(3)  n_demand_stem  n_demanded(4)   n_demand_pod  n_demanded(5)  n_demand_meal  n_demanded(6)   n_demand_oil n_demand_fruit    nfact_grain
             ()           (mm)            (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)        (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)           (g/m^2)        (g/m^2)           (g/m^2)        (g/m^2)          (g/m^2)        (g/m^2)           (g/m^2)        (g/m^2)          (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)         (g/m^2)         (g/m^2)         (/m^2)            (g)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)          (g/m^2)        (g/m^2)        (g/m^2)          (g/m^2)        (g/m^2)          (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)          (g/m^2)        (g/m^2)         (g/m^2)           (g/m^2)        (g/m^2)        (g/m^2)            (g/m^2)        (g/m^2)            (g/m^2)        (g/m^2)           (g/m^2)        (g/m^2)            (g/m^2)        (g/m^2)           (g/m^2)             (g/m^2)              (g/m^2)              (g/m^2)                   (g/m^2)              (g/m^2)                   (g/m^2)              (g/m^2)                  (g/m^2)              (g/m^2)                   (g/m^2)              (g/m^2)                  (g/m^2)                    (g/m^2)                (g/m^2)                (g/m^2)                     (g/m^2)                (g/m^2)                     (g/m^2)                (g/m^2)                    (g/m^2)                (g/m^2)                     (g/m^2)                (g/m^2)                    (g/m^2)                      (g/m^2)        (g/m^2)        (g/m^2)             (g/m^2)        (g/m^2)             (g/m^2)        (g/m^2)            (g/m^2)        (g/m^2)             (g/m^2)        (g/m^2)            (g/m^2)              (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()
     22/07/1988          8.500             36          4.464          0.571        316.519          0.000        574.230          0.164         54.362         54.362         18.769         54.362         12.632         54.362          0.000         54.362          0.000         54.362          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          0.366           0.000           0.000           0.000           0.000           0.000           0.000          4.073          4.073             1.491          4.073             0.994          4.073            0.000          4.073             0.000          4.073            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.108           0.187          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.931          1.931          1.007          1.931          0.463          1.931          0.000          1.931          0.000          1.931          0.000          0.000          0.002          0.002           0.001          0.002           0.000          0.002          0.000          0.002           0.000          0.002          0.000            0.000          0.124          0.124            0.067          0.124            0.028          0.124           0.000          0.124            0.000          0.124           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.004                  0.004                       0.002                  0.004                       0.001                  0.004                      0.000                  0.004                       0.000                  0.004                      0.000                        0.000          0.001          0.001               0.000          0.001               0.000          0.001              0.000          0.001               0.000          0.001              0.000                0.000          0.131          0.030          0.072          0.072          0.029          0.029          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     23/07/1988          0.000             37          4.477          0.643        358.300          0.000        587.010          0.578         60.985         60.985         21.221         60.985         14.303         60.985          0.000         60.985          0.000         60.985          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          0.434           0.000           0.000           0.000           0.000           0.000           0.000          6.805          6.805             2.507          6.805             1.671          6.805            0.000          6.805             0.000          6.805            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.115           0.183          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.157          2.157          1.130          2.157          0.516          2.157          0.000          2.157          0.000          2.157          0.000          0.000          0.002          0.002           0.002          0.002           0.000          0.002          0.000          0.002           0.000          0.002          0.000            0.000          0.225          0.225            0.122          0.225            0.053          0.225           0.000          0.225            0.000          0.225           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.003                  0.003                       0.001                  0.003                       0.001                  0.003                      0.000                  0.003                       0.000                  0.003                      0.000                        0.000          0.001          0.001               0.000          0.001               0.000          0.001              0.000          0.001               0.000          0.001              0.000                0.000          0.230          0.051          0.126          0.126          0.053          0.053          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     24/07/1988          0.000             38          4.489          0.722        404.051          0.000        598.530          0.679         68.200         68.200         23.913         68.200         16.133         68.200          0.000         68.200          0.000         68.200          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          0.500           0.000           0.000           0.000           0.000           0.000           0.000          7.410          7.410             2.745          7.410             1.830          7.410            0.000          7.410             0.000          7.410            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.128           0.195          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.403          2.403          1.264          2.403          0.574          2.403          0.000          2.403          0.000          2.403          0.000          0.000          0.003          0.003           0.002          0.003           0.000          0.003          0.000          0.003           0.000          0.003          0.000            0.000          0.244          0.244            0.133          0.244            0.058          0.244           0.000          0.244            0.000          0.244           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.003                  0.003                       0.001                  0.003                       0.001                  0.003                      0.000                  0.003                       0.000                  0.003                      0.000                        0.000          0.001          0.001               0.000          0.001               0.000          0.001              0.000          0.001               0.000          0.001              0.000                0.000          0.254          0.055          0.140          0.140          0.060          0.060          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     25/07/1988          0.000             39          4.504          0.818        459.808          0.000        612.570          1.227         76.940         76.940         27.190         76.940         18.364         76.940          0.000         76.940          0.000         76.940          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          0.585           0.000           0.000           0.000           0.000           0.000           0.000          8.966          8.966             3.345          8.966             2.230          8.966            0.000          8.966             0.000          8.966            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.141           0.226          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.610          2.610          1.377          2.610          0.624          2.610          0.000          2.610          0.000          2.610          0.000          0.000          0.003          0.003           0.002          0.003           0.000          0.003          0.000          0.003           0.000          0.003          0.000            0.000          0.205          0.205            0.112          0.205            0.049          0.205           0.000          0.205            0.000          0.205           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.003                  0.003                       0.002                  0.003                       0.001                  0.003                      0.000                  0.003                       0.000                  0.003                      0.000                        0.000          0.001          0.001               0.000          0.001               0.000          0.001              0.000          0.001               0.000          0.001              0.000                0.000          0.314          0.067          0.173          0.173          0.074          0.074          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.945
     26/07/1988          0.000             40          4.523          0.929        524.689          0.000        631.050          1.618         87.003         87.003         30.986         87.003         20.959         87.003          0.000         87.003          0.000         87.003          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          0.700           0.000           0.000           0.000           0.000           0.000           0.000         10.336         10.336             3.893         10.336             2.595         10.336            0.000         10.336             0.000         10.336            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.158           0.273          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.882          2.882          1.525          2.882          0.692          2.882          0.000          2.882          0.000          2.882          0.000          0.000          0.004          0.004           0.003          0.004           0.000          0.004          0.000          0.004           0.000          0.004          0.000            0.000          0.270          0.270            0.146          0.270            0.067          0.270           0.000          0.270            0.000          0.270           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.004                  0.004                       0.002                  0.004                       0.001                  0.004                      0.000                  0.004                       0.000                  0.004                      0.000                        0.000          0.001          0.001               0.000          0.001               0.000          0.001              0.000          0.001               0.000          0.001              0.000                0.000          0.372          0.077          0.204          0.204          0.091          0.091          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.914
     27/07/1988          0.000             41          4.536          1.040        589.809          0.000        643.710          0.911         97.044         97.044         34.821         97.044         23.564         97.044          0.000         97.044          0.000         97.044          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          0.790           0.000           0.000           0.000           0.000           0.000           0.000         10.307         10.307             3.907         10.307             2.605         10.307            0.000         10.307             0.000         10.307            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.176           0.266          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.118          3.118          1.654          3.118          0.751          3.118          0.000          3.118          0.000          3.118          0.000          0.000          0.004          0.004           0.003          0.004           0.000          0.004          0.000          0.004           0.000          0.004          0.000            0.000          0.234          0.234            0.128          0.234            0.058          0.234           0.000          0.234            0.000          0.234           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.003                  0.003                       0.002                  0.003                       0.001                  0.003                      0.000                  0.003                       0.000                  0.003                      0.000                        0.000          0.001          0.001               0.000          0.001               0.000          0.001              0.000          0.001               0.000          0.001              0.000                0.000          0.368          0.076          0.203          0.203          0.089          0.089          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.868
     28/07/1988          0.000             42          4.550          1.172        667.338          0.000        656.790          1.668        108.937        108.937         39.394        108.937         26.665        108.937          0.000        108.937          0.000        108.937          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          0.890           0.000           0.000           0.000           0.000           0.000           0.000         12.188         12.188             4.652         12.188             3.101         12.188            0.000         12.188             0.000         12.188            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.194           0.294          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.326          3.326          1.768          3.326          0.802          3.326          0.000          3.326          0.000          3.326          0.000          0.000          0.004          0.004           0.003          0.004           0.000          0.004          0.000          0.004           0.000          0.004          0.000            0.000          0.206          0.206            0.113          0.206            0.051          0.206           0.000          0.206            0.000          0.206           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.003                  0.003                       0.002                  0.003                       0.001                  0.003                      0.000                  0.003                       0.000                  0.003                      0.000                        0.000          0.001          0.001               0.000          0.001               0.000          0.001              0.000          0.001               0.000          0.001              0.000                0.000          0.435          0.089          0.241          0.241          0.105          0.105          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.790
     29/07/1988          0.000             43          4.565          1.294        739.278          0.000        670.950          1.213        119.838        119.838         43.621        119.838         29.542        119.838          0.000        119.838          0.000        119.838          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          0.999           0.000           0.000           0.000           0.000           0.000           0.000         11.225         11.225             4.316         11.225             2.878         11.225            0.000         11.225             0.000         11.225            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.215           0.325          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.510          3.510          1.869          3.510          0.848          3.510          0.000          3.510          0.000          3.510          0.000          0.000          0.005          0.005           0.004          0.005           0.000          0.005          0.000          0.005           0.000          0.005          0.000            0.000          0.182          0.182            0.100          0.182            0.045          0.182           0.000          0.182            0.000          0.182           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.004                  0.004                       0.002                  0.004                       0.001                  0.004                      0.000                  0.004                       0.000                  0.004                      0.000                        0.000          0.002          0.002               0.000          0.002               0.000          0.002              0.000          0.002               0.000          0.002              0.000                0.000          0.399          0.081          0.222          0.222          0.096          0.096          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.732
     30/07/1988          0.000             44          4.584          1.429        820.506          0.000        688.710          1.160        131.959        131.959         48.316        131.959         32.791        131.959          0.000        131.959          0.000        131.959          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          1.198           0.000           0.000           0.000           0.000           0.000           0.000         12.555         12.555             4.874         12.555             3.249         12.555            0.000         12.555             0.000         12.555            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.235           0.434          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.674          3.674          1.958          3.674          0.889          3.674          0.000          3.674          0.000          3.674          0.000          0.000          0.006          0.006           0.005          0.006           0.000          0.006          0.000          0.006           0.000          0.006          0.000            0.000          0.159          0.159            0.086          0.159            0.040          0.159           0.000          0.159            0.000          0.159           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.007                  0.007                       0.004                  0.007                       0.002                  0.007                      0.000                  0.007                       0.000                  0.007                      0.000                        0.000          0.002          0.002               0.001          0.002               0.000          0.002              0.000          0.002               0.000          0.002              0.000                0.000          0.445          0.089          0.249          0.249          0.107          0.107          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.666
     31/07/1988          0.000             45          4.600          1.583        913.890          0.000        704.010          1.920        145.811        145.811         53.735        145.811         36.527        145.811          0.000        145.811          0.000        145.811          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          1.406           0.000           0.000           0.000           0.000           0.000           0.000         14.315         14.315             5.603         14.315             3.735         14.315            0.000         14.315             0.000         14.315            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.256           0.463          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.821          3.821          2.039          3.821          0.927          3.821          0.000          3.821          0.000          3.821          0.000          0.000          0.007          0.007           0.006          0.007           0.000          0.007          0.000          0.007           0.000          0.007          0.000            0.000          0.143          0.143            0.078          0.143            0.036          0.143           0.000          0.143            0.000          0.143           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.007                  0.007                       0.004                  0.007                       0.002                  0.007                      0.000                  0.007                       0.000                  0.007                      0.000                        0.000          0.002          0.002               0.001          0.002               0.000          0.002              0.000          0.002               0.000          0.002              0.000                0.000          0.505          0.100          0.284          0.284          0.121          0.121          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.588
     01/08/1988          0.000             46          4.617          1.720        997.576          0.000        719.370          1.803        158.037        158.037         58.560        158.037         39.874        158.037          0.000        158.037          0.000        158.037          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          1.623           0.000           0.000           0.000           0.000           0.000           0.000         12.721         12.721             5.021         12.721             3.347         12.721            0.000         12.721             0.000         12.721            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.279           0.496          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.954          3.954          2.112          3.954          0.961          3.954          0.000          3.954          0.000          3.954          0.000          0.000          0.008          0.008           0.007          0.008           0.000          0.008          0.000          0.008           0.000          0.008          0.000            0.000          0.129          0.129            0.070          0.129            0.032          0.129           0.000          0.129            0.000          0.129           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.006                  0.006                       0.004                  0.006                       0.002                  0.006                      0.000                  0.006                       0.000                  0.006                      0.000                        0.000          0.002          0.002               0.001          0.002               0.000          0.002              0.000          0.002               0.000          0.002              0.000                0.000          0.447          0.087          0.253          0.253          0.107          0.107          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.533
     02/08/1988          0.000             47          4.636          1.835       1069.387          0.000        736.950          1.188        168.294        168.294         62.632        168.294         42.747        168.294          0.000        168.294          0.000        168.294          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          1.877           0.000           0.000           0.000           0.000           0.000           0.000         10.811         10.811             4.309         10.811             2.872         10.811            0.000         10.811             0.000         10.811            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.300           0.553          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.075          4.075          2.178          4.075          0.992          4.075          0.000          4.075          0.000          4.075          0.000          0.000          0.009          0.009           0.008          0.009           0.000          0.009          0.000          0.009           0.000          0.009          0.000            0.000          0.116          0.116            0.063          0.116            0.029          0.116           0.000          0.116            0.000          0.116           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.007                  0.007                       0.004                  0.007                       0.002                  0.007                      0.000                  0.007                       0.000                  0.007                      0.000                        0.000          0.003          0.003               0.001          0.003               0.000          0.003              0.000          0.003               0.000          0.003              0.000                0.000          0.379          0.073          0.216          0.216          0.090          0.090          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.501
     03/08/1988          0.000             48          4.657          1.959       1147.278          0.000        756.510          1.892        179.278        179.278         67.025        179.278         45.862        179.278          0.000        179.278          0.000        179.278          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          2.175           0.000           0.000           0.000           0.000           0.000           0.000         11.598         11.598             4.673         11.598             3.116         11.598            0.000         11.598             0.000         11.598            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.316           0.614          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.185          4.185          2.238          4.185          1.021          4.185          0.000          4.185          0.000          4.185          0.000          0.000          0.011          0.011           0.009          0.011           0.000          0.011          0.000          0.011           0.000          0.011          0.000            0.000          0.105          0.105            0.057          0.105            0.027          0.105           0.000          0.105            0.000          0.105           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.008                  0.008                       0.005                  0.008                       0.002                  0.008                      0.000                  0.008                       0.000                  0.008                      0.000                        0.000          0.003          0.003               0.001          0.003               0.000          0.003              0.000          0.003               0.000          0.003              0.000                0.000          0.405          0.076          0.232          0.232          0.096          0.096          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.466
     04/08/1988          0.000             49          4.678          2.069       1218.148          0.000        776.010          1.593        189.067        189.067         70.979        189.067         48.697        189.067          0.000        189.067          0.000        189.067          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          2.488           0.000           0.000           0.000           0.000           0.000           0.000         10.436         10.436             4.252         10.436             2.835         10.436            0.000         10.436             0.000         10.436            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.334           0.647          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.287          4.287          2.293          4.287          1.048          4.287          0.000          4.287          0.000          4.287          0.000          0.000          0.012          0.012           0.011          0.012           0.000          0.012          0.000          0.012           0.000          0.012          0.000            0.000          0.097          0.097            0.052          0.097            0.025          0.097           0.000          0.097            0.000          0.097           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.008                  0.008                       0.005                  0.008                       0.002                  0.008                      0.000                  0.008                       0.000                  0.008                      0.000                        0.000          0.003          0.003               0.001          0.003               0.000          0.003              0.000          0.003               0.000          0.003              0.000                0.000          0.362          0.067          0.209          0.209          0.086          0.086          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.441
     05/08/1988          0.000             50          4.700          2.165       1281.630          0.000        796.470          1.407        197.574        197.574         74.418        197.574         51.236        197.574          0.000        197.574          0.000        197.574          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          2.870           0.000           0.000           0.000           0.000           0.000           0.000          9.238          9.238             3.809          9.238             2.539          9.238            0.000          9.238             0.000          9.238            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.349           0.731          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.381          4.381          2.344          4.381          1.074          4.381          0.000          4.381          0.000          4.381          0.000          0.000          0.014          0.014           0.013          0.014           0.000          0.014          0.000          0.014           0.000          0.014          0.000            0.000          0.088          0.088            0.047          0.088            0.023          0.088           0.000          0.088            0.000          0.088           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.010                  0.010                       0.006                  0.010                       0.002                  0.010                      0.000                  0.010                       0.000                  0.010                      0.000                        0.000          0.004          0.004               0.002          0.004               0.000          0.004              0.000          0.004               0.000          0.004              0.000                0.000          0.319          0.058          0.186          0.186          0.075          0.075          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.427
     06/08/1988          0.000             51          4.721          2.245       1335.926          0.000        815.310          0.373        204.653        204.653         77.313        204.653         53.408        204.653          0.000        204.653          0.000        204.653          0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000          3.243           0.000           0.000           0.000           0.000           0.000           0.000          7.814          7.814             3.258          7.814             2.172          7.814            0.000          7.814             0.000          7.814            0.000                   0.000                  -0.000                  -0.000                  -0.000                  -0.000                   0.000           0.361           0.734          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.469          4.469          2.392          4.469          1.097          4.469          0.000          4.469          0.000          4.469          0.000          0.000          0.016          0.016           0.014          0.016           0.000          0.016          0.000          0.016           0.000          0.016          0.000            0.000          0.082          0.082            0.044          0.082            0.021          0.082           0.000          0.082            0.000          0.082           0.000             0.000          0.000          0.000             -0.000          0.000             -0.000          0.000            -0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.010                  0.010                       0.006                  0.010                       0.002                  0.010                      0.000                  0.010                       0.000                  0.010                      0.000                        0.000          0.004          0.004               0.002          0.004               0.000          0.004              0.000          0.004               0.000          0.004              0.000                0.000          0.268          0.048          0.157          0.157          0.063          0.063          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.421
