Summary_file = canola.sum
Title = canola Sample Simulation
    day   year            lai        biomass  green_biomass            pai
  (day) (year)      (m^2/m^2)        (kg/ha)        (kg/ha)      (m^2/m^2)
    130   1988          0.000          0.000          0.000          0.000
    131   1988          0.000          0.000          0.000          0.000
    132   1988          0.000          0.000          0.000          0.000
    133   1988          0.000          0.000          0.000          0.000
    134   1988          0.000          0.000          0.000          0.000
    135   1988          0.000          0.000          0.000          0.000
    136   1988          0.000          0.000          0.000          0.000
    137   1988          0.000          0.000          0.000          0.000
    138   1988          0.000          0.000          0.000          0.000
    139   1988          0.000          0.000          0.000          0.000
    140   1988          0.000          0.000          0.000          0.000
    141   1988          0.000          0.000          0.000          0.000
    142   1988          0.000          0.000          0.000          0.000
    143   1988          0.032         12.000         12.000          0.000
    144   1988          0.038         15.028         15.028          0.000
    145   1988          0.045         18.264         18.264          0.000
    146   1988          0.050         22.532         22.532          0.000
    147   1988          0.056         27.024         27.024          0.000
    148   1988          0.064         32.495         32.495          0.000
    149   1988          0.072         38.267         38.267          0.000
    150   1988          0.080         44.830         44.830          0.000
    151   1988          0.088         52.359         52.359          0.000
    152   1988          0.098         60.266         60.266          0.000
    153   1988          0.112         66.885         66.885          0.000
    154   1988          0.128         75.361         75.361          0.000
    155   1988          0.146         84.810         84.810          0.000
    156   1988          0.159         90.049         90.049          0.000
    157   1988          0.179         98.169         98.169          0.000
    158   1988          0.208        110.035        110.035          0.000
    159   1988          0.237        128.813        128.813          0.000
    160   1988          0.261        151.068        151.068          0.000
    161   1988          0.286        172.919        172.919          0.000
    162   1988          0.320        198.056        198.056          0.000
    163   1988          0.350        226.244        226.244          0.000
    164   1988          0.376        256.756        256.756          0.000
    165   1988          0.404        292.208        292.208          0.000
    166   1988          0.436        330.451        330.451          0.000
    167   1988          0.472        370.374        370.374          0.000
    168   1988          0.519        405.972        405.972          0.000
    169   1988          0.573        445.580        445.580          0.000
    170   1988          0.639        490.892        490.892          0.000
    171   1988          0.696        543.878        543.878          0.000
    172   1988          0.759        600.831        600.831          0.000
    173   1988          0.831        661.982        661.982          0.000
    174   1988          0.899        726.489        726.489          0.000
    175   1988          0.971        796.607        796.607          0.000
    176   1988          1.053        866.422        866.422          0.000
    177   1988          1.148        937.547        937.547          0.000
    178   1988          1.251       1010.805       1010.805          0.000
    179   1988          1.360       1101.029       1101.029          0.000
    180   1988          1.457       1197.372       1197.372          0.000
    181   1988          1.544       1294.780       1294.780          0.000
    182   1988          1.628       1400.690       1400.690          0.000
    183   1988          1.724       1504.597       1504.597          0.000
    184   1988          1.830       1582.503       1582.503          0.000
    185   1988          1.946       1629.903       1629.903          0.000
    186   1988          2.076       1682.948       1682.948          0.000
    187   1988          2.231       1746.425       1746.425          0.000
    188   1988          2.391       1858.304       1858.304          0.000
    189   1988          2.518       1970.571       1970.571          0.000
    190   1988          2.655       2090.764       2090.764          0.000
    191   1988          2.801       2222.815       2222.815          0.000
    192   1988          2.969       2325.860       2325.860          0.000
    193   1988          3.084       2392.073       2392.073          0.000
    194   1988          3.228       2474.042       2474.042          0.000
    195   1988          3.443       2597.175       2597.175          0.000
    196   1988          3.677       2730.792       2730.792          0.000
    197   1988          3.926       2872.952       2872.952          0.000
    198   1988          4.168       3011.443       3011.443          0.000
    199   1988          4.425       3161.077       3158.580          0.000
    200   1988          4.692       3322.725       3313.687          0.000
    201   1988          4.971       3497.001       3476.887          0.000
    202   1988          5.211       3656.136       3619.848          0.000
    203   1988          5.378       3780.435       3723.275          0.000
    204   1988          5.500       3883.910       3802.485          0.000
    205   1988          5.720       4047.279       3939.250          0.000
    206   1988          5.924       4209.616       4070.297          0.000
    207   1988          6.121       4389.813       4214.589          0.000
    208   1988          6.255       4579.734       4363.611          0.000
    209   1988          6.242       4752.339       4491.874          0.028
    210   1988          6.179       4940.535       4635.717          0.058
    211   1988          6.107       5099.681       4751.912          0.083
    212   1988          6.055       5266.419       4877.373          0.110
    213   1988          6.005       5453.277       5024.023          0.140
    214   1988          5.959       5633.000       5164.590          0.169
    215   1988          5.924       5796.706       5290.193          0.195
    216   1988          5.889       5981.482       5437.561          0.224
    217   1988          5.859       6159.375       5578.757          0.253
    218   1988          5.831       6326.337       5709.682          0.279
    219   1988          5.808       6473.865       5821.823          0.303
    220   1988          5.761       6629.454       5942.370          0.328
    221   1988          5.714       6776.483       6055.337          0.351
    222   1988          5.668       6926.640       6172.385          0.376
    223   1988          5.630       7110.042       6323.558          0.405
    224   1988          5.606       7304.775       6486.781          0.436
    225   1988          5.534       7453.644       6604.725          0.496
    226   1988          5.466       7604.731       6726.655          0.558
    227   1988          5.402       7752.442       6846.840          0.622
    228   1988          5.341       7893.094       6961.480          0.689
    229   1988          5.284       8043.616       7087.393          0.758
    230   1988          5.230       8192.467       7212.938          0.829
    231   1988          5.178       8321.547       7319.928          0.902
    232   1988          5.130       8451.056       7428.480          0.976
    233   1988          5.050       8577.323       7520.583          1.050
    234   1988          5.008       8709.007       7634.056          1.126
    235   1988          4.967       8777.234       7684.955          1.174
    236   1988          4.929       8865.127       7756.347          1.232
    237   1988          4.859       8961.779       7822.954          1.294
    238   1988          4.671       9093.711       7874.183          1.372
    239   1988          4.473       9215.373       7910.874          1.446
    240   1988          4.357       9285.654       7931.534          1.498
    241   1988          4.247       9372.412       7970.761          1.557
    242   1988          4.163       9513.296       8075.881          1.641
    243   1988          4.079       9652.144       8178.474          1.725
    244   1988          3.986       9708.065       8194.396          1.771
    245   1988          3.884       9756.351       8198.946          1.814
    246   1988          3.777       9857.137       8254.052          1.882
    247   1988          3.680       9987.698       8342.854          1.964
    248   1988          3.582      10076.727       8389.954          2.027
    249   1988          3.473      10097.143       8363.350          2.057
    250   1988          3.361      10112.567       8330.894          2.086
    251   1988          3.248      10099.786       8269.284          2.101
    252   1988          3.149      10074.111       8201.307          2.110
    253   1988          3.049      10030.945       8115.114          2.110
    254   1988          2.928      10002.216       8034.370          2.110
    255   1988          2.799       9996.535       7973.556          2.110
    256   1988          2.652       9995.601       7909.408          2.111
    257   1988          2.540       9996.140       7861.832          2.111
    258   1988          2.476       9996.547       7834.762          2.111
    259   1988          2.390       9998.387       7799.504          2.113
    260   1988          2.306      10000.682       7765.961          2.114
    261   1988          2.231      10003.902       7736.772          2.116
    262   1988          2.163      10006.954       7710.826          2.118
    263   1988          2.107      10009.607       7689.214          2.120
    264   1988          2.055      10012.123       7669.451          2.121
    265   1988          2.001      10014.930       7649.139          2.123
    266   1988          1.946      10018.257       7628.863          2.124
    267   1988          1.837      10022.217       7585.940          2.125
    268   1988          1.704      10026.729       7533.428          2.126
    269   1988          1.577      10031.987       7484.442          2.128
    270   1988          1.450      10037.517       7435.279          2.129
    271   1988          1.325      10042.071       7386.344          2.130
    272   1988          1.218      10048.327       7346.486          2.131
    273   1988          1.124      10056.632       7314.628          2.133
    274   1988          1.045      10065.471       7289.521          2.136
    275   1988          0.934      10073.083       7249.461          2.137
    276   1988          0.881      10082.726       7236.022          2.140
    277   1988          0.834      10092.938       7226.208          2.142
    278   1988          0.789      10102.944       7216.969          2.145
    279   1988          0.754      10113.401       7212.526          2.147
    280   1988          0.715      10124.475       7206.659          2.150
    281   1988          0.695      10135.813       7209.513          2.152
    282   1988          0.678      10146.387       7212.852          2.155
    283   1988          0.662      10157.913       7217.403          2.158
    284   1988          0.644      10170.254       7221.862          2.161
    285   1988          0.627      10183.267       7227.821          2.164
    286   1988          0.612      10196.827       7234.864          2.167
    287   1988          0.599      10210.801       7243.022          2.170
    288   1988          0.585      10224.375       7250.882          2.174
    289   1988          0.573      10238.717       7259.907          2.177
    290   1988          0.559      10254.175       7269.455          2.177
    291   1988          0.002      10254.176       7030.314          2.177
    292   1988          0.000          0.000          0.000          0.000
    293   1988          0.000          0.000          0.000          0.000
    294   1988          0.000          0.000          0.000          0.000
    295   1988          0.000          0.000          0.000          0.000
    296   1988          0.000          0.000          0.000          0.000
    297   1988          0.000          0.000          0.000          0.000
    298   1988          0.000          0.000          0.000          0.000
    299   1988          0.000          0.000          0.000          0.000
    300   1988          0.000          0.000          0.000          0.000
