Summary_file = referenc.sum
Title = 
      year       day             no3(1)             no3(2)             no3(3)          sw_dep(1)          sw_dep(2)          sw_dep(3)       tt_tot()            lai        biomass     root_length(1)     root_length(2)     root_length(3)     root_depth avg_swdef_photo avg_nfact_photo   plant_status      dm_dead()          yield         height   surfaceom_wt    surfaceom_n        fom_c()        fom_n()        leaf_no
    (year)     (day)            (kg/ha)            (kg/ha)            (kg/ha)               (mm)               (mm)               (mm)           (oC)      (m^2/m^2)        (kg/ha)          (mm/mm^2)          (mm/mm^2)          (mm/mm^2)           (mm)              ()              ()             ()        (g/m^2)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()
      1993         7              3.306              7.948              7.268             26.932             78.774             80.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000        473.522          2.368        307.403          6.831          0.000
      1993        10            201.000              1.000              1.000             30.000             60.000             40.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000          alive          0.000          0.000          0.000          0.000          0.000        286.553          6.368          0.000
      1993        17             81.211             88.930             35.574             30.966             80.458             74.152        136.419          0.008          5.372              0.044              0.000              0.000        120.000           1.000           1.000          alive          0.000          0.000          0.257          0.000          0.000        208.506          4.633          1.552
      1993        24             73.411             93.469             40.560             34.735             80.086             78.529        267.875          0.036         23.738              0.198              0.028              0.000        223.168           1.000           1.000          alive          0.000          0.000          0.618          0.000          0.000        158.211          3.516          3.574
      1993        31             71.301             95.138             41.535             31.879             79.335             79.390        400.525          0.151         86.179              0.509              0.098              0.000        436.168           1.000           1.000          alive          0.000          0.000          3.991          0.000          0.000        122.528          2.723          5.615
      1993        38             66.116             96.745             41.871             32.619             77.519             79.686        529.402          0.414        283.503              1.090              0.153              0.004        634.168           1.000           1.000          alive          0.000          0.000         20.495          0.000          0.000         95.722          2.129          7.598
      1993        45             53.281             96.313             41.659             35.422             76.482             79.321        652.102          1.136        803.173              2.554              0.343              0.039        749.668           1.000           1.000          alive          0.000          0.000         73.156          0.000          0.000         79.025          1.759          9.928
      1993        52             35.645             91.822             40.028             39.014             76.641             77.654        764.019          2.074       1657.210              4.225              1.379              0.093        865.168           0.924           1.000          alive          0.000          0.000        183.681          0.000          0.000         67.630          1.510         13.037
      1993        59             21.846             86.352             38.102             41.915             78.526             74.676        897.948          2.571       2638.850              5.225              3.477              0.137        980.668           0.816           1.000          alive          0.000          0.000        349.606          0.000          0.000         58.690          1.318         16.757
      1993        66             12.350             70.971             35.142             37.534             76.948             72.282       1010.516          2.945       3983.905              6.598              6.319              0.212       1000.000           0.824           1.000          alive          0.000          0.000        576.645          0.000          0.000         53.589          1.214         19.781
      1993        73              6.597             54.743             32.616             41.035             78.595             72.287       1122.321          2.765       5340.142              7.956              9.131              0.311       1000.000           0.822           1.000          alive          0.000          0.000        839.448          0.000          0.000         51.873          1.189         19.781
      1993        80              4.067             38.207             27.150             37.348             77.041             72.274       1242.030          2.673       6852.297              8.455             10.224              0.359       1000.000           0.965           1.000          alive          0.000          0.000       1165.597          0.000          0.000         52.444          1.216         19.781
      1993        87              2.680             28.149             23.542             41.102             78.612             72.137       1345.711          2.420       8181.696              8.558             10.523              0.375       1000.000           0.940           1.000          alive          0.000        457.862       1385.963          0.000          0.000         53.597          1.256         19.781
      1993        94              2.429             22.978             21.743             38.090             78.253             71.875       1449.681          2.184       9403.027              8.439             10.376              0.370       1000.000           0.988           1.000          alive          0.000       1550.495       1418.469          0.000          0.000         53.841          1.271         19.781
      1993       101              2.708             20.974             21.558             37.399             78.112             72.716       1554.468          1.951      10358.137              8.321             10.232              0.365       1000.000           0.932           1.000          alive          0.000       2599.714       1424.098          0.000          0.000         53.700          1.275         19.781
      1993       108              3.023             20.221             21.505             37.000             78.260             73.601       1648.545          1.746      11150.755              8.205             10.090              0.360       1000.000           1.000           1.000          alive          0.000       3688.999       1424.098          0.000          0.000         55.065          1.314         19.781
      1993       115              3.465             20.634             21.862             36.335             77.441             73.633       1735.567          1.560      11931.871              8.091              9.949              0.355       1000.000           1.000           1.000          alive          0.000       4712.967       1424.098          0.000          0.000         56.276          1.349         19.781
      1993       122              3.736             21.080             22.398             36.151             77.732             74.442       1816.876          1.350      12589.770              7.979              9.811              0.350       1000.000           1.000           1.000          alive          0.000       5675.540       1424.098          0.000          0.000         57.386          1.380         19.781
      1993       129              3.942             21.733             22.843             38.645             79.243             75.158       1896.634          1.175      13127.847              7.868              9.674              0.345       1000.000           1.000           1.000          alive          0.000       6578.545       1424.098          0.000          0.000         58.700          1.416         19.781
      1993       136              4.558             22.474             23.145             36.221             78.259             75.280       1981.858          1.084      13591.936              7.758              9.540              0.340       1000.000           1.000           1.000          alive          0.000       7042.634       1424.098          0.000          0.000         59.491          1.439         19.781
      1993       143              4.581             23.008             23.582             39.364             79.754             76.265       2052.029          1.000      14029.660              7.650              9.407              0.335       1000.000           1.000           1.000          alive          0.000       7480.359       1424.098          0.000          0.000         61.323          1.487         19.781
      1993       150              5.032             23.667             23.893             38.200             79.303             76.672       2125.560          0.902      14376.562              7.544              9.276              0.331       1000.000           1.000           1.000          alive          0.000       7757.493       1424.098          0.000          0.000         62.501          1.518         19.781
      1993       151              5.154             23.744             23.921             37.370             79.168             76.764       2136.454          0.004       6619.070              7.529              9.257              0.330       1000.000           1.000           0.000           dead          0.000          0.000       1424.098          0.000          0.000         62.723          1.524         19.781
      1993       152              5.284             23.817             23.949             36.705             79.018             76.851       2147.060          0.004       6619.070              7.529              9.257              0.330       1000.000           1.000           0.000            out          0.000          0.000       1424.098       6619.070         62.345        747.557         19.813         19.781
      1993       159              0.370             23.231             24.212             38.827             79.973             77.882          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       6090.658         57.368        618.704         16.384          0.000
      1993       160            101.000              1.000              1.000             30.000             60.000             40.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000               ?               ?          alive          0.000          0.000          0.000          0.000          0.000        618.704         16.384          0.000
      1993       167             41.667             44.328             18.704             35.741             80.235             73.708         79.478          0.003          1.297              0.008              0.000              0.000        110.000           1.000           1.000          alive          0.000          0.000          0.250          0.000          0.000        511.165         13.524          0.837
      1993       174             38.667             45.630             20.881             32.755             79.767             77.351        160.155          0.013          5.459              0.045              0.004              0.000        215.000           1.000           1.000          alive          0.000          0.000          0.311          0.000          0.000        426.774         11.281          2.078
      1993       181             37.434             46.220             21.752             31.258             79.366             78.834        233.220          0.037         17.088              0.094              0.042              0.000        356.000           1.000           1.000          alive          0.000          0.000          0.820          0.000          0.000        369.076          9.748          3.329
      1993       188             36.500             46.714             22.067             34.477             79.360             79.371        298.231          0.117         47.112              0.158              0.074              0.000        587.000           1.000           1.000          alive          0.000          0.000          3.307          0.000          0.000        324.908          8.575          5.017
      1993       195             36.044             46.557             22.243             34.043             78.981             79.738        368.468          0.251         93.556              0.280              0.098              0.005        719.000           1.000           1.000          alive          0.000          0.000         10.139          0.000          0.000        289.794          7.643          6.968
      1993       202             33.372             45.454             21.940             37.716             78.804             79.832        435.113          0.617        271.192              0.776              0.167              0.017        834.500           1.000           1.000          alive          0.000          0.000         43.140          0.000          0.000        258.893          6.822          8.819
      1993       209             29.395             41.595             20.519             34.181             77.018             79.296        506.941          1.162        638.792              1.561              0.551              0.041        950.000           1.000           1.000          alive          0.000          0.000        134.882          0.000          0.000        232.837          6.130         10.814
      1993       216             21.406             37.081             17.465             37.187             77.827             78.011        570.522          1.660       1253.248              2.209              1.862              0.067       1000.000           1.000           1.000          alive          0.000          0.000        302.931          0.000          0.000        210.221          5.528         12.580
      1993       223             13.558             29.462             13.576             38.110             77.179             75.989        639.028          2.017       2144.793              3.136              3.751              0.119       1000.000           1.000           1.000          alive          0.000          0.000        567.332          0.000          0.000        193.026          5.069         14.411
