Summary_file = pigeonp.sum
Title = pigeonp Sample Simulation
    day   year            lai        biomass  green_biomass
  (day) (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
     23   1989          3.673       6589.039       5990.150
     24   1989          3.782       6691.869       6092.980
     25   1989          3.857       6807.706       6204.567
     26   1989          3.820       6885.057       6229.375
     27   1989          3.894       6975.152       6316.125
     28   1989          3.892       7061.487       6364.931
     29   1989          3.851       7130.546       6379.268
     30   1989          3.710       7174.733       6325.596
     31   1989          3.557       7207.024       6256.271
     32   1989          3.439       7253.246       6214.336
     33   1989          3.443       7335.303       6256.861
     34   1989          3.483       7426.821       6322.446
     35   1989          3.549       7463.086       6358.711
     36   1989          3.579       7480.059       6375.684
     37   1989          3.666       7538.785       6434.410
     38   1989          3.762       7623.119       6518.744
     39   1989          3.772       7729.098       6588.098
     40   1989          3.683       7799.776       6582.851
     41   1989          3.568       7853.665       6551.397
     42   1989          3.547       7938.646       6584.683
     43   1989          3.559       8032.813       6641.607
     44   1989          3.474       8097.004       6633.404
     45   1989          3.371       8150.438       6608.183
     46   1989          3.265       8199.465       6578.430
     47   1989          3.159       8244.412       6544.795
     48   1989          3.079       8295.195       6528.111
     49   1989          2.998       8341.217       6506.776
     50   1989          2.893       8379.878       6469.762
     51   1989          2.785       8413.694       6427.607
     52   1989          2.919       8554.302       6568.215
     53   1989          3.063       8719.555       6733.469
     54   1989          3.178       8841.746       6855.660
     55   1989          3.292       8941.142       6955.055
     56   1989          3.407       9073.133       7087.046
     57   1989          3.512       9189.328       7203.241
     58   1989          3.626       9321.494       7335.407
     59   1989          3.711       9379.467       7393.380
     60   1989          3.805       9459.152       7473.066
     61   1989          3.931       9610.870       7624.784
     62   1989          3.968       9702.569       7716.482
     63   1989          4.019       9831.169       7845.083
     64   1989          4.075       9968.529       7982.442
     65   1989          4.105      10118.036       8114.783
     66   1989          4.133      10258.213       8238.998
     67   1989          4.163      10389.137       8356.994
     68   1989          4.136      10506.530       8432.888
     69   1989          4.029      10594.465       8460.847
     70   1989          3.923      10678.798       8485.678
     71   1989          3.823      10765.035       8515.622
     72   1989          3.703      10832.820       8516.383
     73   1989          3.596      10902.958       8526.578
     74   1989          3.476      10958.873       8515.076
     75   1989          3.476      11043.024       8599.228
     76   1989          3.476      11093.866       8650.069
     77   1989          3.476      11160.367       8716.570
     78   1989          3.476      11278.608       8834.812
     79   1989          3.437      11387.051       8920.967
     80   1989          3.345      11459.036       8941.199
     81   1989          3.241      11519.610       8943.590
     82   1989          3.124      11565.618       8924.007
     83   1989          3.012      11610.273       8905.739
     84   1989          3.012      11710.756       9006.221
     85   1989          3.012      11756.894       9052.358
     86   1989          3.012      11827.132       9122.597
     87   1989          3.012      11909.441       9204.906
     88   1989          3.012      11993.076       9288.541
     89   1989          3.012      12060.336       9355.801
     90   1989          3.012      12119.550       9415.016
     91   1989          3.012      12182.696       9478.161
     92   1989          3.012      12210.515       9505.980
     93   1989          3.012      12245.769       9541.234
     94   1989          3.012      12306.813       9602.277
     95   1989          3.012      12400.934       9696.398
     96   1989          3.012      12489.792       9785.258
     97   1989          3.012      12567.760       9863.225
     98   1989          3.012      12662.136       9957.601
     99   1989          3.012      12744.515      10039.979
    100   1989          3.012      12832.027      10127.492
    101   1989          3.012      12881.253      10176.719
    102   1989          3.012      12963.180      10258.646
    103   1989          3.012      13037.077      10332.543
    104   1989          3.012      13105.510      10400.976
    105   1989          3.012      13165.708      10461.174
    106   1989          3.012      13226.450      10521.915
    107   1989          3.012      13261.637      10557.102
    108   1989          3.012      13261.636      10557.102
    109   1989          3.012      13261.636      10557.102
    110   1989          3.012      13261.637      10557.103
    111   1989          0.000      13261.637       8866.167
    112   1989          0.000          0.000          0.000
    113   1989          0.000          0.000          0.000
    114   1989          0.000          0.000          0.000
    115   1989          0.000          0.000          0.000
    116   1989          0.000          0.000          0.000
    117   1989          0.000          0.000          0.000
    118   1989          0.000          0.000          0.000
    119   1989          0.000          0.000          0.000
    120   1989          0.000          0.000          0.000
