APSIM output file, version = 5.3
Title = MelliodoraW30
           Date            day            lai        stem_wt        leaf_wt             fw             fn           rain     irrigation             es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)         sw(11)         sw(12)       sw_dep()             ft      plantleaf      plantstem        plantla   plantbiomass           swsi         plants           slai          no3()          nh4()     root_depth         rlv(1)         rlv(2)         rlv(3)         rlv(4)         rlv(5)         rlv(6)         rlv(7)         rlv(8)         rlv(9)        rlv(10)        rlv(11)        rlv(12)             ep             eo            rtr          sw150           petr           peta          ffasw         height       ftcanopy      sw_demand      sw_supply         runoff     cum_stress            esw       fwcanopy             ga        biomass           fvpd
            (?)            (?)        (m2/m2)        (kg/ha)        (kg/ha)          (0-1)          (0-1)            (?)           (mm)           (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)          (0-1)            (?)            (?)            (?)            (?)            (?)          (/ha)        (m2/m2)        (kg/ha)        (kg/ha)             ()       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)       (mm/mm3)           (mm)           (mm)            (?)            (?)             ()             ()          (0-1)           (mm)          (0-1)           (mm)           (mm)           (mm)            (d)           (mm)          (0-1)             ()        (kg/ha)          (0-1)
     21/08/1889            233          0.847        874.485       1365.472          1.000          0.994          0.000          0.000          0.760          0.388          0.498          0.448          0.302          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1367.156          1.000          0.000          0.000          0.000          0.000          0.000      61249.965          0.000        198.623          7.630        618.305          0.019          0.021          0.016          0.005          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.792          3.513          0.000          0.000          0.148          0.645          1.000        518.315          0.725          0.792          1.090          0.000         18.680        177.656          0.752          0.045       2241.377          1.000
     21/08/1890            233          1.127       1434.167       1817.835          0.525          1.000          0.000          0.000          0.463          0.235          0.378          0.418          0.306          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1318.663          1.000          0.000          0.000          0.000          0.000          0.000      62478.637          0.006        175.231         17.029        978.511          0.031          0.028          0.024          0.014          0.010          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.439          3.326          0.000          0.000          0.207          0.629          1.000        571.279          0.550          0.837          0.439          0.000          7.092        129.163          0.000          0.047       3261.489          1.000
     21/08/1891            233          0.464        416.721        748.316          1.000          0.998          0.000          0.000          1.105          0.436          0.478          0.382          0.300          0.251          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1351.006          1.000          0.000          0.000          0.000          0.000          0.000      62498.199          0.000        193.177         16.835        327.014          0.046          0.020          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.390          3.465          0.000          0.000          0.050          0.340          1.000        451.240          0.350          0.390          0.794          0.000         17.858        161.506          1.000          0.043       1165.251          1.000
     21/08/1892            234          0.574        720.693        925.707          0.199          1.000          0.000          0.000          0.502          0.213          0.351          0.380          0.300          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1298.023          1.000          0.000          0.000          0.000          0.000          0.000      62494.609          0.005        207.020         25.347        319.920          0.053          0.041          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.105          3.683          0.000          0.000          0.084          0.444          1.000        501.264          0.625          0.529          0.105          0.000         27.118        108.523          0.000          0.045       1654.172          1.000
     21/08/1893            233          0.659        622.887       1062.859          1.000          1.000          2.600          0.000          0.634          0.321          0.435          0.405          0.301          0.251          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1334.488          1.000          0.000          0.000          0.000          0.000          0.000      62495.973          0.000        208.397         32.851        636.802          0.036          0.026          0.016          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.556          3.434          0.000          0.000          0.094          0.462          1.000        487.526          0.950          0.556          0.615          0.000          7.568        144.988          0.213          0.044       1686.066          1.000
     21/08/1894            233          0.537        582.954        865.972          0.390          1.000         11.500          0.000          0.342          0.220          0.375          0.380          0.301          0.252          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1303.404          1.000          0.000          0.000          0.000          0.000          0.000      62496.473          0.003        228.025         34.258        411.097          0.054          0.052          0.003          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.169          3.590          0.000          0.000          0.073          0.361          1.000        481.465          0.800          0.434          0.169          0.000         17.942        113.904          0.000          0.044       1454.500          1.000
     21/08/1895            233          0.094        124.737        151.809          0.002          1.000          0.000          0.000          3.290          0.190          0.320          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1289.510          1.000          0.000          0.000          0.000          0.000          0.000      40202.105          0.001        251.302         39.173        160.396          0.019          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.595          0.000          0.000          0.003          0.076          1.000        359.197          0.650          0.079          0.000          0.000         90.673        100.010          0.000          0.039        297.214          1.000
     21/08/1896            234          0.245        263.893        394.788          1.000          0.994          0.000          0.000          0.573          0.362          0.413          0.380          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1329.529          1.000          0.000          0.000          0.000          0.000          0.000      62499.277          0.000        272.049         42.463        300.976          0.036          0.015          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.200          3.667          0.000          0.000          0.018          0.183          1.000        413.412          0.525          0.200          0.520          0.000         39.597        140.029          1.000          0.041        658.791          1.000
     21/08/1897            233          0.326        330.719        525.945          1.000          0.993          1.700          0.000          2.797          0.367          0.469          0.381          0.300          0.250          0.280          0.300          0.300          0.300          0.302          0.398          0.400       1338.799          1.000          0.000          0.000          0.000          0.000          0.000      62498.863          0.000        291.416         46.285        315.391          0.025          0.021          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.272          3.619          0.000          0.000          0.029          0.243          1.000        430.906          0.775          0.272          0.638          0.000         45.357        149.299          1.000          0.042        856.811          1.000
