ApsimVersion = 6.0
Title = Annie2020Low
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1961            147             91             56         25.555         11.911
           1962            149             91             58         24.555         11.457
           1963            143             91             52         25.248         14.905
           1964            144             92             52         25.767         14.348
           1965            143             91             52         27.117         12.627
           1966            144             91             53         25.979         13.471
           1967            143             91             52         24.996         14.859
           1968            144             92             52         27.008         13.117
           1969            143             91             52         26.875         13.125
           1970            147             91             56         25.600         11.517
           1971            148             91             57         25.735         11.129
           1972            148             92             56         25.096         11.970
           1973            141             91             50         28.666         12.774
           1974            143             91             52         26.119         14.123
           1975            146             91             55         26.511         11.235
           1976            145             92             53         25.764         13.248
           1977            142             91             51         26.669         14.323
           1978            145             91             54         25.494         13.066
           1979            145             91             54         26.163         12.403
           1980            141             92             49         28.073         14.192
           1981            144             91             53         26.198         13.103
           1982            146             91             55         26.296         11.552
           1983            143             91             52         25.125         14.955
           1984            147             92             55         25.349         12.354
           1985            143             91             52         26.100         13.627
           1986            139             91             48         28.110         15.259
           1987            141             91             50         26.430         15.146
           1988            143             92             51         25.514         15.308
           1989            140             91             49         25.727         16.694
           1990            142             91             51         25.531         14.959
