APSIM output file, version = 5.4
Title = Sample Rotation 1
           Date         cotton         wyield         cyield  wheat.biomass chickpea.biomass
            (?)     (bales/ha)        (kg/ha)        (kg/ha)        (kg/ha)          (kg/ha)
     22/05/1941          6.130          0.000          0.000          0.000            0.000
     11/10/1942          0.000        661.421          0.000       2911.302            0.000
     25/03/1944          4.509          0.000          0.000          0.000            0.000
     23/10/1945          0.000       2914.376          0.000       9287.533            0.000
     19/05/1947          6.940          0.000          0.000          0.000            0.000
     30/10/1947          0.000          0.000       1801.544          0.000         4636.630
     30/10/1948          0.000       1658.749          0.000       7038.446            0.000
     09/03/1950          2.837          0.000          0.000          0.000            0.000
     19/10/1950          0.000          0.000       1733.014          0.000         4423.342
