Summary_file = p70N200c_h.sum
Title = p70N200
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              75.873            469.425             41.862              2.997              2.172              2.061              1.355              1.328              1.315              1.309              1.303              1.293          0.000          0.054          5.848          0.362          0.323         15.551         37.691       1322.701         395.000              0.100              0.200              0.201              0.202              0.203              0.208              0.245              0.272              0.290              0.297        393.473         15.473          0.102          0.102                 0.447                 0.477                 0.448             43       5466.424      13974.211          1.307         16.838       1700.000        165.715              1.095              0.414              0.196              0.117              0.055              0.017              0.080              0.194              0.679              3.002         59.866         93.326              ?              ?              ?
      1953       108     18/04/1953        918.900              45.155            291.613             32.237              2.808              2.075              1.952              1.267              1.246              1.258              1.319              1.335              1.311          0.000          0.142          3.029          0.819          4.476        174.585         86.032       1322.887         396.260              0.222              0.275              0.282              0.284              0.273              0.257              0.277              0.292              0.298              0.300        474.076         86.076          0.049          0.049                 0.363                 0.360                 0.571             49       6143.531      15863.070          1.837         18.075       1700.000        166.314              1.372              0.432              0.260              0.211              0.107              0.057              0.067              0.075              0.123              0.326         86.650         25.133              ?              ?              ?
      1954        97     07/04/1954        668.500              47.449            181.234             34.419              2.907              2.218              2.180              1.491              1.450              1.418              1.364              1.313              1.282          0.000          0.207          4.247          0.815          5.729        273.889        126.548       1325.808         325.823              0.155              0.212              0.217              0.219              0.225              0.233              0.259              0.279              0.293              0.298        419.642         36.106          0.254          0.254                 0.384                 0.381                 0.986             36       6023.736      16894.426          1.856         19.083       1700.000        172.958              2.251              0.405              0.202              0.156              0.104              0.068              0.132              0.140              0.208              0.580        108.507         24.933              ?              ?              ?
      1955        93     03/04/1955       1006.700              83.454            420.975             32.789              2.830              2.186              2.145              1.443              1.416              1.392              1.347              1.293              1.258          0.000          0.232          5.887          1.231          6.589        323.327        157.465       1331.725         369.478              0.178              0.240              0.248              0.253              0.255              0.250              0.264              0.283              0.294              0.299        446.054         60.252          0.134          0.134                 0.388                 0.382                 0.985             33       6255.230      16361.746          2.316         18.018       1700.000        175.069              2.458              0.400              0.205              0.153              0.100              0.076              0.105              0.116              0.321              1.952        129.249         63.432              ?              ?              ?
      1956        97     06/04/1956       1000.800              99.818            302.027             33.968              2.892              2.192              2.194              1.481              1.456              1.415              1.352              1.294              1.258          0.000          0.198         25.961          1.180          4.696        239.267        164.584       1338.786         407.522              0.202              0.257              0.265              0.272              0.278              0.283              0.293              0.298              0.300              0.300        477.111         89.111          0.116          0.116                 0.369                 0.366                 1.000             39       6290.309      15951.810          2.534         19.835       1700.000        184.007              4.565              1.546              1.590              3.322              3.316              2.963              2.730              2.286              1.915              1.727        150.329         46.675              ?              ?              ?
      1957        94     04/04/1957       1059.500              76.630            396.889             43.640              2.908              2.168              2.162              1.432              1.420              1.381              1.334              1.277              1.234          0.000          0.255         42.932          1.222          4.825        224.550        170.509       1346.149         441.296              0.153              0.219              0.228              0.233              0.240              0.251              0.277              0.291              0.298              0.300        437.857         54.584          0.145          0.145                 0.388                 0.386                 0.981             35       5686.324      14194.860          1.814         17.864       1700.000        146.157              4.627              2.050              2.207              5.421              5.889              5.337              5.213              4.564              4.000              3.625        169.970         72.731              ?              ?              ?
      1958       101     11/04/1958        815.700              80.784            307.398             45.579              3.085              2.260              2.233              1.444              1.405              1.375              1.328              1.280              1.250          0.000          0.170         44.379          1.032          4.143        188.240        170.910       1353.034         348.444              0.207              0.202              0.202              0.203              0.205              0.212              0.250              0.277              0.292              0.298        408.387         20.387          0.164          0.164                 0.350                 0.355                 0.979             43       5553.309      14590.951          1.389         18.703       1700.000        166.922              7.345              1.857              1.926              4.951              5.288              4.729              5.131              4.787              4.364              4.003        193.528         73.658              ?              ?              ?
      1959       117     27/04/1959        797.300              34.243            294.979             49.467              3.136              2.283              2.244              1.465              1.427              1.398              1.342              1.278              1.243          0.000          0.210         59.855          1.102          6.448        257.127        196.578       1360.429         402.420              0.100              0.200              0.203              0.205              0.208              0.216              0.251              0.276              0.291              0.298        398.994         20.993          0.137          0.137                 0.361                 0.360                 0.542             56       3967.682      11208.883          0.890         16.460       1700.000        150.139             16.208              5.695              5.321              8.061              5.270              3.438              3.791              3.855              4.016              4.200        215.165         63.044              ?              ?              ?
      1960       106     15/04/1960        663.400              30.954            240.182             50.663              2.960              2.193              2.164              1.425              1.430              1.388              1.313              1.266              1.223          0.000          0.170         87.871          1.539          6.401        207.656        205.236       1367.679         314.074              0.285              0.252              0.217              0.215              0.213              0.221              0.255              0.278              0.292              0.298        429.764         41.764          0.082          0.082                 0.401                 0.418                 0.361             46       5618.105      12329.110          1.202         16.524       1700.000        140.847              8.385              5.895              5.287             13.891             14.248             11.566             10.458              8.040              5.896              4.205        235.184         83.965              ?              ?              ?
      1961        85     26/03/1961        989.300              51.260            265.983             43.070              3.016              2.220              2.226              1.426              1.375              1.314              1.263              1.236              1.203          0.000          0.083         76.865          1.837          2.670         90.500        168.329       1376.375         396.273              0.271              0.287              0.290              0.291              0.291              0.294              0.298              0.300              0.300              0.300        499.415        111.416          0.000          0.000                 0.383                 0.380                 0.405             29       5741.462      15716.469          2.674         19.528       1700.000        181.422              8.279              5.365              5.346             11.346             11.639             10.119              8.339              6.683              5.401              4.349        254.815         89.473              ?              ?              ?
