Summary_file = P40N150c_h.sum
Title = P40N150
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              74.829            472.636             23.472              2.828              2.113              2.018              1.348              1.339              1.324              1.315              1.307              1.296          0.000          0.054          3.533          0.358          0.320         15.447         37.714       1322.717         399.361              0.102              0.200              0.210              0.214              0.219              0.228              0.259              0.281              0.293              0.299        409.785         31.589          0.106          0.106                 0.477                 0.457                 0.410             43       5289.676      12310.569          1.088         13.060       1700.000        152.813              0.946              0.388              0.177              0.071              0.022              0.001              0.006              0.041              0.240              1.643         50.891         68.677              ?              ?              ?
      1953       108     18/04/1953        918.900              46.651            299.761             17.388              2.596              2.047              1.939              1.287              1.269              1.269              1.302              1.334              1.311          0.000          0.137          2.371          0.782          3.544        158.915         75.732       1321.723         398.604              0.233              0.284              0.292              0.297              0.299              0.300              0.300              0.300              0.300              0.301        500.443        112.443          0.076          0.076                 0.363                 0.340                 0.344             49       6135.230      13319.897          1.367         13.393       1700.000        165.878              1.205              0.400              0.227              0.176              0.085              0.039              0.039              0.034              0.038              0.128         64.763         13.524              ?              ?              ?
      1954        97     07/04/1954        668.500              47.897            182.386             19.427              2.715              2.131              2.117              1.462              1.426              1.395              1.348              1.309              1.283          0.000          0.169          3.249          0.795          4.344        204.653        103.724       1322.410         329.919              0.167              0.235              0.246              0.252              0.258              0.265              0.275              0.286              0.295              0.299        450.795         66.053          0.138          0.138                 0.384                 0.364                 0.517             36       6015.295      14665.908          1.351         15.029       1700.000        172.461              1.979              0.368              0.177              0.123              0.078              0.049              0.067              0.060              0.070              0.278         75.942         13.959              ?              ?              ?
      1955        92     02/04/1955       1006.700              84.738            420.959             18.460              2.644              2.110              2.101              1.426              1.419              1.388              1.339              1.290              1.256          0.000          0.201          4.181          0.978          5.044        255.068        126.700       1325.352         369.385              0.192              0.256              0.266              0.273              0.278              0.282              0.287              0.289              0.296              0.299        472.406         85.207          0.129          0.129                 0.386                 0.353                 0.506             32       6159.696      14580.562          1.631         13.941       1700.000        175.434              2.161              0.340              0.164              0.114              0.070              0.048              0.062              0.069              0.132              1.021         86.618         44.332              ?              ?              ?
      1956        97     06/04/1956       1000.800              96.761            315.314             19.063              2.619              2.077              2.099              1.437              1.442              1.403              1.351              1.297              1.257          0.000          0.180          3.428          0.987          4.034        226.873        134.530       1329.048         414.001              0.201              0.259              0.268              0.275              0.280              0.285              0.294              0.298              0.300              0.300        479.340         91.340          0.260          0.260                 0.368                 0.364                 0.792             39       6061.339      14711.432          1.760         16.581       1700.000        165.669              2.268              0.316              0.168              0.149              0.092              0.060              0.063              0.058              0.068              0.186         97.559         24.841              ?              ?              ?
      1957        94     04/04/1957       1059.500              75.318            407.146             22.790              2.665              2.068              2.080              1.396              1.407              1.368              1.325              1.268              1.230          0.000          0.195          4.876          1.010          4.916        265.163        144.766       1333.208         445.961              0.155              0.224              0.234              0.240              0.248              0.258              0.280              0.293              0.298              0.300        444.545         61.095          0.386          0.386                 0.388                 0.386                 0.948             36       5493.370      12958.021          1.400         15.657       1700.000        135.135              2.362              0.407              0.222              0.209              0.143              0.093              0.130              0.180              0.323              0.807        107.464         38.999              ?              ?              ?
      1958       101     11/04/1958        815.700              80.689            308.496             24.134              2.840              2.161              2.151              1.410              1.400              1.368              1.320              1.275              1.247          0.000          0.157          6.862          0.841          4.086        207.328        148.106       1337.672         349.571              0.216              0.206              0.208              0.210              0.216              0.226              0.260              0.283              0.294              0.299        420.679         32.679          0.237          0.237                 0.358                 0.355                 0.713             43       5586.477      13681.641          1.209         16.612       1700.000        166.017              4.241              0.459              0.228              0.213              0.140              0.094              0.134              0.159              0.306              0.888        119.338         38.095              ?              ?              ?
      1959       117     27/04/1959        797.300              34.128            297.011             26.718              2.941              2.206              2.181              1.421              1.391              1.372              1.333              1.274              1.241          0.000          0.205         15.103          0.965          6.417        267.405        172.917       1343.304         405.328              0.100              0.200              0.206              0.208              0.213              0.223              0.255              0.279              0.292              0.298        404.129         26.125          0.133          0.133                 0.362                 0.360                 0.332             57       3619.305      10668.377          0.834         15.354       1700.000        149.059              7.217              1.077              0.746              0.864              0.512              0.317              0.500              0.621              1.026              2.223        130.321         46.656              ?              ?              ?
      1960       106     15/04/1960        663.400              30.907            241.685             28.828              2.808              2.154              2.151              1.412              1.409              1.382              1.315              1.269              1.226          0.000          0.163         49.145          1.494          6.157        209.200        187.081       1349.728         314.902              0.290              0.288              0.251              0.248              0.237              0.244              0.267              0.285              0.295              0.299        457.739         69.739          0.087          0.087                 0.401                 0.418                 0.335             46       4477.334      10525.808          0.969         14.998       1700.000        137.013              7.206              5.402              3.643              6.862              5.919              4.568              4.723              4.160              3.588              3.075        140.698         61.923              ?              ?              ?
      1961        85     26/03/1961        989.300              51.756            289.704             24.678              2.742              2.107              2.132              1.382              1.360              1.301              1.260              1.235              1.201          0.000          0.074         27.376          1.713          2.493         83.616        156.002       1357.423         397.754              0.271              0.287              0.290              0.291              0.291              0.294              0.298              0.300              0.300              0.300        499.428        111.428          0.000          0.000                 0.383                 0.380                 0.397             29       5743.459      15691.586          2.074         19.480       1700.000        181.287              6.730              3.437              2.638              3.232              2.206              1.522              1.511              1.675              2.001              2.422        151.215         61.816              ?              ?              ?
