Summary_file = p70N125c_h.sum
Title = p70N125
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              76.036            469.473             42.245              3.002              2.177              2.057              1.367              1.348              1.331              1.318              1.312              1.300          0.000          0.054          3.335          0.357          0.292         15.410         37.655       1322.677         395.563              0.116              0.202              0.212              0.216              0.223              0.233              0.263              0.283              0.294              0.299        415.209         35.651          0.102          0.102                 0.477                 0.404                 0.450             43       5657.762      12378.455          1.267         10.472       1700.000        163.599              0.924              0.394              0.177              0.065              0.017              0.001              0.001              0.015              0.178              1.564         59.982         74.874              ?              ?              ?
      1953       108     18/04/1953        918.900              47.395            315.145             32.892              2.781              2.117              1.983              1.292              1.251              1.251              1.280              1.333              1.311          0.000          0.189          2.091          0.689          3.174        219.126         71.121       1321.121         398.684              0.230              0.282              0.290              0.295              0.297              0.298              0.300              0.300              0.300              0.300        498.111        110.111          0.695          0.695                 0.363                 0.305                 0.535             49       5660.566      12282.225          1.905         10.279       1700.000        163.841              1.036              0.378              0.213              0.163              0.080              0.037              0.035              0.034              0.031              0.084         87.657         13.004              ?              ?              ?
      1954        97     07/04/1954        668.500              48.377            190.468             34.896              2.875              2.192              2.159              1.463              1.409              1.381              1.347              1.306              1.284          0.000          0.223          2.851          0.753          3.877        263.742         96.592       1321.056         329.733              0.174              0.238              0.249              0.255              0.263              0.271              0.286              0.295              0.299              0.300        460.110         74.674          0.721          0.721                 0.384                 0.331                 1.000             36       5828.562      13615.564          1.962         11.889       1700.000        171.889              1.730              0.358              0.164              0.113              0.073              0.045              0.055              0.048              0.051              0.214        110.260         15.102              ?              ?              ?
      1955        92     02/04/1955       1006.700              85.149            435.226             35.171              2.908              2.210              2.173              1.446              1.412              1.384              1.335              1.287              1.257          0.000          0.286          3.664          0.821          5.162        359.075        114.512       1322.649         370.304              0.196              0.260              0.271              0.278              0.284              0.289              0.296              0.299              0.300              0.300        481.681         94.081          0.568          0.568                 0.386                 0.326                 1.000             32       5384.750      12705.703          2.189         10.893       1700.000        170.698              1.847              0.320              0.152              0.105              0.066              0.045              0.053              0.056              0.108              0.911        132.053         54.438              ?              ?              ?
      1956        97     06/04/1956       1000.800             101.070            322.757             34.875              2.883              2.179              2.171              1.456              1.428              1.393              1.345              1.292              1.256          0.000          0.346          3.166          0.853          4.031        276.054        122.214       1324.947         410.338              0.207              0.263              0.273              0.280              0.285              0.289              0.296              0.299              0.300              0.300        483.923         95.923          0.343          0.343                 0.368                 0.338                 1.000             39       6138.982      14307.066          2.445         13.593       1700.000        183.050              2.148              0.299              0.156              0.135              0.085              0.056              0.058              0.051              0.049              0.128        154.263         24.341              ?              ?              ?
      1957        94     04/04/1957       1059.500              76.457            405.277             42.542              2.884              2.156              2.151              1.423              1.408              1.369              1.322              1.270              1.233          0.000          0.483          3.254          0.948          5.443        349.604        132.962       1327.845         443.159              0.159              0.232              0.244              0.251              0.259              0.268              0.285              0.295              0.299              0.300        454.620         70.681          0.702          0.702                 0.388                 0.364                 0.981             35       5677.188      12938.246          1.800         12.838       1700.000        145.793              1.862              0.366              0.182              0.143              0.096              0.066              0.071              0.071              0.089              0.308        174.011         38.319              ?              ?              ?
      1958       101     11/04/1958        815.700              80.468            310.155             43.982              3.071              2.247              2.214              1.447              1.418              1.383              1.333              1.283              1.251          0.000          0.295          4.453          0.788          4.518        287.109        139.222       1331.334         350.256              0.213              0.206              0.207              0.209              0.214              0.223              0.259              0.282              0.294              0.299        418.377         30.377          0.775          0.775                 0.358                 0.327                 0.980             43       5736.378      13947.667          1.406         13.433       1700.000        166.549              2.824              0.394              0.179              0.136              0.092              0.063              0.073              0.068              0.118              0.505        197.185         34.419              ?              ?              ?
      1959       117     27/04/1959        797.300              33.754            296.161             47.997              3.118              2.271              2.228              1.432              1.388              1.369              1.337              1.278              1.242          0.000          0.397          5.707          0.765          7.554        459.911        160.899       1335.671         402.980              0.100              0.200              0.205              0.207              0.211              0.220              0.254              0.278              0.292              0.298        402.632         24.629          0.998          0.998                 0.362                 0.346                 0.549             56       4000.304      10917.213          0.888         11.938       1700.000        149.733              2.993              0.385              0.199              0.165              0.111              0.072              0.106              0.117              0.244              1.314        218.497         45.683              ?              ?              ?
      1960       106     15/04/1960        663.400              30.607            241.048             48.186              2.944              2.187              2.116              1.350              1.360              1.359              1.311              1.265              1.222          0.000          0.293          5.818          1.200          7.259        346.946        175.507       1340.757         314.117              0.285              0.257              0.222              0.220              0.216              0.224              0.257              0.279              0.292              0.298        433.753         45.753          0.312          0.312                 0.401                 0.414                 0.358             46       5492.455      12074.700          1.171         13.917       1700.000        140.139              2.767              0.850              0.242              0.212              0.148              0.097              0.129              0.131              0.263              0.977        237.763         41.905              ?              ?              ?
      1961        86     27/03/1961        990.100              50.874            269.144             40.677              2.987              2.205              2.214              1.418              1.378              1.315              1.264              1.237              1.202          0.000          0.132          5.038          1.627          3.052        144.287        150.036       1347.027         397.424              0.266              0.283              0.287              0.289              0.290              0.292              0.298              0.300              0.300              0.300        497.242        109.242          0.015          0.015                 0.384                 0.380                 0.402             29       5838.392      15690.481          2.690         17.446       1700.000        179.636              2.873              0.487              0.246              0.192              0.102              0.060              0.053              0.061              0.173              0.791        256.438         50.979              ?              ?              ?
      1962        97     07/04/1962        868.500              42.202            332.000             46.334              3.043              2.214              2.229              1.403              1.359              1.315              1.266              1.226              1.187          0.000          0.355          5.110          1.147          4.218        206.759        158.293       1353.369         403.542              0.244              0.260              0.260              0.223              0.205              0.209              0.244              0.271              0.289              0.297        423.989         35.989          0.260          0.260                 0.359                 0.365                 0.992             39       5356.487      13894.465          1.707         14.060       1700.000        156.394              2.831              0.481              0.247              0.197              0.120              0.097              0.129              0.119              0.195              0.693        274.029         27.041              ?              ?              ?
      1963        95     05/04/1963       1055.400             180.746            417.838             45.273              2.978              2.200              2.181              1.271              1.285              1.264              1.241              1.197              1.172          0.000          0.262          4.603          1.207          4.876        255.983        166.300       1358.994         362.614              0.209              0.260              0.251              0.233              0.239              0.250              0.274              0.290              0.297              0.300        448.724         60.724          0.232          0.232                 0.386                 0.353                 0.993             33       5816.861      13806.732          1.985         13.322       1700.000        160.732              2.945              0.573              0.232              0.184              0.133              0.077              0.072              0.050              0.057              0.282        288.014         43.292              ?              ?              ?
      1964       102     11/04/1964        670.000              46.287            183.461             52.439              3.090              2.234              2.243              1.391              1.347              1.317              1.261              1.204              1.168          0.000          0.413          4.583          1.036          8.374        483.672        191.372       1363.943         319.851              0.100              0.200              0.202              0.203              0.205              0.213              0.250              0.276              0.291              0.298        397.128         19.128          4.096          4.096                 0.342                 0.344                 0.926             47       3665.788      10545.940          0.840         12.089       1700.000        157.802              2.610              0.423              0.248              0.306              0.193              0.096              0.110              0.105              0.123              0.368        302.992         17.548              ?              ?              ?
      1965       106     16/04/1965        903.200              89.987            468.016             52.410              3.030              2.127              2.080              1.214              1.216              1.234              1.243              1.185              1.157          0.000          0.297          9.520          1.220          8.013        344.751        198.908       1369.573         330.590              0.100              0.200              0.200              0.200              0.200              0.202              0.235              0.262              0.284              0.295        385.551          7.551          0.112          0.112                 0.295                 0.383                 0.407             46       3011.673       9790.428          1.046         10.607       1700.000        174.137              4.000              0.511              0.259              0.444              0.296              0.141              0.176              0.173              0.416              3.103        317.490         78.824              ?              ?              ?
      1966       104     14/04/1966        830.000              52.314            285.452             45.248              2.921              2.139              2.095              1.300              1.290              1.259              1.233              1.220              1.177          0.000          0.199          5.203          2.071          5.969        234.547        192.309       1375.481         316.415              0.251              0.286              0.292              0.296              0.297              0.294              0.275              0.288              0.297              0.299        491.969        103.969          0.069          0.069                 0.380                 0.409                 0.990             43       5665.023      14621.419          2.166         16.441       1700.000        143.734              2.487              0.555              0.391              0.411              0.229              0.139              0.140              0.131              0.200              0.520        331.576         28.072              ?              ?              ?
