APSIM output file, version = 5.4
Title = P40N125
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1976            103     12/04/1976        733.700              39.733            197.649         22.335          2.913          2.107          1.964          1.138          1.131          1.120          1.114          1.114          1.111          0.000          0.040          1.916          0.501          0.221         11.654         34.740       1320.490         349.256          0.284          0.297          0.297          0.286          0.282          0.286          0.290          0.284          0.293          0.298        491.470        103.470          0.047          0.047                 0.472                 0.427                 1.000             43       6233.455      14546.206          2.001         13.033       1700.000        196.780          0.619          0.350          0.142          0.049          0.010          0.001          0.001          0.011          0.099          0.634         43.957         30.367              ?              ?              ?
           1977            112     22/04/1977       1122.500             149.159            464.527         20.654          2.909          2.166          2.072          1.126          1.009          1.026          1.052          1.120          1.135          0.000          0.225          2.247          0.673          4.477        267.702         76.694       1318.065         414.732          0.176          0.252          0.262          0.268          0.274          0.280          0.291          0.297          0.299          0.300        470.661         85.055          0.329          0.329                 0.360                 0.312                 0.988             51       5776.009      11984.827          1.611         10.477       1700.000        137.738          1.117          0.324          0.144          0.098          0.067          0.041          0.048          0.056          0.080          0.273         49.543         34.643              ?              ?              ?
           1978             97     07/04/1978       1159.600             106.385            511.592         20.298          2.877          2.146          2.135          1.298          1.277          1.239          1.192          1.143          1.114          0.000          0.150          2.706          0.944          2.690        176.898         88.754       1316.696         385.036          0.240          0.284          0.290          0.291          0.279          0.281          0.291          0.297          0.299          0.300        489.129        101.129          0.274          0.274                 0.371                 0.334                 1.000             40       6406.901      13614.240          1.994         12.544       1700.000        170.604          1.575          0.435          0.188          0.126          0.072          0.046          0.048          0.042          0.047          0.127         54.806         43.802              ?              ?              ?
           1979            108     18/04/1979        678.800              17.046            179.832         25.754          2.930          2.164          2.169          1.312          1.250          1.223          1.188          1.146          1.112          0.000          0.283          3.624          0.642          5.571        354.128        117.539       1318.370         382.349          0.187          0.217          0.219          0.213          0.208          0.208          0.242          0.269          0.288          0.297        407.277         20.577          1.548          1.548                 0.351                 0.326                 0.968             49       4660.759      12768.439          1.247         11.952       1700.000        147.610          1.773          0.414          0.188          0.153          0.114          0.087          0.111          0.108          0.138          0.537         59.748         17.384              ?              ?              ?
           1980             82     22/03/1980        661.100              20.927            251.281         24.930          2.785          2.089          2.023          1.085          1.075          1.102          1.157          1.125          1.091          0.000          0.319          4.626          0.968          7.166        447.576        141.042       1321.688         307.575          0.174          0.235          0.243          0.244          0.213          0.207          0.242          0.270          0.288          0.297        417.384         31.980          1.107          1.107                 0.370                 0.350                 0.974             27       5441.864      12264.809          1.362         11.364       1700.000        150.760          1.953          0.430          0.225          0.192          0.229          0.130          0.158          0.150          0.232          0.928         64.341         31.274              ?              ?              ?
           1981             87     28/03/1981       1027.800             119.024            391.561         22.639          2.824          2.134          2.159          1.311          1.273          1.229          1.198          1.133          1.099          0.000          0.252          3.786          1.227          5.447        342.510        150.258       1325.894         387.966          0.187          0.257          0.266          0.272          0.278          0.283          0.293          0.298          0.300          0.300        475.972         89.267          0.420          0.420                 0.358                 0.350                 0.993             29       5353.676      13209.183          1.837         13.694       1700.000        150.681          2.498          0.396          0.193          0.159          0.119          0.090          0.091          0.074          0.059          0.107         69.134         15.191              ?              ?              ?
           1982             92     02/04/1982        781.000              66.504            211.365         28.046          2.953          2.186          2.182          1.352          1.331          1.283          1.188          1.129          1.100          0.000          0.215          4.435          0.979          4.879        289.695        156.339       1330.846         339.145          0.146          0.210          0.218          0.220          0.224          0.230          0.262          0.283          0.295          0.299        419.861         37.235          1.184          1.184                 0.348                 0.333                 0.980             35       5737.535      14168.234          1.339         14.366       1700.000        168.024          2.654          0.406          0.213          0.158          0.118          0.087          0.100          0.072          0.120          0.506         73.920         23.531              ?              ?              ?
           1983             98     08/04/1983        492.900               7.151             95.399         31.166          3.102          2.263          2.279          1.355          1.306          1.277          1.202          1.138          1.105          0.000          0.227         24.693          1.086          5.625        317.600        169.833       1336.365         319.022          0.114          0.200          0.207          0.206          0.204          0.209          0.245          0.272          0.289          0.297        396.548         17.137          5.594          5.594                 0.320                 0.323                 0.935             45       4472.384       9517.280          0.881         13.050       1700.000        109.926          9.985          3.750          3.030          3.470          1.448          0.583          0.607          0.541          0.554          0.725         79.766          9.890              ?              ?              ?
           1984            111     20/04/1984        627.200              17.512            124.280         29.179          2.838          2.135          2.141          1.333          1.328          1.285          1.209          1.131          1.109          0.000          0.100         18.346          1.288          2.747        134.268        148.047       1340.196         339.374          0.160          0.225          0.234          0.237          0.241          0.236          0.252          0.275          0.291          0.298        427.727         43.732          0.033          0.033                 0.354                 0.352                 0.976             53       5798.174      13876.527          1.698         17.164       1700.000        148.203          6.835          2.128          1.673          2.276          1.406          0.822          0.920          0.728          0.670          0.890         86.240         20.999              ?              ?              ?
           1985             95     05/04/1985       1049.100              56.267            443.959         24.958          2.842          2.146          2.184          1.342          1.303          1.245          1.160          1.128          1.100          0.000          0.130          5.387          1.223          3.897        179.281        154.682       1345.294         380.951          0.195          0.259          0.268          0.273          0.278          0.283          0.293          0.298          0.300          0.300        477.172         89.716          0.038          0.038                 0.374                 0.334                 0.991             38       6545.348      15050.480          1.750         13.838       1700.000        183.494          3.152          0.364          0.172          0.148          0.095          0.057          0.062          0.053          0.181          1.102         90.996         64.248              ?              ?              ?
