Summary_file = p0N13c_h.sum
Title = p0N13
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1952            104     13/04/1952       1000.300              77.664            495.878          3.936          2.576          2.018          1.938          1.347          1.369          1.354          1.340          1.327          1.314          0.000          0.046          1.990          0.401          0.231         13.768         37.896       1322.856         429.963          0.152          0.239          0.259          0.273          0.282          0.288          0.294          0.299          0.300          0.300        472.082         88.864          0.148          0.148                 0.481                 0.372                 0.297             45       1115.530       3703.684          0.263          2.906       1700.000         57.111          1.058          0.474          0.176          0.069          0.025          0.004          0.006          0.009          0.020          0.147         39.921         12.676              ?              ?              ?
           1953            109     19/04/1953        918.900              40.259            391.269          3.084          2.390          1.967          1.935          1.347          1.349          1.347          1.335          1.323          1.310          0.000          0.074          1.588          0.433          1.339         76.508         47.275       1318.558         458.084          0.217          0.283          0.292          0.299          0.300          0.300          0.300          0.300          0.300          0.301        499.265        111.265          0.103          0.103                 0.367                 0.298                 0.257             50       1175.628       3386.225          0.270          2.920       1700.000         50.502          0.848          0.322          0.164          0.109          0.047          0.017          0.013          0.011          0.014          0.042         39.245          5.036              ?              ?              ?
           1954            100     10/04/1954        668.500              34.463            280.019          3.382          2.396          1.953          1.929          1.331          1.354          1.330          1.313          1.301          1.288          0.000          0.057          2.036          0.402          1.270         62.839         51.726       1314.218         363.363          0.202          0.265          0.277          0.288          0.295          0.299          0.300          0.300          0.300          0.300        490.728        102.728          0.094          0.094                 0.390                 0.353                 0.277             39       1150.422       3383.099          0.268          3.327       1700.000         51.035          1.316          0.347          0.145          0.078          0.037          0.013          0.011          0.010          0.016          0.062         38.511          3.989              ?              ?              ?
           1955             96     06/04/1955       1006.700              82.915            484.681          3.860          2.327          1.928          1.913          1.288          1.315          1.293          1.279          1.269          1.258          0.000          0.042          1.735          0.446          1.065         46.282         51.368       1309.071         430.160          0.191          0.269          0.281          0.291          0.297          0.300          0.300          0.300          0.300          0.300        491.480        104.354          0.011          0.011                 0.396                 0.338                 0.310             35       1324.327       3651.190          0.301          3.290       1700.000         55.702          1.079          0.269          0.121          0.064          0.028          0.009          0.007          0.008          0.016          0.134         38.078         12.664              ?              ?              ?
           1956            102     11/04/1956       1005.400              67.670            442.182          4.033          2.318          1.918          1.917          1.298          1.320          1.298          1.282          1.272          1.260          0.000          0.036          1.833          0.430          0.884         38.918         51.998       1304.034         471.250          0.197          0.272          0.283          0.292          0.298          0.300          0.300          0.300          0.300          0.300        493.223        105.522          0.014          0.014                 0.380                 0.350                 0.292             45       1359.753       3775.083          0.314          3.875       1700.000         59.740          1.112          0.325          0.150          0.097          0.049          0.019          0.016          0.013          0.016          0.036         37.742          7.598              ?              ?              ?
           1957             97     07/04/1957       1059.200              61.616            494.252          3.797          2.376          1.918          1.911          1.268          1.296          1.270          1.254          1.244          1.235          0.000          0.037          1.684          0.445          1.116         43.764         53.721       1299.288         484.914          0.187          0.264          0.278          0.289          0.296          0.300          0.300          0.300          0.300          0.300        489.840        103.137          0.024          0.024                 0.399                 0.365                 0.318             39       1209.328       3310.927          0.267          3.351       1700.000         50.075          1.068          0.289          0.121          0.070          0.036          0.015          0.012          0.011          0.015          0.047         37.452          9.693              ?              ?              ?
           1958            102     12/04/1958        811.400              67.192            351.512          4.388          2.471          1.975          1.950          1.286          1.305          1.279          1.262          1.252          1.241          0.000          0.025          3.261          0.563          0.690         26.815         50.875       1293.692         389.250          0.234          0.264          0.272          0.281          0.289          0.295          0.299          0.300          0.300          0.300        489.740        101.740          0.025          0.025                 0.362                 0.341                 0.249             44       1169.853       3611.173          0.274          3.944       1700.000         55.380          2.070          0.535          0.217          0.125          0.058          0.021          0.015          0.015          0.036          0.168         37.236         11.917              ?              ?              ?
           1959            118     28/04/1959        797.300              36.051            335.323          4.290          2.594          2.036          1.975          1.290          1.301          1.279          1.264          1.255          1.244          0.000          0.027          2.561          0.488          0.820         30.330         56.299       1290.261         425.906          0.148          0.231          0.252          0.265          0.275          0.282          0.289          0.296          0.300          0.300        464.599         81.791          0.027          0.027                 0.365                 0.334                 0.251             58        899.272       3509.673          0.224          3.569       1700.000         56.772          1.488          0.321          0.156          0.075          0.032          0.009          0.009          0.012          0.045          0.414         37.153         15.708              ?              ?              ?
           1960            100     09/04/1960        663.400              31.811            291.593          3.494          2.408          1.937          1.920          1.246          1.261          1.244          1.231          1.223          1.214          0.000          0.045          1.960          0.440          1.528         57.540         61.481       1287.585         330.666          0.186          0.266          0.280          0.290          0.297          0.300          0.300          0.300          0.300          0.300        490.686        104.103          0.213          0.213                 0.412                 0.378                 0.244             39       1101.904       3472.108          0.254          3.532       1700.000         52.961          1.289          0.297          0.126          0.072          0.035          0.014          0.009          0.009          0.018          0.091         36.799          5.748              ?              ?              ?
           1961             87     28/03/1961        991.100              42.288            447.631          4.448          2.319          1.891          1.900          1.218          1.246          1.220          1.205          1.197          1.189          0.000          0.027          3.962          0.649          0.844         31.295         55.888       1282.627         461.997          0.231          0.285          0.293          0.299          0.300          0.300          0.300          0.300          0.300          0.300        500.784        112.784          0.000          0.000                 0.380                 0.350                 0.264             30       1508.115       3984.136          0.337          4.165       1700.000         60.097          2.342          0.703          0.370          0.260          0.111          0.043          0.023          0.016          0.021          0.072         36.517          9.774              ?              ?              ?
