Summary_file = p20N13c_h.sum
Title = p20N13
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              73.877            509.904             14.911              2.855              2.122              2.013              1.368              1.365              1.349              1.336              1.324              1.310          0.000          0.049          1.872          0.399          0.199         13.397         37.711       1322.729         409.869              0.149              0.234              0.253              0.265              0.275              0.282              0.291              0.297              0.300              0.300        465.584         82.703          0.121          0.121                 0.477                 0.291                 0.461             43       1165.784       4923.901          0.524          2.871       1700.000         80.390              1.026              0.463              0.179              0.064              0.023              0.003              0.004              0.008              0.016              0.087         45.540         10.656              ?              ?              ?
      1953       108     18/04/1953        918.900              40.759            401.951             13.694              2.794              2.139              2.068              1.373              1.328              1.325              1.334              1.322              1.308          0.000          0.275          1.363          0.422          3.046        263.423         48.758       1318.397         433.086              0.220              0.284              0.292              0.298              0.299              0.300              0.300              0.300              0.301              0.301        499.401        111.401          1.158          1.158                 0.363                 0.204                 1.000             49        591.431       4194.187          0.519          2.368       1700.000         66.265              0.625              0.308              0.163              0.114              0.053              0.023              0.019              0.012              0.014              0.032         53.306          3.673              ?              ?              ?
      1954        97     07/04/1954        668.500              35.913            289.245             14.099              2.771              2.112              2.058              1.385              1.355              1.338              1.308              1.295              1.282          0.000          0.601          1.504          0.392          4.176        336.627         59.689       1314.617         341.617              0.200              0.259              0.270              0.280              0.287              0.292              0.297              0.300              0.300              0.300        483.827         95.832          0.850          0.850                 0.384                 0.218                 0.998             36        708.940       4779.886          0.580          2.639       1700.000         75.387              0.923              0.278              0.112              0.065              0.035              0.015              0.014              0.008              0.012              0.042         59.937          2.341              ?              ?              ?
      1955        92     02/04/1955       1006.700              80.260            502.785             15.554              2.914              2.170              2.103              1.362              1.310              1.294              1.274              1.262              1.252          0.000          0.742          1.523          0.451          4.765        386.857         68.296       1311.355         410.151              0.196              0.267              0.278              0.287              0.292              0.296              0.299              0.300              0.300              0.300        488.930        101.379          0.688          0.688                 0.386                 0.221                 1.000             32        496.795       4351.788          0.497          2.447       1700.000         64.426              0.902              0.261              0.120              0.072              0.039              0.019              0.016              0.009              0.013              0.071         66.530          7.654              ?              ?              ?
      1956        97     06/04/1956       1000.800              78.447            442.639             14.613              2.745              2.096              2.057              1.356              1.332              1.303              1.275              1.264              1.253          0.000          0.643          1.616          0.466          4.167        325.724         73.728       1308.279         435.326              0.203              0.273              0.283              0.291              0.295              0.298              0.299              0.300              0.300              0.300        492.674        104.674          0.295          0.295                 0.368                 0.221                 1.000             39       1023.391       5192.611          0.686          3.228       1700.000         83.728              1.063              0.236              0.112              0.080              0.043              0.021              0.016              0.011              0.012              0.022         73.401          4.306              ?              ?              ?
      1957        95     05/04/1957       1059.500              65.365            500.811             16.154              2.731              2.066              2.030              1.313              1.288              1.263              1.251              1.240              1.230          0.000          0.745          1.658          0.484          4.846        375.606         76.931       1305.382         464.360              0.176              0.254              0.268              0.278              0.285              0.290              0.296              0.299              0.300              0.300        479.514         93.877          1.021          1.021                 0.390                 0.249                 0.972             36        883.444       4716.295          0.553          2.836       1700.000         70.431              1.007              0.302              0.127              0.079              0.046              0.024              0.019              0.011              0.012              0.030         79.526          7.610              ?              ?              ?
      1958       101     11/04/1958        815.700              71.136            359.370             15.271              2.790              2.108              2.063              1.344              1.326              1.292              1.263              1.251              1.240          0.000          0.565          2.342          0.616          3.901        308.300         80.100       1303.127         367.614              0.235              0.251              0.257              0.266              0.274              0.282              0.291              0.297              0.300              0.300        476.226         88.226          1.277          1.277                 0.358                 0.221                 0.990             43       1292.445       5315.482          0.622          3.296       1700.000         84.867              1.575              0.378              0.144              0.084              0.042              0.022              0.018              0.009              0.015              0.056         86.223          6.730              ?              ?              ?
      1959       117     27/04/1959        797.300              34.470            319.904             16.146              2.820              2.134              2.066              1.339              1.317              1.291              1.264              1.253              1.242          0.000          0.548          2.524          0.459          4.387        353.600         83.977       1301.491         415.323              0.148              0.226              0.243              0.254              0.264              0.273              0.285              0.294              0.299              0.300        455.583         72.796          1.681          1.681                 0.362                 0.225                 0.975             57       1404.003       5137.964          0.508          3.112       1700.000         82.763              1.617              0.321              0.162              0.090              0.047              0.023              0.023              0.011              0.020              0.210         92.289         10.834              ?              ?              ?
      1960       104     13/04/1960        663.400              29.253            284.056             16.085              2.731              2.086              2.040              1.301              1.285              1.270              1.241              1.229              1.218          0.000          0.546          1.987          0.488          5.569        468.858         87.711       1300.455         328.513              0.173              0.253              0.268              0.279              0.286              0.292              0.297              0.300              0.300              0.300        480.130         94.871          4.259          4.259                 0.406                 0.268                 0.892             45       1326.056       4713.097          0.540          2.871       1700.000         75.942              1.242              0.329              0.133              0.081              0.045              0.027              0.024              0.013              0.016              0.078         97.345          4.658              ?              ?              ?
      1961        85     26/03/1961        989.300              46.390            444.809             15.395              2.772              2.088              2.066              1.288              1.263              1.230              1.207              1.197              1.188          0.000          0.365          2.025          0.783          3.659        307.714         81.164       1297.903         420.887              0.267              0.290              0.296              0.299              0.299              0.300              0.300              0.300              0.300              0.301        505.111        117.111          0.658          0.658                 0.380                 0.238                 1.000             29       1160.482       5722.983          0.791          3.790       1700.000         91.738              1.276              0.320              0.160              0.113              0.056              0.027              0.014              0.011              0.013              0.035        102.086          4.676              ?              ?              ?
