Summary_file = P40N0c_h.sum
Title = P40N0
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              75.138            513.802             29.595              3.093              2.212              2.077              1.390              1.366              1.350              1.337              1.324              1.310          0.000          0.046          1.919          0.384          0.183         12.359         37.691       1322.722         417.105              0.151              0.232              0.250              0.262              0.271              0.279              0.289              0.297              0.300              0.300        462.781         79.647          0.134          0.134                 0.477                 0.273                 0.477             43          0.000       3961.081          0.380          1.966       1700.000         57.081              1.074              0.466              0.185              0.070              0.026              0.005              0.007              0.009              0.015              0.062         51.901          6.582              ?              ?              ?
      1953       108     18/04/1953        918.900              38.332            404.413             29.146              3.224              2.302              2.182              1.426              1.349              1.345              1.333              1.320              1.308          0.000          0.673          1.174          0.372          4.173        297.674         49.344       1318.484         448.104              0.220              0.284              0.292              0.298              0.299              0.300              0.300              0.300              0.301              0.301        499.231        111.231          0.608          0.608                 0.363                 0.187                 1.000             49          0.000       2929.386          0.303          1.501       1700.000         42.650              0.490              0.290              0.154              0.106              0.048              0.018              0.012              0.010              0.012              0.033         69.899          3.217              ?              ?              ?
      1954        97     07/04/1954        668.500              33.152            297.476             29.977              3.150              2.255              2.144              1.404              1.346              1.323              1.306              1.294              1.282          0.000          0.688          1.410          0.385          4.162        291.745         58.054       1314.576         352.566              0.195              0.257              0.269              0.278              0.285              0.291              0.296              0.299              0.300              0.300        482.018         94.499          0.493          0.493                 0.384                 0.208                 1.000             36          0.000       3636.334          0.371          1.798       1700.000         50.830              0.861              0.279              0.112              0.058              0.027              0.007              0.007              0.007              0.011              0.039         85.730          2.005              ?              ?              ?
      1955        92     02/04/1955       1006.700              82.078            495.193             32.112              3.259              2.291              2.172              1.370              1.298              1.285              1.271              1.261              1.251          0.000          0.758          1.419          0.427          4.504        320.167         65.723       1311.200         432.031              0.193              0.267              0.278              0.287              0.292              0.296              0.299              0.300              0.300              0.300        488.620        101.280          0.428          0.428                 0.386                 0.193                 1.000             32          0.000       2984.048          0.289          1.638       1700.000         36.873              0.842              0.259              0.119              0.068              0.032              0.011              0.007              0.007              0.011              0.063        101.324          5.476              ?              ?              ?
      1956        97     06/04/1956       1000.800              72.825            448.884             31.423              3.155              2.240              2.140              1.358              1.307              1.286              1.274              1.264              1.253          0.000          0.496          1.529          0.461          3.078        212.326         67.411       1307.468         446.862              0.199              0.271              0.281              0.289              0.293              0.296              0.299              0.300              0.300              0.300        490.570        102.708          0.120          0.120                 0.368                 0.218                 1.000             39         17.952       4391.997          0.450          2.475       1700.000         62.155              1.015              0.235              0.110              0.073              0.034              0.011              0.010              0.010              0.011              0.019        117.356          3.320              ?              ?              ?
      1957        91     01/04/1957       1059.200              58.843            513.279             33.661              3.072              2.187              2.104              1.317              1.257              1.253              1.243              1.234              1.225          0.000          0.727          1.504          0.445          4.698        308.719         73.178       1304.251         475.500              0.184              0.259              0.272              0.281              0.288              0.292              0.297              0.299              0.300              0.300        483.012         96.629          0.552          0.552                 0.383                 0.213                 0.995             33          0.000       3202.221          0.314          1.739       1700.000         42.541              0.933              0.272              0.117              0.070              0.037              0.015              0.010              0.010              0.012              0.027        131.614          5.212              ?              ?              ?
      1958       101     11/04/1958        816.000              67.287            367.347             31.798              3.082              2.212              2.114              1.338              1.301              1.272              1.259              1.249              1.238          0.000          0.470          2.238          0.549          3.022        201.680         73.965       1301.418         375.663              0.228              0.247              0.254              0.263              0.272              0.280              0.290              0.297              0.300              0.300        473.059         85.059          0.432          0.432                 0.355                 0.207                 1.000             43        243.443       4558.872          0.492          2.469       1700.000         66.736              1.557              0.358              0.139              0.071              0.030              0.010              0.006              0.008              0.013              0.047        147.074          5.556              ?              ?              ?
      1959       116     26/04/1959        797.300              34.926            324.258             32.753              3.084              2.228              2.115              1.336              1.285              1.269              1.262              1.251              1.241          0.000          0.692          2.300          0.383          4.374        305.520         80.364       1299.609         417.779              0.159              0.229              0.245              0.255              0.265              0.274              0.286              0.295              0.299              0.300        458.233         74.330          1.137          1.137                 0.361                 0.203                 0.987             56          0.000       3995.791          0.379          1.984       1700.000         57.426              1.499              0.319              0.155              0.079              0.038              0.015              0.013              0.008              0.017              0.156        160.669          7.374              ?              ?              ?
      1960        92     01/04/1960        663.400              30.168            299.605             34.289              3.091              2.211              2.116              1.298              1.251              1.237              1.220              1.211              1.202          0.000          0.946          1.682          0.444          6.006        426.746         85.109       1298.370         320.891              0.190              0.266              0.278              0.287              0.292              0.295              0.299              0.300              0.300              0.300        487.791        100.827          2.399          2.399                 0.396                 0.213                 0.996             33          0.000       3587.697          0.364          1.878       1700.000         49.756              1.086              0.269              0.117              0.067              0.035              0.018              0.010              0.008              0.014              0.059        171.961          2.779              ?              ?              ?
      1961        85     26/03/1961        989.300              41.035            455.296             34.563              3.267              2.262              2.183              1.307              1.242              1.212              1.200              1.194              1.186          0.000          0.572          1.992          0.763          3.579        249.438         80.931       1295.916         438.763              0.259              0.288              0.294              0.297              0.298              0.299              0.300              0.300              0.300              0.300        503.088        115.088          0.190          0.190                 0.368                 0.222                 1.000             29         92.794       4644.032          0.483          2.825       1700.000         66.936              1.313              0.310              0.153              0.105              0.045              0.015              0.008              0.007              0.009              0.028        184.105          3.385              ?              ?              ?
