APSIM output file, version = 5.3
Title = p60N100
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1962             97     07/04/1962        868.500              42.923            329.719         43.619          3.087          2.201          2.225          1.324          1.277          1.222          1.175          1.136          1.096          0.000          0.384          4.416          1.169          3.934        221.863        139.663       1340.050         408.645          0.255          0.270          0.271          0.252          0.218          0.221          0.252          0.276          0.291          0.298        441.314         53.314          0.404          0.404                 0.369                 0.339                 0.993             39       5465.976      12657.142          1.712         11.422       1700.000        154.744          2.444          0.432          0.230          0.183          0.098          0.077          0.099          0.090          0.152          0.612        128.859         21.473              ?              ?              ?
           1963             95     05/04/1963       1055.400             180.126            428.179         41.772          2.992          2.171          2.185          1.249          1.229          1.191          1.157          1.112          1.087          0.000          0.281          3.971          1.037          4.236        258.668        144.312       1343.730         365.916          0.213          0.267          0.265          0.246          0.250          0.260          0.279          0.292          0.298          0.300        459.631         71.631          0.466          0.466                 0.386                 0.332                 0.992             33       5404.668      12287.075          1.877         10.878       1700.000        155.538          2.574          0.531          0.209          0.164          0.109          0.059          0.060          0.042          0.041          0.183        135.674         34.065              ?              ?              ?
           1964            102     11/04/1964        670.000              46.227            192.625         49.226          3.117          2.217          2.231          1.311          1.260          1.230          1.171          1.120          1.089          0.000          0.419          3.706          0.894          7.280        462.609        166.179       1347.344         324.758          0.100          0.200          0.204          0.207          0.211          0.222          0.256          0.280          0.293          0.298        403.683         25.681          4.410          4.410                 0.352                 0.326                 0.923             47       3604.475       9931.475          0.816          9.800       1700.000        151.920          2.258          0.372          0.195          0.185          0.116          0.067          0.084          0.080          0.084          0.264        142.694         12.276              ?              ?              ?
           1965            106     16/04/1965        903.200              89.780            468.746         48.037          3.021          2.121          2.038          1.128          1.137          1.158          1.164          1.111          1.086          0.000          0.329          7.106          1.048          7.328        372.055        173.969       1351.615         331.369          0.100          0.200          0.200          0.200          0.200          0.202          0.235          0.263          0.285          0.295        386.139          8.139          0.217          0.217                 0.315                 0.350                 0.991             46       3301.952       9572.997          0.996          8.400       1700.000        162.314          3.202          0.444          0.203          0.256          0.173          0.094          0.118          0.102          0.265          2.249        149.650         58.549              ?              ?              ?
           1966            104     14/04/1966        830.000              52.945            300.527         40.549          2.881          2.071          2.011          1.182          1.170          1.152          1.119          1.125          1.100          0.000          0.238          4.033          1.802          5.653        275.318        171.620       1356.203         316.704          0.253          0.288          0.294          0.298          0.299          0.300          0.300          0.301          0.302          0.302        503.801        115.801          0.197          0.197                 0.380                 0.379                 0.988             43       5638.190      12640.191          2.048         12.337       1700.000        140.179          2.145          0.500          0.345          0.355          0.186          0.107          0.099          0.077          0.076          0.142        156.378         15.456              ?              ?              ?
           1967            127     07/05/1967        841.400              50.070            381.793         50.132          3.255          2.294          2.335          1.398          1.347          1.298          1.205          1.138          1.104          0.000          0.202          6.523          1.100          3.850        204.378        159.076       1361.258         403.067          0.100          0.200          0.201          0.201          0.201          0.204          0.240          0.268          0.287          0.296        389.405         11.405          1.389          1.389                 0.328                 0.341                 0.967             68       5132.569      12058.705          1.131         12.384       1700.000        164.711          2.898          0.382          0.187          0.233          0.172          0.098          0.139          0.146          0.353          1.915        164.384         64.053              ?              ?              ?
           1968            108     17/04/1968        654.300              42.966            217.964         46.584          3.157          2.230          2.184          1.132          1.109          1.139          1.154          1.137          1.092          0.000          0.296          5.127          1.078          7.600        348.382        177.953       1365.331         319.909          0.100          0.200          0.200          0.200          0.201          0.203          0.239          0.267          0.287          0.296        388.822         10.822          1.003          1.003                 0.332                 0.362                 0.975             50       4344.363      11075.719          1.122         10.385       1700.000        165.564          3.045          0.435          0.208          0.248          0.164          0.102          0.111          0.095          0.148          0.571        171.124         24.619              ?              ?              ?
           1969             87     28/03/1969        654.000              20.582            192.629         38.429          2.946          2.126          2.100          1.146          1.137          1.127          1.148          1.106          1.079          0.000          0.179          5.344          1.529          4.607        213.793        170.679       1370.792         320.284          0.284          0.272          0.270          0.269          0.226          0.225          0.257          0.280          0.293          0.298        452.318         64.318          0.082          0.082                 0.386                 0.351                 0.995             31       6312.940      13559.429          2.377         13.021       1700.000        163.998          3.442          0.499          0.210          0.199          0.178          0.131          0.149          0.089          0.092          0.356        177.159         17.958              ?              ?              ?
           1970            105     15/04/1970        970.700              63.816            391.941         51.271          3.180          2.207          2.251          1.327          1.282          1.240          1.160          1.104          1.077          0.000          0.279         12.869          0.869          4.640        245.509        175.989       1376.040         438.303          0.214          0.201          0.200          0.200          0.200          0.201          0.234          0.261          0.283          0.295        396.330          8.330          0.499          0.499                 0.255                 0.341                 0.998             46       2341.765       8344.924          0.940          9.908       1700.000        167.117          7.417          1.704          0.505          0.465          0.325          0.182          0.217          0.171          0.332          1.552        183.739         42.088              ?              ?              ?
           1971             87     28/03/1971        706.200              52.986            197.984         46.260          2.845          2.023          1.964          1.101          1.116          1.100          1.092          1.117          1.078          0.000          0.178          5.262          1.242          5.010        189.763        185.107       1381.689         325.946          0.147          0.221          0.232          0.237          0.245          0.255          0.278          0.292          0.298          0.300        440.717         58.048          0.097          0.097                 0.386                 0.348                 0.992             29       6388.924      14449.382          1.683         13.282       1700.000        171.156          3.588          0.402          0.224          0.237          0.179          0.119          0.114          0.083          0.082          0.233        189.671         15.444              ?              ?              ?
