Summary_file = p60N200c_h.sum
Title = p60N200
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              75.582            470.301             35.510              2.952              2.156              2.051              1.352              1.329              1.316              1.310              1.304              1.293          0.000          0.054          6.295          0.360          0.323         15.537         37.698       1322.706         395.923              0.100              0.200              0.201              0.202              0.204              0.208              0.245              0.273              0.290              0.297        393.938         15.938          0.103          0.103                 0.455                 0.477                 0.439             43       5588.028      13806.984          1.256         16.796       1700.000        162.742              1.176              0.428              0.206              0.134              0.066              0.024              0.101              0.231              0.761              3.167         56.837         94.509              ?              ?              ?
      1953       108     18/04/1953        918.900              45.341            291.376             27.158              2.756              2.058              1.944              1.267              1.251              1.265              1.331              1.335              1.311          0.000          0.137          3.043          0.835          4.336        165.838         84.313       1322.712         396.550              0.226              0.279              0.286              0.289              0.285              0.265              0.280              0.293              0.298              0.300        481.064         93.064          0.042          0.042                 0.363                 0.360                 0.481             49       6143.935      15360.481          1.678         18.242       1700.000        166.336              1.365              0.429              0.257              0.210              0.104              0.055              0.067              0.077              0.131              0.348         79.162         25.865              ?              ?              ?
      1954        97     07/04/1954        668.500              47.614            181.670             29.402              2.868              2.199              2.168              1.486              1.447              1.415              1.361              1.312              1.282          0.000          0.188          4.718          0.816          5.522        244.659        122.532       1325.279         327.957              0.156              0.214              0.220              0.223              0.229              0.237              0.261              0.280              0.293              0.298        423.088         39.520          0.153          0.153                 0.384                 0.381                 0.827             36       6024.888      16600.029          1.672         19.488       1700.000        173.021              2.358              0.429              0.221              0.192              0.130              0.083              0.181              0.193              0.276              0.655         97.345         26.581              ?              ?              ?
      1955        92     02/04/1955       1006.700              83.487            420.882             27.663              2.769              2.167              2.143              1.446              1.420              1.394              1.345              1.291              1.256          0.000          0.213          5.822          1.227          6.297        289.630        152.802       1330.831         366.272              0.182              0.243              0.251              0.256              0.258              0.253              0.265              0.283              0.295              0.299        449.353         63.164          0.092          0.092                 0.386                 0.382                 0.801             32       6175.849      16458.832          2.113         18.311       1700.000        176.437              2.438              0.388              0.198              0.147              0.095              0.071              0.101              0.113              0.321              1.949        114.527         63.831              ?              ?              ?
      1956        97     06/04/1956       1000.800              99.740            303.607             27.734              2.785              2.151              2.162              1.468              1.453              1.411              1.352              1.295              1.258          0.000          0.170         27.518          1.165          4.681        228.892        161.927       1337.685         408.544              0.202              0.257              0.266              0.272              0.278              0.284              0.294              0.298              0.300              0.300        477.327         89.327          0.104          0.104                 0.368                 0.365                 0.999             39       6257.276      15772.164          2.401         19.631       1700.000        181.164              4.536              1.570              1.635              3.509              3.586              3.257              3.004              2.508              2.078              1.836        131.880         47.819              ?              ?              ?
      1957        94     04/04/1957       1059.500              76.439            398.526             36.146              2.835              2.139              2.140              1.423              1.418              1.378              1.333              1.276              1.233          0.000          0.208         44.302          1.203          4.763        217.407        167.816       1344.760         442.278              0.153              0.219              0.228              0.233              0.241              0.251              0.277              0.292              0.298              0.300        438.225         54.933          0.145          0.145                 0.388                 0.386                 0.980             35       5653.393      14022.650          1.770         17.684       1700.000        143.322              4.596              2.066              2.245              5.585              6.115              5.575              5.450              4.771              4.161              3.738        147.815         73.919              ?              ?              ?
      1958       101     11/04/1958        815.700              80.792            307.422             38.466              3.024              2.236              2.214              1.435              1.402              1.372              1.326              1.278              1.249          0.000          0.153         43.827          1.012          4.104        184.126        168.364       1351.373         348.552              0.209              0.202              0.203              0.203              0.206              0.213              0.251              0.277              0.292              0.298        409.437         21.437          0.163          0.163                 0.353                 0.355                 0.975             43       5638.641      14500.087          1.346         18.674       1700.000        166.914              7.303              1.839              1.903              4.885              5.214              4.662              5.051              4.712              4.303              3.956        167.360         73.158              ?              ?              ?
      1959       117     27/04/1959        797.300              34.234            295.418             42.066              3.093              2.267              2.232              1.460              1.426              1.397              1.341              1.277              1.243          0.000          0.196         60.956          1.096          6.334        248.388        193.835       1358.597         402.980              0.100              0.200              0.204              0.205              0.209              0.217              0.252              0.277              0.291              0.298        400.217         22.215          0.125          0.125                 0.362                 0.360                 0.475             56       3872.144      11076.777          0.874         16.405       1700.000        149.054             16.258              5.774              5.429              8.256              5.423              3.560              3.916              3.969              4.109              4.261        185.534         63.689              ?              ?              ?
      1960       106     15/04/1960        663.400              30.960            240.460             43.490              2.924              2.187              2.168              1.431              1.434              1.388              1.313              1.267              1.224          0.000          0.162         93.910          1.544          6.382        203.570        202.811       1365.724         314.266              0.286              0.265              0.229              0.227              0.221              0.230              0.260              0.281              0.293              0.298        440.004         52.004          0.079          0.079                 0.401                 0.418                 0.352             46       5269.298      11699.138          1.123         15.968       1700.000        140.061              8.547              6.535              5.861             15.302             15.336             12.508             11.052              8.406              6.088              4.276        202.506         84.471              ?              ?              ?
      1961        85     26/03/1961        989.300              51.492            272.873             35.227              2.893              2.172              2.187              1.410              1.370              1.310              1.261              1.236              1.203          0.000          0.077         77.115          1.813          2.587         85.480        165.876       1374.240         396.581              0.271              0.287              0.290              0.291              0.291              0.294              0.298              0.300              0.300              0.300        499.418        111.418          0.000          0.000                 0.383                 0.380                 0.397             29       5746.136      15721.899          2.673         19.528       1700.000        181.601              8.191              5.322              5.318             11.358             11.707             10.212              8.428              6.751              5.451              4.377        219.164         92.738              ?              ?              ?
      1962        98     08/04/1962        873.400              44.053            330.812             40.316              2.995              2.198              2.223              1.394              1.351              1.312              1.268              1.226              1.190          0.000          0.238         56.560          1.389          3.416        133.925        170.468       1382.474         407.659              0.248              0.256              0.256              0.221              0.204              0.207              0.243              0.270              0.288              0.297        422.043         34.043          0.096          0.096                 0.353                 0.381                 0.989             40       5290.894      14107.040          1.621         17.727       1700.000        160.481              9.776              7.059              8.079             12.000              7.099              3.829              2.993              2.250              1.857              1.617        234.276         47.051              ?              ?              ?
      1963        95     05/04/1963       1051.300             179.795            418.709             40.285              2.954              2.192              2.222              1.350              1.325              1.290              1.247              1.198              1.172          0.000          0.162         33.528          1.354          4.114        158.760        182.736       1389.913         362.318              0.193              0.246              0.221              0.212              0.218              0.228              0.262              0.284              0.295              0.299        425.810         38.460          0.042          0.042                 0.387                 0.384                 0.964             33       5780.740      15364.729          1.779         19.066       1700.000        157.787              7.752              2.698              1.200              2.378              2.603              2.366              3.105              3.355              3.729              4.343        245.924         94.815              ?              ?              ?
      1964       102     11/04/1964        670.000              45.461            181.563             44.605              3.056              2.232              2.239              1.395              1.355              1.325              1.273              1.207              1.169          0.000          0.300         57.687          1.297          8.980        376.308        222.408       1397.090         314.139              0.100              0.200              0.202              0.203              0.206              0.214              0.250              0.276              0.291              0.298        397.832         19.832          1.479          1.479                 0.342                 0.349                 0.922             47       3510.241      10255.753          0.807         15.314       1700.000        151.244             10.051              5.079              5.869             11.434              8.880              5.767              4.346              2.918              1.940              1.403        258.604         36.572              ?              ?              ?
      1965       106     16/04/1965        903.200              90.342            467.487             45.240              2.994              2.140              2.111              1.303              1.319              1.298              1.234              1.181              1.158          0.000          0.212         53.629          1.466          8.136        252.187        218.957       1403.406         330.540              0.100              0.200              0.200              0.200              0.200              0.202              0.235              0.262              0.284              0.295        385.458          7.458          0.045          0.045                 0.290                 0.395                 0.407             46       2973.896       9833.111          1.019         15.131       1700.000        175.011             17.082              3.974              2.574              4.595              3.125              2.025              2.722              3.470              5.333              8.729        271.100        104.747              ?              ?              ?
      1966       104     14/04/1966        830.000              52.881            284.929             40.543              2.887              2.125              2.086              1.305              1.368              1.313              1.282              1.229              1.178          0.000          0.138         83.523          2.289          5.689        160.176        204.259       1409.952         317.576              0.250              0.286              0.292              0.295              0.295              0.288              0.273              0.288              0.296              0.299        489.709        101.709          0.019          0.019                 0.380                 0.413                 0.987             43       5659.557      14708.149          2.043         18.436       1700.000        141.192              5.430              3.524              4.015             11.139             14.668             14.447             11.303              8.612              6.146              4.238        284.086         81.601              ?              ?              ?
      1967       127     07/05/1967        841.400              50.238            367.806             46.795              3.163              2.279              2.309              1.442              1.396              1.355              1.269              1.210              1.179          0.000          0.123         78.328          1.409          3.937        139.445        191.138       1418.489         401.267              0.100              0.200              0.200              0.200              0.201              0.203              0.239              0.267              0.287              0.296        388.858         10.858          0.465          0.465                 0.315                 0.356                 0.971             68       4845.542      12171.551          1.128         16.895       1700.000        165.006             11.694              5.046              4.838              9.838              8.455              6.795              7.781              7.853              7.983              8.045        298.026        115.749              ?              ?              ?
      1968       109     18/04/1968        654.300              43.723            216.717             46.484              3.133              2.251              2.291              1.292              1.295              1.278              1.242              1.196              1.154          0.000          0.156         69.894          1.430          5.613        174.272        210.074       1424.181         320.441              0.100              0.200              0.200              0.200              0.200              0.202              0.237              0.266              0.286              0.296        387.498          9.498          0.158          0.158                 0.316                 0.392                 0.513             50       4243.437      11254.180          1.100         16.325       1700.000        168.311             17.342              7.995              7.283             11.021              7.511              4.885              4.414              3.710              3.144              2.589        309.821         49.082              ?              ?              ?
      1969        87     28/03/1969        654.000              20.889            191.929             39.651              2.985              2.210              2.197              1.242              1.298              1.269              1.221              1.158              1.131          0.000          0.120         79.521          1.766          5.301        144.234        193.053       1430.839         320.060              0.278              0.245              0.244              0.229              0.206              0.211              0.248              0.274              0.290              0.297        427.967         39.967          0.009          0.009                 0.385                 0.384                 0.670             31       6405.817      15445.882          2.257         19.422       1700.000        165.334             13.428              9.803             10.896             17.849              9.932              5.812              4.597              3.222              2.283              1.698        319.090         38.718              ?              ?              ?
      1970       105     15/04/1970        970.700              64.593            370.126             48.776              3.148              2.214              2.248              1.360              1.316              1.280              1.204              1.152              1.126          0.000          0.128         86.448          1.231          4.311        148.723        207.078       1438.900         435.099              0.214              0.201              0.200              0.200              0.200              0.201              0.234              0.261              0.283              0.295        396.271          8.271          0.087          0.087                 0.250                 0.350                 0.998             46       2299.550       8399.207          0.939         13.535       1700.000        168.974             64.058              8.523              1.456              1.464              1.186              0.927              1.440              1.696              2.357              3.340        328.588         86.134              ?              ?              ?
      1971        87     28/03/1971        706.200              52.498            192.244             45.620              2.888              2.081              2.032              1.186              1.267              1.219              1.215              1.162              1.122          0.000          0.127         54.958          1.475          6.018        148.887        206.686       1445.034         325.767              0.135              0.205              0.211              0.212              0.218              0.227              0.262              0.282              0.294              0.298        413.842         32.326          0.068          0.068                 0.384                 0.383                 0.988             29       6466.118      16436.721          1.676         20.384       1700.000        172.229              9.393              4.253              5.184             11.795              9.854              5.930              3.531              2.179              1.575              1.263        337.077         37.718              ?              ?              ?
      1972        91     31/03/1972        913.200              94.393            296.283             41.709              2.959              2.180              2.243              1.393              1.341              1.307              1.222              1.156              1.117          0.000          0.123         37.959          1.817          4.605        158.220        211.295       1454.077         375.744              0.293              0.302              0.306              0.306              0.304              0.235              0.250              0.275              0.291              0.298        481.971         93.971          0.176          0.176                 0.366                 0.366                 0.731             31       6588.402      16417.797          2.118         20.076       1700.000        175.965              3.378              2.893              2.831              5.232              4.701              3.317              3.716              3.650              3.887              4.354        344.439         79.054              ?              ?              ?
      1973       105     15/04/1973        636.100              15.212            149.670             46.615              3.016              2.213              2.254              1.374              1.336              1.294              1.240              1.178              1.130          0.000          0.140        108.614          1.143          4.793        186.615        209.053       1462.693         334.913              0.158              0.204              0.207              0.208              0.204              0.203              0.238              0.266              0.286              0.296        396.997         13.150          1.598          1.598                 0.321                 0.371                 0.964             50       4334.335      11168.589          1.236         13.667       1700.000        140.262             20.249             18.544             20.141             26.876             10.342              4.029              3.060              2.262              1.721              1.388        353.562         31.320              ?              ?              ?
      1974        98     08/04/1974       1186.900             103.652            500.769             39.841              2.892              2.109              2.131              1.248              1.275              1.234              1.177              1.143              1.116          0.000          0.085         54.479          2.275          2.758        105.991        190.067       1469.229         409.368              0.257              0.279              0.285              0.289              0.290              0.290              0.294              0.297              0.299              0.300        493.957        105.957          0.000          0.000                 0.392                 0.402                 0.883             38       5758.016      15066.226          2.615         18.799       1700.000        166.300             10.403              4.707              3.420              5.195              5.254              5.094              5.259              4.963              4.962              5.221        361.368        104.755              ?              ?              ?
      1975        87     28/03/1975       1165.200             177.641            425.622             43.325              2.928              2.133              2.188              1.332              1.323              1.268              1.182              1.138              1.106          0.000          0.199         31.747          1.479          2.952        121.054        186.089       1476.572         412.145              0.164              0.233              0.243              0.249              0.257              0.266              0.284              0.295              0.299              0.300        453.686         69.255          0.076          0.076                 0.379                 0.376                 1.000             29       6532.724      16413.965          2.267         20.728       1700.000        176.992              6.632              1.946              1.512              3.031              3.204              2.783              2.902              2.804              3.122              3.813        366.332         81.546              ?              ?              ?
      1976       103     12/04/1976        801.900              35.010            204.699             36.865              2.893              2.141              2.186              1.325              1.315              1.271              1.203              1.148              1.109          0.000          0.132         41.969          1.609          3.072        129.763        172.848       1482.959         367.904              0.282              0.291              0.284              0.264              0.262              0.249              0.257              0.277              0.291              0.298        465.352         77.351          0.064          0.064                 0.357                 0.354                 1.000             43       6414.316      16688.252          2.629         20.431       1700.000        197.967              8.278              6.092              5.217              7.398              4.543              2.210              2.122              1.987              2.022              2.099        372.078         37.617              ?              ?              ?
      1977       112     22/04/1977       1122.500             151.643            444.954             40.231              2.987              2.191              2.224              1.358              1.343              1.306              1.243              1.173              1.121          0.000          0.190         38.734          1.570          3.431        143.005        183.080       1490.589         406.230              0.159              0.227              0.234              0.237              0.243              0.252              0.277              0.292              0.298              0.299        441.570         57.653          0.031          0.031                 0.360                 0.357                 0.990             51       5978.034      15379.678          2.263         18.915       1700.000        146.319              8.191              1.587              1.095              1.892              2.044              2.277              3.634              4.855              6.046              7.114        377.220        109.630              ?              ?              ?
