Summary_file = p20N25c_h.sum
Title = p20N25
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              73.971            503.458             13.998              2.778              2.095              1.992              1.359              1.362              1.347              1.334              1.323              1.309          0.000          0.049          1.925          0.381          0.210         13.823         37.594       1322.644         405.933              0.145              0.230              0.249              0.260              0.269              0.277              0.288              0.296              0.299              0.300        460.487         77.977          0.115          0.115                 0.477                 0.315                 0.461             43       1754.253       6129.499          0.637          3.804       1700.000         98.557              1.047              0.458              0.185              0.065              0.021              0.001              0.002              0.006              0.017              0.122         45.425         15.058              ?              ?              ?
      1953       108     18/04/1953        918.900              45.202            393.498             11.978              2.622              2.076              2.018              1.346              1.313              1.310              1.328              1.323              1.309          0.000          0.233          1.481          0.458          3.127        266.165         52.801       1318.745         422.211              0.219              0.284              0.292              0.298              0.299              0.300              0.300              0.300              0.301              0.301        499.271        111.271          1.197          1.197                 0.363                 0.217                 0.981             49        912.539       5218.159          0.686          3.068       1700.000         83.625              0.701              0.321              0.170              0.119              0.057              0.025              0.023              0.017              0.015              0.032         52.632          3.865              ?              ?              ?
      1954        97     07/04/1954        668.500              40.386            275.133             12.667              2.634              2.061              2.029              1.376              1.357              1.341              1.313              1.296              1.282          0.000          0.614          1.676          0.461          4.320        350.524         66.639       1315.634         337.173              0.195              0.258              0.269              0.278              0.285              0.290              0.296              0.299              0.300              0.300        481.957         94.422          1.025          1.025                 0.384                 0.234                 0.998             36       1110.526       5992.043          0.742          3.525       1700.000         94.350              1.053              0.283              0.115              0.071              0.041              0.020              0.021              0.010              0.013              0.048         58.685          2.868              ?              ?              ?
      1955        92     02/04/1955       1006.700              81.451            500.344             13.935              2.767              2.117              2.073              1.358              1.320              1.304              1.274              1.264              1.252          0.000          0.760          1.748          0.496          5.178        422.580         77.159       1313.277         396.762              0.198              0.267              0.278              0.286              0.292              0.295              0.299              0.300              0.300              0.300        488.612        100.788          0.781          0.781                 0.386                 0.237                 1.000             32        863.609       5586.817          0.683          3.317       1700.000         85.270              1.066              0.268              0.123              0.077              0.044              0.024              0.024              0.016              0.015              0.090         64.658         10.331              ?              ?              ?
      1956        97     06/04/1956       1000.800              87.862            422.915             12.945              2.569              2.029              2.020              1.355              1.344              1.319              1.281              1.265              1.253          0.000          0.705          1.835          0.523          4.723        370.970         84.484       1311.363         430.633              0.203              0.273              0.283              0.291              0.295              0.297              0.299              0.300              0.300              0.300        492.398        104.398          0.376          0.376                 0.368                 0.238                 0.985             39       1588.199       6301.384          0.887          4.246       1700.000        100.657              1.223              0.245              0.118              0.089              0.051              0.028              0.025              0.014              0.014              0.027         70.949          5.937              ?              ?              ?
      1957        95     05/04/1957       1059.500              70.944            481.869             14.718              2.589              2.011              1.999              1.315              1.308              1.279              1.250              1.240              1.230          0.000          0.763          1.882          0.555          5.208        405.480         87.646       1309.516         462.419              0.175              0.253              0.267              0.277              0.284              0.289              0.296              0.299              0.300              0.300        478.493         92.997          1.182          1.182                 0.390                 0.272                 0.962             36       1670.657       5747.513          0.730          3.953       1700.000         83.916              1.164              0.313              0.133              0.087              0.054              0.031              0.028              0.018              0.014              0.040         76.547         10.133              ?              ?              ?
      1958       101     11/04/1958        815.700              78.326            345.775             14.259              2.701              2.078              2.051              1.351              1.346              1.311              1.272              1.252              1.240          0.000          0.468          2.706          0.680          3.705        294.329         89.893       1308.204         363.595              0.234              0.245              0.250              0.259              0.268              0.276              0.288              0.296              0.299              0.300        470.224         82.224          1.431          1.431                 0.358                 0.242                 0.987             43       2034.633       6684.258          0.728          4.496       1700.000        103.708              1.865              0.386              0.157              0.094              0.049              0.027              0.026              0.013              0.017              0.072         82.813          8.517              ?              ?              ?
      1959       117     27/04/1959        797.300              34.240            311.328             15.306              2.777              2.122              2.074              1.351              1.331              1.305              1.268              1.254              1.242          0.000          0.447          2.853          0.543          4.675        372.115         95.211       1307.562         413.975              0.139              0.218              0.235              0.245              0.255              0.265              0.280              0.292              0.298              0.300        446.208         64.358          1.774          1.774                 0.362                 0.243                 0.955             57       2067.237       6309.573          0.559          4.105       1700.000         97.844              1.809              0.322              0.164              0.105              0.058              0.031              0.033              0.021              0.027              0.283         88.561         13.860              ?              ?              ?
      1960       105     14/04/1960        663.400              29.711            270.084             15.273              2.650              2.064              2.029              1.312              1.302              1.287              1.253              1.231              1.220          0.000          0.472          2.334          0.578          5.590        461.260        101.137       1307.462         326.154              0.168              0.248              0.264              0.275              0.282              0.288              0.295              0.299              0.300              0.300        475.663         90.875          4.217          4.217                 0.400                 0.286                 0.573             45       2001.983       5887.806          0.599          3.832       1700.000         89.844              1.485              0.348              0.142              0.090              0.051              0.032              0.030              0.022              0.022              0.112         93.448          5.851              ?              ?              ?
      1961        85     26/03/1961        989.300              52.422            423.396             13.446              2.567              2.007              2.012              1.280              1.276              1.246              1.219              1.201              1.189          0.000          0.302          2.337          0.905          3.396        280.114         91.948       1306.168         411.532              0.271              0.291              0.296              0.299              0.299              0.300              0.300              0.300              0.300              0.301        505.474        117.474          0.663          0.663                 0.382                 0.258                 0.785             29       1762.740       7199.332          1.051          5.101       1700.000        114.683              1.486              0.351              0.175              0.125              0.061              0.031              0.021              0.018              0.019              0.050         97.963          6.900              ?              ?              ?
