Summary_file = p0N200c_h.sum
Title = p0N200
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       104     13/04/1952       1000.300              77.652            489.829              3.931              2.568              2.010              1.932              1.345              1.368              1.353              1.340              1.328              1.314          0.000          0.046        118.229          0.432          0.281         14.016         37.936       1322.882         429.827              0.157              0.245              0.265              0.279              0.288              0.294              0.298              0.300              0.300              0.300        478.406         94.692          0.148          0.148                 0.481                 0.481                 0.265             45       1130.242       3815.998          0.266          6.245       1700.000         60.364              7.404              6.974              7.401             16.121             16.054             14.613             13.934             12.998             11.943             10.788         39.920        122.004              ?              ?              ?
      1953       109     19/04/1953        918.900              42.645            386.861              4.044              2.388              1.964              1.935              1.349              1.374              1.353              1.335              1.323              1.310          0.000          0.032        149.550          0.502          0.942         24.252         50.564       1319.389         456.589              0.217              0.283              0.292              0.299              0.300              0.300              0.300              0.300              0.300              0.301        499.216        111.216          0.000          0.000                 0.367                 0.364                 0.236             49       1291.443       3819.908          0.303          6.228       1700.000         57.288              3.490              3.542              5.260             20.121             26.526             27.162             23.538             18.188             12.967              8.757         39.277        114.751              ?              ?              ?
      1954       100     10/04/1954        668.500              34.774            277.579              3.497              2.392              1.954              1.934              1.336              1.358              1.333              1.313              1.301              1.288          0.000          0.041        165.914          0.441          2.040         44.935         54.556       1315.369         363.384              0.202              0.264              0.276              0.287              0.294              0.298              0.300              0.300              0.300              0.300        489.903        101.903          0.015          0.015                 0.390                 0.388                 0.291             39       1114.602       3545.309          0.269          5.674       1700.000         53.069              7.058              5.573              8.097             26.799             32.092             29.793             23.250             16.198             10.518              6.536         38.705        103.620              ?              ?              ?
      1955        96     06/04/1955       1006.700              83.222            481.215              3.982              2.328              1.929              1.916              1.291              1.315              1.293              1.279              1.269              1.258          0.000          0.036        128.971          0.480          1.759         40.362         53.863       1310.546         429.827              0.190              0.267              0.280              0.289              0.295              0.298              0.300              0.300              0.300              0.300        490.210        103.209          0.000          0.000                 0.396                 0.393                 0.303             35       1257.871       3997.000          0.304          6.372       1700.000         60.120              7.229              6.756              8.694             21.503             20.553             17.095             14.150             12.203             10.925              9.864         38.305        117.169              ?              ?              ?
      1956       102     11/04/1956       1005.400              70.779            435.603              4.739              2.322              1.921              1.920              1.300              1.325              1.301              1.282              1.272              1.261          0.000          0.025        134.599          0.479          1.090         26.047         58.313       1306.796         468.431              0.195              0.271              0.282              0.291              0.296              0.299              0.300              0.300              0.300              0.300        492.061        104.519          0.000          0.000                 0.380                 0.377                 0.309             44       1461.328       4250.648          0.347          6.471       1700.000         64.925              2.590              1.919              2.589             10.764             17.319             21.921             23.181             21.587             18.294             14.436         37.873        151.970              ?              ?              ?
      1957        97     07/04/1957       1059.200              62.843            489.955              4.547              2.380              1.920              1.916              1.271              1.298              1.274              1.254              1.244              1.234          0.000          0.024        144.453          0.504          1.034         25.262         63.751       1303.810         483.419              0.187              0.263              0.277              0.288              0.294              0.298              0.300              0.300              0.300              0.300        488.866        102.127          0.000          0.000                 0.399                 0.396                 0.335             38       1245.793       3561.334          0.288          5.541       1700.000         52.763              3.705              3.592              5.090             17.520             22.854             24.143             22.204             18.750             15.013             11.582         37.412        138.049              ?              ?              ?
      1958       102     12/04/1958        811.400              68.356            347.701              5.247              2.471              1.975              1.950              1.286              1.306              1.280              1.262              1.252              1.242          0.000          0.016        155.698          0.663          0.573         14.893         62.415       1300.338         387.359              0.235              0.265              0.273              0.282              0.290              0.296              0.300              0.300              0.300              0.300        490.953        102.953          0.000          0.000                 0.362                 0.359                 0.298             43       1316.038       3966.530          0.305          6.333       1700.000         60.159              6.350              4.836              6.542             21.167             26.329             26.307             22.961             18.117             13.470              9.619         37.188        122.672              ?              ?              ?
      1959       118     28/04/1959        797.300              36.071            335.981              4.833              2.605              2.043              1.983              1.295              1.303              1.281              1.265              1.255              1.244          0.000          0.021        158.365          0.586          0.832         20.883         68.172       1298.184         425.178              0.144              0.229              0.250              0.264              0.274              0.281              0.288              0.296              0.300              0.300        462.826         80.406          0.000          0.000                 0.365                 0.362                 0.248             57        920.922       3741.859          0.232          6.309       1700.000         59.369             22.551             15.482             17.053             28.983             21.321             15.509             12.607             10.380              8.266              6.213         37.218         85.210              ?              ?              ?
      1960        99     08/04/1960        663.400              31.641            286.534              4.325              2.412              1.940              1.923              1.248              1.273              1.244              1.230              1.222              1.212          0.000          0.034        162.967          0.519          1.809         41.187         74.715       1296.819         329.355              0.186              0.267              0.280              0.291              0.297              0.300              0.300              0.300              0.300              0.300        491.038        104.403          0.058          0.058                 0.410                 0.408                 0.240             39       1142.208       3819.579          0.273          6.326       1700.000         58.962              6.744              6.129              8.693             27.672             32.159             28.679             21.778             15.058              9.837              6.217         36.948        102.309              ?              ?              ?
      1961        86     27/03/1961        990.100              44.572            443.477              5.309              2.325              1.891              1.903              1.219              1.245              1.221              1.204              1.196              1.188          0.000          0.019        144.575          0.827          0.827         19.646         68.174       1293.869         456.432              0.245              0.287              0.294              0.299              0.300              0.300              0.300              0.300              0.300              0.300        502.515        114.516          0.000          0.000                 0.377                 0.374                 0.274             30       1591.923       4399.504          0.382          7.017       1700.000         68.329              5.182              4.171              5.433             17.651             22.426             23.661             21.902             18.523             14.641             10.985         36.709        160.261              ?              ?              ?
