Summary_file = p50N50c_h.sum
Title = p50N50
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              75.319            491.502             31.633              2.976              2.169              2.045              1.373              1.360              1.343              1.331              1.321              1.308          0.000          0.051          1.990          0.366          0.227         14.413         37.593       1322.640         398.767              0.137              0.222              0.239              0.249              0.259              0.268              0.283              0.294              0.299              0.300        450.138         68.432          0.107          0.107                 0.477                 0.338                 0.465             43       3338.902       8272.033          0.930          5.580       1700.000        130.069              1.002              0.445              0.187              0.067              0.019              0.001              0.001              0.003              0.025              0.241         54.254         25.530              ?              ?              ?
      1953       108     18/04/1953        918.900              48.578            375.513             26.976              2.830              2.172              2.071              1.344              1.282              1.281              1.301              1.324              1.310          0.000          0.208          1.666          0.555          2.795        230.470         57.593       1319.291         407.914              0.227              0.284              0.292              0.297              0.299              0.300              0.300              0.300              0.301              0.301        499.950        111.950          1.085          1.085                 0.363                 0.238                 0.799             49       2318.178       7148.447          1.194          4.701       1700.000        115.832              0.817              0.340              0.183              0.130              0.065              0.029              0.025              0.025              0.019              0.032         74.509          4.768              ?              ?              ?
      1954        97     07/04/1954        668.500              47.691            246.355             29.129              2.887              2.172              2.118              1.412              1.364              1.344              1.328              1.298              1.283          0.000          0.538          2.003          0.579          3.580        289.381         74.163       1316.948         333.476              0.191              0.256              0.267              0.276              0.282              0.288              0.295              0.299              0.300              0.300        479.235         92.182          1.145          1.145                 0.384                 0.258                 1.000             36       2659.644       8124.888          1.220          5.506       1700.000        127.027              1.284              0.297              0.123              0.081              0.051              0.030              0.034              0.022              0.016              0.064         91.636          4.463              ?              ?              ?
      1955        92     02/04/1955       1006.700              83.493            485.026             30.768              3.013              2.222              2.164              1.402              1.345              1.328              1.287              1.267              1.253          0.000          0.617          2.238          0.582          4.448        365.327         84.969       1315.407         384.126              0.203              0.267              0.278              0.287              0.292              0.295              0.299              0.300              0.300              0.300        489.263        101.263          0.910          0.910                 0.386                 0.259                 1.000             32       2390.996       7574.450          1.208          5.253       1700.000        118.343              1.386              0.280              0.129              0.087              0.054              0.034              0.037              0.030              0.025              0.176        108.538         19.338              ?              ?              ?
      1956        97     06/04/1956       1000.800              97.198            392.759             29.144              2.913              2.175              2.145              1.416              1.374              1.345              1.306              1.266              1.254          0.000          0.594          2.292          0.589          3.917        315.455         91.092       1314.180         418.858              0.211              0.271              0.281              0.288              0.293              0.296              0.299              0.300              0.300              0.300        491.348        103.348          0.543          0.543                 0.368                 0.266                 0.999             39       3274.663       8816.971          1.489          6.519       1700.000        136.948              1.581              0.257              0.127              0.101              0.062              0.038              0.038              0.026              0.019              0.042        125.740         10.373              ?              ?              ?
      1957        94     04/04/1957       1059.500              79.511            454.638             33.435              2.865              2.134              2.108              1.365              1.333              1.303              1.259              1.241              1.229          0.000          0.710          2.252          0.646          4.866        375.654         96.214       1313.218         451.017              0.174              0.250              0.263              0.273              0.280              0.286              0.294              0.298              0.300              0.300        474.893         89.503          1.161          1.161                 0.388                 0.290                 0.979             36       3213.387       7967.589          1.172          5.991       1700.000        117.277              1.403              0.322              0.141              0.102              0.067              0.043              0.044              0.037              0.023              0.070        140.784         15.504              ?              ?              ?
      1958       101     11/04/1958        815.700              83.286            329.914             32.253              2.985              2.202              2.164              1.415              1.382              1.344              1.302              1.258              1.243          0.000          0.396          3.117          0.733          3.586        279.218         99.611       1312.891         355.095              0.233              0.234              0.239              0.246              0.255              0.265              0.282              0.293              0.298              0.300        458.711         70.711          1.288          1.288                 0.358                 0.260                 0.998             43       3575.055       9208.318          1.136          6.680       1700.000        140.349              2.115              0.395              0.170              0.118              0.069              0.041              0.042              0.032              0.028              0.108        157.574         11.933              ?              ?              ?
      1959       117     27/04/1959        797.300              33.990            300.483             35.260              3.021              2.227              2.172              1.404              1.363              1.333              1.293              1.260              1.243          0.000          0.465          3.307          0.603          5.472        422.735        109.897       1313.526         409.849              0.126              0.208              0.223              0.230              0.239              0.251              0.273              0.289              0.297              0.300        431.182         50.594          1.882          1.882                 0.362                 0.261                 0.953             56       3486.277       8383.401          0.774          5.923       1700.000        125.445              2.028              0.321              0.169              0.119              0.079              0.051              0.055              0.045              0.044              0.397        172.726         18.986              ?              ?              ?
      1960       106     15/04/1960        663.400              31.358            254.798             34.897              2.854              2.160              2.106              1.361              1.341              1.320              1.283              1.235              1.222          0.000          0.425          3.188          0.808          5.450        424.489        118.810       1314.696         319.337              0.292              0.294              0.266              0.260              0.265              0.270              0.281              0.292              0.298              0.300        478.354         90.354          3.214          3.214                 0.401                 0.316                 0.447             46       3635.307       8183.995          0.971          5.859       1700.000        117.802              1.707              0.720              0.205              0.121              0.072              0.048              0.052              0.040              0.040              0.182        186.272          9.066              ?              ?              ?
      1961        86     27/03/1961        990.100              52.905            381.409             31.450              2.966              2.177              2.159              1.352              1.310              1.276              1.240              1.215              1.193          0.000          0.261          2.825          1.081          3.061        241.100        105.629       1315.041         404.142              0.269              0.288              0.294              0.297              0.297              0.298              0.300              0.300              0.300              0.300        503.602        115.602          0.618          0.618                 0.384                 0.290                 0.724             29       3543.460       9729.702          1.703          7.689       1700.000        148.192              1.839              0.366              0.182              0.136              0.070              0.040              0.032              0.028              0.035              0.097        198.954         13.608              ?              ?              ?
