Summary_file = g2_00_w0.sum
Title = Ghab2_W0_9900
      year       day       DAS tt_since_emerg          stage            lai     biomass_wt       grain_wt        leaf_wt        stem_wt      biomass_n        grain_n         leaf_n         stem_n            cep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)    n_conc_leaf    n_conc_stem   n_conc_grain
    (year)     (day)    (days)             ()             ()      (m^2/m^2)         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)            (%)            (%)            (%)
      2000         5        15          0.000          2.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.184              0.087              0.142              0.195              0.237              0.262              0.275              0.290              0.299              0.303              4.569              3.579              2.837              4.567              5.228              5.462              4.879              4.260              3.270              1.371              0.193              0.166          0.000          0.000          0.000
      2000         6        16          0.000          2.095          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.177              0.088              0.142              0.195              0.237              0.262              0.275              0.290              0.299              0.303              4.814              3.595              2.842              4.630              5.250              5.480              4.620              4.260              3.270              1.308              0.171              0.145          0.000          0.000          0.000
      2000         7        17          0.000          2.140          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.195              0.089              0.142              0.195              0.237              0.262              0.275              0.290              0.298              0.302              5.006              3.621              2.847              4.691              5.269              5.494              4.406              4.260              3.270              1.248              0.153              0.128          0.000          0.000          0.000
      2000         8        18          0.000          2.197          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.252              0.094              0.142              0.195              0.237              0.262              0.275              0.290              0.298              0.302              5.090              3.718              2.853              4.749              5.284              5.505              4.227              4.260              3.270              1.191              0.139              0.114          0.000          0.000          0.000
      2000         9        19          0.000          2.256          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.250              0.099              0.143              0.195              0.237              0.262              0.275              0.290              0.298              0.302              5.174              3.808              2.858              4.804              5.297              5.514              4.056              4.260              3.270              1.136              0.126              0.102          0.000          0.000          0.000
      2000        10        20          0.000          2.278          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.262              0.106              0.143              0.195              0.237              0.262              0.275              0.290              0.298              0.302              5.206              3.924              2.864              4.857              5.309              5.522              3.907              4.260              3.270              1.083              0.115              0.091          0.000          0.000          0.000
      2000        11        21          0.000          2.323          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.246              0.110              0.143              0.195              0.237              0.262              0.275              0.290              0.298              0.302              5.277              4.001              2.869              4.908              5.319              5.528              3.763              4.260              3.270              1.033              0.105              0.082          0.000          0.000          0.000
      2000        12        22          0.000          2.360          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.232              0.113              0.143              0.195              0.237              0.262              0.275              0.289              0.298              0.302              5.364              4.056              2.875              4.956              5.329              5.534              3.625              4.260              3.270              0.985              0.095              0.073          0.000          0.000          0.000
      2000        13        23          0.000          2.392          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.222              0.115              0.143              0.195              0.237              0.262              0.275              0.289              0.298              0.302              5.455              4.099              2.880              5.003              5.338              5.538              3.495              4.260              3.270              0.939              0.087              0.066          0.000          0.000          0.000
      2000        14        24          0.000          2.421          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.209              0.116              0.144              0.195              0.237              0.262              0.275              0.289              0.298              0.302              5.541              4.131              2.886              5.047              5.345              5.542              3.380              4.260              3.270              0.895              0.080              0.059          0.000          0.000          0.000
