Summary_file = g2_00_w1.sum
Title = Ghab2_W1_9900
      year       day       das tt_since_emerg          stage            lai     biomass_wt       grain_wt        leaf_wt        stem_wt      biomass_n        grain_n     root_depth         stem_n            cep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)    n_conc_leaf    n_conc_stem   n_conc_grain
    (year)     (day)    (days)             ()             ()      (m^2/m^2)         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)            (%)            (%)            (%)
      1999       354         0          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.080              0.080              0.135              0.184              0.223              0.248              0.256              0.273              0.284              0.288              4.260              3.560              2.760              2.932              2.844              3.336              5.134              4.260              3.270              3.000              2.555              2.353          0.000          0.000          0.000
      1999       355         0          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.080              0.080              0.135              0.184              0.223              0.248              0.256              0.273              0.284              0.288              4.260              3.560              2.760              2.934              2.926              3.697              5.134              4.260              3.270              3.000              2.474              1.990          0.000          0.000          0.000
      1999       356         1          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.080              0.080              0.135              0.184              0.223              0.248              0.256              0.273              0.284              0.288              4.260              3.560              2.760              2.936              3.004              4.008              5.134              4.260              3.270              3.000              2.395              1.678          0.000          0.000          0.000
      1999       357         2          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.080              0.080              0.135              0.185              0.223              0.248              0.256              0.273              0.284              0.288              4.260              3.560              2.760              2.938              3.080              4.276              5.134              4.260              3.270              3.000              2.320              1.408          0.000          0.000          0.000
      1999       358         3          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.080              0.080              0.135              0.185              0.223              0.248              0.256              0.273              0.284              0.288              4.260              3.560              2.760              2.940              3.152              4.504              5.134              4.260              3.270              3.000              2.247              1.178          0.000          0.000          0.000
      1999       359         4          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.080              0.080              0.135              0.185              0.223              0.248              0.256              0.273              0.284              0.288              4.260              3.560              2.760              2.942              3.222              4.694              5.134              4.260              3.270              3.000              2.178              0.986          0.000          0.000          0.000
      1999       360         5          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.080              0.080              0.135              0.185              0.223              0.247              0.257              0.273              0.284              0.288              4.260              3.560              2.760              2.944              3.290              4.852              5.134              4.260              3.270              3.000              2.111              0.827          0.000          0.000          0.000
      1999       361         6          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.094              0.080              0.135              0.185              0.223              0.247              0.257              0.273              0.283              0.288              4.260              3.560              2.760              2.947              3.354              4.983              5.134              4.260              3.270              3.000              2.046              0.693          0.000          0.000          0.000
      1999       362         7          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.086              0.080              0.135              0.185              0.223              0.247              0.257              0.273              0.283              0.288              4.260              3.560              2.760              2.949              3.417              5.094              5.134              4.260              3.270              3.000              1.984              0.581          0.000          0.000          0.000
      1999       363         8          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.080              0.080              0.135              0.185              0.223              0.247              0.257              0.273              0.283              0.288              4.260              3.560              2.760              2.951              3.477              5.186              5.134              4.260              3.270              3.000              1.924              0.486          0.000          0.000          0.000
      1999       364         9          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.080              0.080              0.135              0.186              0.223              0.247              0.257              0.273              0.283              0.288              4.260              3.560              2.760              2.953              3.535              5.265              5.134              4.260              3.270              3.000              1.866              0.406          0.000          0.000          0.000
      1999       365        10          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.080              0.080              0.135              0.186              0.223              0.247              0.257              0.273              0.283              0.288              4.260              3.560              2.760              2.956              3.591              5.330              5.134              4.260              3.270              3.000              1.811              0.338          0.000          0.000          0.000
      2000         1        11          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.080              0.080              0.135              0.186              0.223              0.247              0.257              0.272              0.283              0.288              4.260              3.560              2.760              2.958              3.645              5.386              5.134              4.260              3.270              3.000              1.757              0.281          0.000          0.000          0.000
      2000         2        12          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.080              0.080              0.135              0.186              0.223              0.247              0.257              0.272              0.283              0.288              4.260              3.560              2.760              2.960              3.697              5.431              5.134              4.260              3.270              3.000              1.705              0.234          0.000          0.000          0.000
      2000         3        13          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.102              0.080              0.135              0.186              0.223              0.247              0.257              0.272              0.283              0.288              4.260              3.560              2.760              2.963              3.747              5.468              5.134              4.260              3.270              3.000              1.656              0.196          0.000          0.000          0.000
      2000         4        14          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.116              0.080              0.135              0.186              0.223              0.247              0.257              0.272              0.283              0.288              4.260              3.560              2.760              2.965              3.796              5.497              5.134              4.260              3.270              3.000              1.608              0.164          0.000          0.000          0.000
      2000         5        15          0.000          2.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.183              0.081              0.135              0.186              0.223              0.247              0.257              0.272              0.283              0.288              4.563              3.587              2.760              2.968              3.842              5.519              4.721              4.260              3.270              3.000              1.561              0.140          0.000          0.000          0.000
      2000         6        16          0.000          2.089          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.175              0.082              0.135              0.187              0.223              0.247              0.257              0.272              0.283              0.288              4.803              3.611              2.760              2.970              3.887              5.538              4.396              4.260              3.270              3.000              1.517              0.120          0.000          0.000          0.000
      2000         7        17          0.000          2.130          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.191              0.084              0.135              0.187              0.223              0.247              0.257              0.272              0.283              0.288              4.983              3.648              2.760              2.973              3.931              5.552              4.108              4.260              3.270              3.000              1.474              0.104          0.000          0.000          0.000
