Summary_file = g2_99_w0.sum
Title = Ghab2_9899
      year       day       das tt_since_emerg          stage            lai     biomass_wt       grain_wt        leaf_wt        stem_wt      biomass_n        grain_n     root_depth         stem_n            cep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)    n_conc_leaf    n_conc_stem   n_conc_grain
    (year)     (day)    (days)             ()             ()      (m^2/m^2)         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)            (%)            (%)            (%)
      1998       330         0          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.117              0.130              0.130              0.169              0.207              0.245              0.258              0.257              0.262              0.272              6.500              5.400              3.280              3.322              2.946              3.729              3.207              3.690              3.200              2.560              2.415              2.229          0.000          0.000          0.000
      1998       331         0          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.113              0.130              0.130              0.169              0.207              0.245              0.258              0.257              0.262              0.272              6.500              5.400              3.280              3.324              3.112              4.108              2.788              3.690              3.200              2.560              2.250              1.848          0.000          0.000          0.000
      1998       332         0          0.000         12.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.115              0.130              0.130              0.169              0.207              0.245              0.258              0.257              0.262              0.272              6.500              5.400              3.280              3.327              3.268              4.421              2.788              3.690              3.200              2.560              2.095              1.534          0.000          0.000          0.000
      1998       333         1          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.110              0.130              0.130              0.170              0.207              0.245              0.258              0.257              0.262              0.272              6.500              5.400              3.280              3.329              3.414              4.679              2.788              3.690              3.200              2.560              1.950              1.274          0.000          0.000          0.000
      1998       334         2          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.128              0.130              0.130              0.170              0.207              0.244              0.257              0.257              0.262              0.272              6.500              5.400              3.280              3.332              3.552              4.891              2.788              3.690              3.200              2.560              1.814              1.059          0.000          0.000          0.000
      1998       335         3          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.118              0.130              0.130              0.170              0.207              0.244              0.257              0.257              0.262              0.272              6.500              5.400              3.280              3.335              3.681              5.067              2.788              3.690              3.200              2.560              1.686              0.881          0.000          0.000          0.000
      1998       336         4          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.107              0.130              0.130              0.170              0.207              0.244              0.257              0.257              0.262              0.272              6.500              5.400              3.280              3.339              3.802              5.211              2.788              3.690              3.200              2.558              1.567              0.734          0.000          0.000          0.000
      1998       337         5          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.104              0.130              0.130              0.170              0.207              0.244              0.257              0.257              0.262              0.271              6.500              5.400              3.282              3.344              3.915              5.331              2.788              3.690              3.200              2.555              1.455              0.613          0.000          0.000          0.000
      1998       338         6          0.000          1.999          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000              0.101              0.130              0.130              0.170              0.207              0.244              0.257              0.257              0.262              0.271              6.500              5.400              3.284              3.348              4.021              5.429              2.788              3.690              3.200              2.552              1.351              0.512          0.000          0.000          0.000
